case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,1,139,40,5560,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,1,136,43,5848,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,1,151,42,6342,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig,1,152,42,6384,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset,1,151,42,6342,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig,1,199,42,8358,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig,1,199,43,8557,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset,1,191,41,7831,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_interleave_resid_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_interleave_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig,1,268,79,21172,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig,1,268,79,21172,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset,1,267,78,20826,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi2_bmsb_resid_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi2_bmsb_resid_direct; flow=synth_preset
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig,1,285,73,20805,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=abc_g_aig
ex269,ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig,1,284,75,21300,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex269/aigs/ex269_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=wreduce_abc_g_aig
