case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_abc_g_aig.aig,1,1,1,150,42,6300,2651,2.376462,0,0,0.727,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,150,42,6300,2651,2.376462,0,0,0.723,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_bmsb_resid_direct_synth_preset.aig,1,1,1,151,42,6342,2651,2.392305,0,0,0.742,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_bmsb_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_abc_g_aig.aig,1,1,1,197,40,7880,2651,2.972463,0,0,0.746,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_wreduce_abc_g_aig.aig,1,1,1,197,40,7880,2651,2.972463,0,0,0.763,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi4_bmsb_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi4_bmsb_resid_direct_synth_preset.aig,1,1,1,191,42,8022,2651,3.026028,0,0,0.792,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi4_bmsb_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_abc_g_aig.aig,1,1,1,140,40,5600,2651,2.112410,0,0,0.712,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_wreduce_abc_g_aig.aig,1,1,1,139,40,5560,2651,2.097322,0,0,0.700,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi2_interleave_resid_direct+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi2_interleave_resid_direct_synth_preset.aig,1,1,1,136,43,5848,2651,2.205960,0,0,0.729,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi2_interleave_resid_direct; flow=synth_preset
ex267,ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,hybrid_bdd_hi3_interleave_resid_direct+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/verilog/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct.v,student/work/ex266_ex267_ex269_frontend_udiv_hybrid_residual_20260609_1050/ex267/aigs/ex267_udiv_hybrid_bdd_hi3_interleave_resid_direct_abc_g_aig.aig,1,1,1,151,42,6342,2651,2.392305,0,0,0.735,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=hybrid_bdd_hi3_interleave_resid_direct; flow=abc_g_aig
