domain,case,attempts,official_ok,non_ok,campaign_best_candidate,campaign_best_area,campaign_best_delay,campaign_best_adp,clean_baseline_adp,delta_vs_clean_baseline,improved_vs_clean_baseline,frontend_best_after_adp,reference_adp,ratio_to_reference_after,verilog_path,aig_path,log_path,agent_id,method_signature
integer,ex276,5,5,0,ex276_mix_p4_p5_p5low2_arith_wreduce_aig,116,9,1044,1010,-34,0,1010,632,1.598101,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex276/verilog/ex276_mix_p4_p5_p5low2.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex276/aigs/ex276_mix_p4_p5_p5low2_arith_wreduce_aig.aig,student/runs/integer/ex223_ex299_frontend_parallel_deep_20260614_0943/integer-agent/ex276/official_eval/ex276_mix_p4_p5_p5low2_arith_wreduce_aig/ex276_mix_p4_p5_p5low2_arith_wreduce_aig.evaluate.py.log,integer-agent,ex276|sqrt_mixed_prefix_delay_tradeoff|prefix4_prefix5_selected_low_bit_mixed_classifier|top_bits_keep_prefix4_sharing_while_selected_low_bits_use_deeper_prefix5_cuts|arith_wreduce_aig|unsigned_floor_isqrt_10_to_5|mixed_sqrt_output_bits
unknown,ex285,4,4,0,ex285_uc_boundary_alt_0_2_9_11,800,16,12800,13175,375,1,12800,5499,2.327696,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/verilog/ex285_uc_boundary_alt_0_2_9_11.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/aigs/ex285_uc_boundary_alt_0_2_9_11.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex285/logs/ex285_uc_boundary_alt_0_2_9_11.evaluate.py.log,unknown-cell-agent,"frontend_hybrid:base=decision_tree_current;donor=route_decode_helper_boundary;donor_bits=0,2,9,11;synth=abc_g_aig"
unknown,ex286,5,5,0,ex286_bucket_class_mtbdd_selectors_then_counts,3736,22,82192,20190,-62002,0,20190,2376,8.497475,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex286-agent/ex286/verilog/ex286_bucket_class_mtbdd_selectors_then_counts.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex286-agent/ex286/aigs/ex286_bucket_class_mtbdd_selectors_then_counts.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex286-agent/ex286/logs/ex286_bucket_class_mtbdd_selectors_then_counts.evaluate.py.log,unknown-ex286-agent,ex286|hamming_weight_preserving_lossy_routing_normalizer|bucket_class_mtbdd_selectors_then_counts|shared_home_bucket_counters_fullword_descriptor_dag|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_mtbdd_leaves
unknown,ex287,25,25,0,ex287_deep_k4_vector_case_plain,1680,16,26880,27390,510,1,26880,5782,4.648910,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/verilog/ex287_deep_k4_vector_case_plain.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/aigs/ex287_deep_k4_vector_case_plain.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-ex287-agent/ex287/logs/ex287_deep_k4_vector_case_plain.evaluate.py.log,unknown-ex287-agent,ex287|hamming_weight_preserving_lossy_routing_normalizer|symcof_outer_k4_vector_case_mux|lower-area k4 group BDD cofactors selected by one full-word case mux|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_case_mux
unknown,ex288,4,4,0,ex288_uc_onehot_boundary_0_1_13_14,2262,14,31668,31598,-70,0,31598,16394,1.927412,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex288/verilog/ex288_uc_onehot_boundary_0_1_13_14.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex288/aigs/ex288_uc_onehot_boundary_0_1_13_14.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex288/logs/ex288_uc_onehot_boundary_0_1_13_14.evaluate.py.log,unknown-cell-agent,"frontend_hybrid:base=keybdd_current;donor=onehot_boundary_bypass;donor_bits=0,1,13,14;synth=abc_g_aig"
unknown,ex292,3,3,0,ex292_deep_quad_mirror_residue_bdd,6741,21,141561,135780,-5781,0,135780,84854,1.600160,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex292/verilog/ex292_deep_quad_mirror_residue_bdd.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex292/aigs/ex292_deep_quad_mirror_residue_bdd.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex292/logs/ex292_deep_quad_mirror_residue_bdd.evaluate.py.log,unknown-state-agent,ex292|global state/permutation-like transform|fresh grouped scalar BDD root pools|quad mirror-residue output groups with outside-in input order|abc_g_aig|official_evaluate_py|groups_0_4_9_13__1_5_8_12__2_6_7_11__3_10
unknown,ex294,2,2,0,ex294_deep_octant_odd_plane_descriptor,10789,23,248147,234608,-13539,0,234608,133365,1.759142,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex294/verilog/ex294_deep_octant_odd_plane_descriptor.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex294/aigs/ex294_deep_octant_odd_plane_descriptor.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex294/logs/ex294_deep_octant_odd_plane_descriptor.evaluate.py.log,unknown-state-agent,ex294|octant descriptor can cofactor odd output planes|octant descriptor source mux|endpoint/midpoint octant descriptor selects mod4 body for odd roots|abc_g_aig|official_evaluate_py|odd_plane_1_3_5_7_9_11_13_15
unknown,ex296,2,2,0,ex296_deep_high_rotate_source_bitmix,10387,16,166192,143792,-22400,0,143792,104025,1.382283,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex296/verilog/ex296_deep_high_rotate_source_bitmix.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex296/aigs/ex296_deep_high_rotate_source_bitmix.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex296/logs/ex296_deep_high_rotate_source_bitmix.evaluate.py.log,unknown-state-agent,ex296|open-boundary split sources have complementary output cones|per-output bit source grouping across exact high and rotated-high split bodies|base high-split body with rotated-high boundary and upper-middle output bits|abc_g_aig|official_evaluate_py|rot_hi_bits_0_1_8_9_10_11
unknown,ex297,3,3,0,ex297_uc_selector_plane_edges_0_2_12_13,26623,16,425968,425024,-944,0,425024,225900,1.881470,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex297/verilog/ex297_uc_selector_plane_edges_0_2_12_13.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex297/aigs/ex297_uc_selector_plane_edges_0_2_12_13.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex297/logs/ex297_uc_selector_plane_edges_0_2_12_13.evaluate.py.log,unknown-cell-agent,"frontend_hybrid:base=pairsel_cell_bit_template;donor=selector_plane;donor_bits=0,2,12,13;synth=abc_g_aig"
unknown,ex298,2,2,0,ex298_deep_rot_plain_source_bitmix,34761,21,729981,645639,-84342,0,645639,442296,1.459744,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex298/verilog/ex298_deep_rot_plain_source_bitmix.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex298/aigs/ex298_deep_rot_plain_source_bitmix.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-state-agent/ex298/logs/ex298_deep_rot_plain_source_bitmix.evaluate.py.log,unknown-state-agent,ex298|rotated and plain high split sources have complementary boundary cones|per-output bit source grouping across exact rotated-high and high-split bodies|rotated high-split body with plain-high boundary and upper output bits|synth_preset|official_evaluate_py|plain_high_bits_0_1_10_11_12_13
unknown,ex299,2,1,1,ex299_uc_celllocal_quad_6_7_8_9,98570,18,1774260,1777032,2772,1,1774260,1013807,1.750096,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/verilog/ex299_uc_celllocal_quad_6_7_8_9.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/aigs/ex299_uc_celllocal_quad_6_7_8_9.aig,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/unknown-cell-agent/ex299/logs/ex299_uc_celllocal_quad_6_7_8_9.evaluate.py.log,unknown-cell-agent,"frontend_hybrid:base=static_celllocal_pair89;donor=sel2_celllocal_cluster_static;donor_bits=6,7,8,9;synth=abc_g_aig"
