case,variant,notes
ex236,open_low10_hi6,"special_const=40; special_full=6; special_items=6184; low_width=10; nested_hi=6; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4; b11:runs=18,max=2,const=0; b10:runs=27,max=3,const=0"
ex236,open_low12_hi6,"special_const=40; special_full=6; special_items=6184; low_width=12; nested_hi=6; classes=0; b14:runs=10,max=2,const=8; b13:runs=11,max=2,const=7; b12:runs=14,max=2,const=4"
ex237,open_low8_hi5,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex237,open_low9_hi5,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex237,open_low10_hi5,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex237,open_low11_hi5,"special_const=2; special_full=2; special_items=2050; low_width=11; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25"
ex237,open_low12_hi5,"special_const=2; special_full=2; special_items=2050; low_width=12; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27"
ex237,open_low10_hi6,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex237,open_low12_hi6,"special_const=2; special_full=2; special_items=2050; low_width=12; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=33,max=2,const=27"
ex238,open_low8_hi5,"special_const=40; special_full=6; special_items=6184; low_width=8; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2; b11:runs=23,max=3,const=0; b10:runs=36,max=4,const=0; b9:runs=63,max=7,const=0; b8:runs=117,max=13,const=0"
ex238,open_low9_hi5,"special_const=40; special_full=6; special_items=6184; low_width=9; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2; b11:runs=23,max=3,const=0; b10:runs=36,max=4,const=0; b9:runs=63,max=7,const=0"
ex238,open_low10_hi5,"special_const=40; special_full=6; special_items=6184; low_width=10; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2; b11:runs=23,max=3,const=0; b10:runs=36,max=4,const=0"
ex238,open_low11_hi5,"special_const=40; special_full=6; special_items=6184; low_width=11; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2; b11:runs=23,max=3,const=0"
ex238,open_low12_hi5,"special_const=40; special_full=6; special_items=6184; low_width=12; nested_hi=5; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2"
ex238,open_low10_hi6,"special_const=40; special_full=6; special_items=6184; low_width=10; nested_hi=6; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2; b11:runs=23,max=3,const=0; b10:runs=36,max=4,const=0"
ex238,open_low12_hi6,"special_const=40; special_full=6; special_items=6184; low_width=12; nested_hi=6; classes=0; b14:runs=10,max=2,const=8; b13:runs=12,max=2,const=6; b12:runs=16,max=2,const=2"
ex239,open_low8_hi5,"special_const=2; special_full=2; special_items=2050; low_width=8; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10; b8:runs=70,max=3,const=0"
ex239,open_low9_hi5,"special_const=2; special_full=2; special_items=2050; low_width=9; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20; b9:runs=50,max=2,const=10"
ex239,open_low10_hi5,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex239,open_low11_hi5,"special_const=2; special_full=2; special_items=2050; low_width=11; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25"
ex239,open_low12_hi5,"special_const=2; special_full=2; special_items=2050; low_width=12; nested_hi=5; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28"
ex239,open_low10_hi6,"special_const=2; special_full=2; special_items=2050; low_width=10; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28; b11:runs=35,max=2,const=25; b10:runs=40,max=2,const=20"
ex239,open_low12_hi6,"special_const=2; special_full=2; special_items=2050; low_width=12; nested_hi=6; classes=0,1,2; b14:runs=31,max=2,const=29; b13:runs=31,max=2,const=29; b12:runs=32,max=2,const=28"
