case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_prefix_default,unsigned low4_high4:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/verilog/ex255_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex255/aigs/ex255_umul_csa_prefix_default.aig,1,1,1,115,14,1610,836,1.925837,0,0,0.216,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_prefix; flow=default
ex256,ex256_umul_csa_prefix_synth_preset,unsigned low5_high5:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/verilog/ex256_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex256/aigs/ex256_umul_csa_prefix_synth_preset.aig,1,1,1,161,20,3220,1911,1.684982,0,0,0.321,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_prefix; flow=synth_preset
ex257,ex257_umul_csa_prefix_default,unsigned low6_high6:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_default.aig,1,1,1,286,25,7150,3952,1.809211,0,0,0.285,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=default
ex257,ex257_umul_csa_prefix_wreduce_default,unsigned low6_high6:a*b,csa_prefix+wreduce_default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_wreduce_default.aig,1,1,1,298,27,8046,3952,2.035931,0,0,0.304,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=wreduce_default
ex257,ex257_umul_csa_prefix_abc_g_aig,unsigned low6_high6:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_abc_g_aig.aig,1,1,1,238,25,5950,3952,1.505567,0,0,0.287,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=abc_g_aig
ex257,ex257_umul_csa_prefix_wreduce_abc_g_aig,unsigned low6_high6:a*b,csa_prefix+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_wreduce_abc_g_aig.aig,1,1,1,241,27,6507,3952,1.646508,0,0,0.299,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=wreduce_abc_g_aig
ex257,ex257_umul_csa_prefix_arith_wreduce_aig,unsigned low6_high6:a*b,csa_prefix+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_arith_wreduce_aig.aig,1,1,1,241,27,6507,3952,1.646508,0,0,0.299,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=arith_wreduce_aig
ex257,ex257_umul_csa_prefix_synth_preset,unsigned low6_high6:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/verilog/ex257_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex257/aigs/ex257_umul_csa_prefix_synth_preset.aig,1,1,1,241,25,6025,3952,1.524545,0,0,0.354,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_prefix; flow=synth_preset
ex258,ex258_umul_csa_prefix_default,unsigned low7_high7:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_default.aig,1,1,1,447,32,14304,6289,2.274447,0,0,0.524,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=default
ex258,ex258_umul_csa_prefix_wreduce_default,unsigned low7_high7:a*b,csa_prefix+wreduce_default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_wreduce_default.aig,1,1,1,451,32,14432,6289,2.294800,0,0,0.510,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=wreduce_default
ex258,ex258_umul_csa_prefix_abc_g_aig,unsigned low7_high7:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_abc_g_aig.aig,1,1,1,354,31,10974,6289,1.744952,0,0,0.504,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=abc_g_aig
ex258,ex258_umul_csa_prefix_wreduce_abc_g_aig,unsigned low7_high7:a*b,csa_prefix+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_wreduce_abc_g_aig.aig,1,1,1,357,32,11424,6289,1.816505,0,0,0.524,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=wreduce_abc_g_aig
ex258,ex258_umul_csa_prefix_arith_wreduce_aig,unsigned low7_high7:a*b,csa_prefix+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_arith_wreduce_aig.aig,1,1,1,357,32,11424,6289,1.816505,0,0,0.503,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=arith_wreduce_aig
ex258,ex258_umul_csa_prefix_synth_preset,unsigned low7_high7:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/verilog/ex258_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex258/aigs/ex258_umul_csa_prefix_synth_preset.aig,1,1,1,344,31,10664,6289,1.695659,0,0,0.587,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=csa_prefix; flow=synth_preset
ex259,ex259_umul_csa_prefix_default,unsigned low8_high8:a*b,csa_prefix+default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_default.aig,1,1,1,583,34,19822,10000,1.982200,0,0,2.005,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=default
ex259,ex259_umul_csa_prefix_wreduce_default,unsigned low8_high8:a*b,csa_prefix+wreduce_default,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_wreduce_default.aig,1,1,1,598,35,20930,10000,2.093000,0,0,1.994,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=wreduce_default
ex259,ex259_umul_csa_prefix_abc_g_aig,unsigned low8_high8:a*b,csa_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_abc_g_aig.aig,1,1,1,469,34,15946,10000,1.594600,0,0,1.922,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=abc_g_aig
ex259,ex259_umul_csa_prefix_wreduce_abc_g_aig,unsigned low8_high8:a*b,csa_prefix+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_wreduce_abc_g_aig.aig,1,1,1,475,35,16625,10000,1.662500,0,0,1.931,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=wreduce_abc_g_aig
ex259,ex259_umul_csa_prefix_arith_wreduce_aig,unsigned low8_high8:a*b,csa_prefix+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_arith_wreduce_aig.aig,1,1,1,475,35,16625,10000,1.662500,0,0,1.926,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=arith_wreduce_aig
ex259,ex259_umul_csa_prefix_synth_preset,unsigned low8_high8:a*b,csa_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/verilog/ex259_umul_csa_prefix.v,student/work/ex255_ex259_frontend_umul_csa_prefix_20260609_0022/ex259/aigs/ex259_umul_csa_prefix_synth_preset.aig,1,1,1,475,35,16625,10000,1.662500,0,0,2.023,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=csa_prefix; flow=synth_preset
