case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix4_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_bitwise+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset.aig,1,1,1,48,7,336,204,1.647059,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_prefix5_range_abc_g_aig,unsigned_floor_isqrt,prefix5_range+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_abc_g_aig.aig,1,1,1,44,8,352,204,1.725490,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_range+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_wreduce_abc_g_aig.aig,1,1,1,62,8,496,204,2.431373,0,0,0.239,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_range+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_arith_wreduce_aig.aig,1,1,1,64,8,512,204,2.509804,0,0,0.272,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_range_synth_preset,unsigned_floor_isqrt,prefix5_range+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset.aig,1,1,1,67,8,536,204,2.627451,0,0,0.293,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset
ex275,ex275_isqrt_prefix5_range_synth_preset_d8,unsigned_floor_isqrt,prefix5_range+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset_d8.aig,1,1,1,67,8,536,204,2.627451,0,0,0.300,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_range_synth_preset_d10,unsigned_floor_isqrt,prefix5_range+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset_d10.aig,1,1,1,67,8,536,204,2.627451,0,0,0.296,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.193,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex275,ex275_isqrt_cofbdd4_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd4_reverse+abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_abc_g_aig.aig,1,1,1,55,9,495,204,2.426471,0,0,0.212,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=abc_g_aig
ex275,ex275_isqrt_cofbdd4_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,cofbdd4_reverse+wreduce_abc_g_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_wreduce_abc_g_aig.aig,1,1,1,55,9,495,204,2.426471,0,0,0.214,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_cofbdd4_reverse_arith_wreduce_aig,unsigned_floor_isqrt,cofbdd4_reverse+arith_wreduce_aig,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_arith_wreduce_aig.aig,1,1,1,55,9,495,204,2.426471,0,0,0.215,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_cofbdd4_reverse_synth_preset,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_synth_preset.aig,1,1,1,51,8,408,204,2.000000,0,0,0.296,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=synth_preset
ex275,ex275_isqrt_cofbdd4_reverse_synth_preset_d8,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d8,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_synth_preset_d8.aig,1,1,1,51,8,408,204,2.000000,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=synth_preset_d8
ex275,ex275_isqrt_cofbdd4_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d10,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/verilog/ex275_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex275/aigs/ex275_isqrt_cofbdd4_reverse_synth_preset_d10.aig,1,1,1,51,8,408,204,2.000000,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=cofbdd4_reverse; flow=synth_preset_d10
