case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint.aig,1,1,1,1900,26,49400,1.403,transform=prefix_parity_reduce; outer_bits=1:2:3:7:9; inner_bits=0:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2312; unique_group_bdd_nodes=2312; group_bdd_nodes=68:62:85:77:79:71:72:66:66:60:92:86:85:79:67:62:69:65:76:71:70:63:73:69:72:68:79:74:73:66:75:72; hash=9986075a26b8,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_9_first_onehot_endpoint_rev.aig,1,1,1,2150,23,49450,1.494,transform=prefix_parity_reduce; outer_bits=1:2:3:7:9; inner_bits=0:4:5:6:8:10:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2312; unique_group_bdd_nodes=2578; group_bdd_nodes=78:69:95:85:88:78:83:74:76:67:102:94:94:86:78:70:77:71:85:79:78:70:82:77:80:74:88:82:81:73:84:80; hash=d1a00967866a,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint.aig,1,1,1,2091,24,50184,1.365,transform=prefix_parity_reduce; outer_bits=1:2:3:7:10; inner_bits=0:4:5:6:8:9:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2321; unique_group_bdd_nodes=2321; group_bdd_nodes=55:72:84:77:62:79:76:70:56:75:92:82:65:86:77:69:59:67:76:76:67:76:69:68:62:69:81:84:74:79:68:69; hash=33370d0782e2,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_case_endpoint_rev.aig,1,1,1,2075,24,49800,1.385,transform=prefix_parity_reduce; outer_bits=1:2:3:7:10; inner_bits=0:4:5:6:8:9:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2321; unique_group_bdd_nodes=2349; group_bdd_nodes=53:71:83:77:61:79:75:70:54:74:91:82:64:86:76:69:62:70:78:79:69:78:71:71:65:72:83:87:76:81:70:72; hash=4e05bd482c59,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint.aig,1,1,1,2058,25,51450,1.404,transform=prefix_parity_reduce; outer_bits=1:2:3:7:10; inner_bits=0:4:5:6:8:9:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2321; unique_group_bdd_nodes=2321; group_bdd_nodes=55:72:84:77:62:79:76:70:56:75:92:82:65:86:77:69:59:67:76:76:67:76:69:68:62:69:81:84:74:79:68:69; hash=bd77070b599b,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_2_3_7_10_first_onehot_endpoint_rev.aig,1,1,1,2136,25,53400,1.408,transform=prefix_parity_reduce; outer_bits=1:2:3:7:10; inner_bits=0:4:5:6:8:9:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2321; unique_group_bdd_nodes=2349; group_bdd_nodes=53:71:83:77:61:79:75:70:54:74:91:82:64:86:76:69:62:70:78:79:69:78:71:71:65:72:83:87:76:81:70:72; hash=c129583ac222,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint.aig,1,1,1,1622,26,42172,1.249,transform=prefix_parity_reduce; outer_bits=1:3:8:9:10; inner_bits=0:2:4:5:6:7:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint; old_group_bdd_nodes=2322; unique_group_bdd_nodes=2322; group_bdd_nodes=74:54:61:67:75:80:81:69:71:80:76:65:86:75:79:86:72:51:60:65:69:76:80:66:70:78:76:64:83:72:77:84; hash=dd9acfe8560d,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_case_endpoint_rev.aig,1,1,1,1642,26,42692,1.274,transform=prefix_parity_reduce; outer_bits=1:3:8:9:10; inner_bits=0:2:4:5:6:7:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=case; inner_order_style=endpoint_rev; old_group_bdd_nodes=2322; unique_group_bdd_nodes=2415; group_bdd_nodes=77:55:66:70:77:80:81:67:72:80:82:70:87:76:78:85:76:54:66:70:73:80:82:67:74:82:83:71:88:78:81:87; hash=8c106be29b95,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint.aig,1,1,1,1623,27,43821,1.319,transform=prefix_parity_reduce; outer_bits=1:3:8:9:10; inner_bits=0:2:4:5:6:7:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint; old_group_bdd_nodes=2322; unique_group_bdd_nodes=2322; group_bdd_nodes=74:54:61:67:75:80:81:69:71:80:76:65:86:75:79:86:72:51:60:65:69:76:80:66:70:78:76:64:83:72:77:84; hash=428b1719469b,unknown canonical prefix-key cofactor-BDD Verilog seed
ex280,ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint_rev,unknown_key_canonical_cofactor_bdd,prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint_rev,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/verilog/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint_rev.v,student/work/ex280_frontend_key_cofactor_nonprefix_selectors_20260608_2015/ex280/aigs/ex280_unknown_key_canonical_cofactor_bdd_prefix_parity_reduce_bits_1_3_8_9_10_first_onehot_endpoint_rev.aig,1,1,1,1628,26,42328,1.327,transform=prefix_parity_reduce; outer_bits=1:3:8:9:10; inner_bits=0:2:4:5:6:7:11; class_encoding=first; outer_states=32; class_count=32; unique_reps=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; rep_by_outer=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31; mux_style=onehot; inner_order_style=endpoint_rev; old_group_bdd_nodes=2322; unique_group_bdd_nodes=2415; group_bdd_nodes=77:55:66:70:77:80:81:67:72:80:82:70:87:76:78:85:76:54:66:70:73:80:82:67:74:82:83:71:88:78:81:87; hash=0ef10ddfaa6c,unknown canonical prefix-key cofactor-BDD Verilog seed
