case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d8,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d8.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.224,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d8
ex266,ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d12,unsigned low5_high5:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_bdd_greedy_interleave_msb_synth_preset_d12.aig,1,1,1,146,13,1898,848,2.238208,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d12
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig_d8,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig_d8.aig,1,1,1,132,19,2508,848,2.957547,0,0,0.342,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d8
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig_d10,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig_d10.aig,1,1,1,132,19,2508,848,2.957547,0,0,0.331,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d10
ex266,ex266_udiv_radix4_shift_subtract_abc_g_aig_d12,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_abc_g_aig_d12.aig,1,1,1,132,19,2508,848,2.957547,0,0,0.308,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d12
ex266,ex266_udiv_radix4_shift_subtract_synth_preset_d8,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_synth_preset_d8.aig,1,1,1,123,18,2214,848,2.610849,0,0,0.387,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d8
ex266,ex266_udiv_radix4_shift_subtract_synth_preset_d10,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_synth_preset_d10.aig,1,1,1,123,18,2214,848,2.610849,0,0,0.371,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d10
ex266,ex266_udiv_radix4_shift_subtract_synth_preset_d12,unsigned low5_high5:a/b dbz=max,radix4_shift_subtract+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/verilog/ex266_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex266/aigs/ex266_udiv_radix4_shift_subtract_synth_preset_d12.aig,1,1,1,123,18,2214,848,2.610849,0,0,0.376,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d12
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig_d8,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig_d8.aig,1,1,1,345,16,5520,2651,2.082233,0,0,0.274,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d8
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig_d10,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig_d10.aig,1,1,1,345,16,5520,2651,2.082233,0,0,0.316,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d10
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig_d12,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig_d12.aig,1,1,1,345,16,5520,2651,2.082233,0,0,0.271,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d12
ex267,ex267_udiv_bdd_interleave_msb_synth_preset_d8,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset_d8.aig,1,1,1,333,16,5328,2651,2.009808,0,0,0.369,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d8
ex267,ex267_udiv_bdd_interleave_msb_synth_preset_d10,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset_d10.aig,1,1,1,333,16,5328,2651,2.009808,0,0,0.381,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d10
ex267,ex267_udiv_bdd_interleave_msb_synth_preset_d12,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset_d12.aig,1,1,1,333,16,5328,2651,2.009808,0,0,0.371,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d12
ex267,ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d8,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d8.aig,1,1,1,329,16,5264,2651,1.985666,0,0,0.271,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d8
ex267,ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d10.aig,1,1,1,329,16,5264,2651,1.985666,0,0,0.272,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d10
ex267,ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d12,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_abc_g_aig_d12.aig,1,1,1,329,16,5264,2651,1.985666,0,0,0.268,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=abc_g_aig_d12
ex267,ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d8,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d8.aig,1,1,1,328,17,5576,2651,2.103357,0,0,0.368,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d8
ex267,ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d10,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d10.aig,1,1,1,328,17,5576,2651,2.103357,0,0,0.369,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d10
ex267,ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d12,unsigned low6_high6:a/b dbz=max,bdd_greedy_interleave_msb+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_bdd_greedy_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_bdd_greedy_interleave_msb_synth_preset_d12.aig,1,1,1,328,17,5576,2651,2.103357,0,0,0.369,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_greedy_interleave_msb; flow=synth_preset_d12
ex267,ex267_udiv_radix4_shift_subtract_abc_g_aig_d8,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_abc_g_aig_d8.aig,1,1,1,199,28,5572,2651,2.101848,0,0,0.363,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d8
ex267,ex267_udiv_radix4_shift_subtract_abc_g_aig_d10,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_abc_g_aig_d10.aig,1,1,1,199,28,5572,2651,2.101848,0,0,0.366,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d10
ex267,ex267_udiv_radix4_shift_subtract_abc_g_aig_d12,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_abc_g_aig_d12.aig,1,1,1,199,28,5572,2651,2.101848,0,0,0.366,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=abc_g_aig_d12
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d8,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d8.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.426,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d8
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d10,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d10.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.442,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d10
ex267,ex267_udiv_radix4_shift_subtract_synth_preset_d12,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/verilog/ex267_udiv_radix4_shift_subtract.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex267/aigs/ex267_udiv_radix4_shift_subtract_synth_preset_d12.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.445,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract; flow=synth_preset_d12
ex269,ex269_udiv_bdd_interleave_msb_abc_g_aig_d8,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_abc_g_aig_d8.aig,1,1,1,1703,23,39169,11760,3.330697,0,0,0.734,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d8
ex269,ex269_udiv_bdd_interleave_msb_abc_g_aig_d10,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_abc_g_aig_d10.aig,1,1,1,1703,23,39169,11760,3.330697,0,0,0.734,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d10
ex269,ex269_udiv_bdd_interleave_msb_abc_g_aig_d12,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_abc_g_aig_d12.aig,1,1,1,1703,23,39169,11760,3.330697,0,0,0.729,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d12
ex269,ex269_udiv_bdd_interleave_msb_synth_preset_d8,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+synth_preset_d8,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_synth_preset_d8.aig,1,1,1,1679,22,36938,11760,3.140986,0,0,1.033,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d8
ex269,ex269_udiv_bdd_interleave_msb_synth_preset_d10,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+synth_preset_d10,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_synth_preset_d10.aig,1,1,1,1679,22,36938,11760,3.140986,0,0,1.035,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d10
ex269,ex269_udiv_bdd_interleave_msb_synth_preset_d12,unsigned low8_high8:a/b dbz=max,bdd_interleave_msb+synth_preset_d12,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/verilog/ex269_udiv_bdd_interleave_msb.v,student/work/ex266_ex267_ex269_frontend_udiv_lowdelay_flow_20260609_1200/ex269/aigs/ex269_udiv_bdd_interleave_msb_synth_preset_d12.aig,1,1,1,1679,22,36938,11760,3.140986,0,0,1.033,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset_d12
