case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex257,ex257_umul_dadda_bits_abc_g_aig,unsigned low6_high6:a*b,dadda_bits+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_abc_g_aig.aig,1,1,1,241,31,7471,3952,1.890435,0,0,0.260,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=abc_g_aig
ex257,ex257_umul_dadda_bits_synth_preset,unsigned low6_high6:a*b,dadda_bits+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_synth_preset.aig,1,1,1,239,31,7409,3952,1.874747,0,0,0.338,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=synth_preset
ex257,ex257_umul_dadda_bits_abc_g_aig_d20,unsigned low6_high6:a*b,dadda_bits+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_abc_g_aig_d20.aig,1,1,1,241,31,7471,3952,1.890435,0,0,0.256,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex257,ex257_umul_dadda_bits_synth_preset_d20,unsigned low6_high6:a*b,dadda_bits+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_synth_preset_d20.aig,1,1,1,239,31,7409,3952,1.874747,0,0,0.330,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=synth_preset_d20
ex257,ex257_umul_dadda_bits_prefix_default,unsigned low6_high6:a*b,dadda_bits_prefix+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_default.aig,1,1,1,335,27,9045,3952,2.288715,0,0,0.287,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=default
ex257,ex257_umul_dadda_bits_prefix_abc_g_aig,unsigned low6_high6:a*b,dadda_bits_prefix+abc_g_aig,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_abc_g_aig.aig,1,1,1,275,27,7425,3952,1.878796,0,0,0.272,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex257,ex257_umul_dadda_bits_prefix_synth_preset,unsigned low6_high6:a*b,dadda_bits_prefix+synth_preset,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_synth_preset.aig,1,1,1,274,27,7398,3952,1.871964,0,0,0.359,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=synth_preset
ex257,ex257_umul_dadda_bits_prefix_abc_g_aig_d20,unsigned low6_high6:a*b,dadda_bits_prefix+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_abc_g_aig_d20.aig,1,1,1,275,27,7425,3952,1.878796,0,0,0.272,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex257,ex257_umul_dadda_bits_prefix_synth_preset_d20,unsigned low6_high6:a*b,dadda_bits_prefix+synth_preset_d20,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/verilog/ex257_umul_dadda_bits_prefix.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_synth_preset_d20.aig,1,1,1,274,27,7398,3952,1.871964,0,0,0.359,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex258,ex258_umul_dadda_bits_default,unsigned low7_high7:a*b,dadda_bits+default,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/verilog/ex258_umul_dadda_bits.v,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_default.aig,1,1,0,,,,6289,,,,0.426,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=default
