case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_dadda_bits_default,1,106,16,1696,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex255/aigs/ex255_umul_dadda_bits_default.aig,exact unsigned low4 * high4 over 256 inputs; source=dadda_bits; flow=default
ex257,ex257_umul_dadda_bits_default,1,308,31,9548,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=default
ex257,ex257_umul_dadda_bits_abc_g_aig,1,241,31,7471,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=abc_g_aig
ex257,ex257_umul_dadda_bits_synth_preset,1,239,31,7409,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=synth_preset
ex257,ex257_umul_dadda_bits_abc_g_aig_d20,1,241,31,7471,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_abc_g_aig_d20.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex257,ex257_umul_dadda_bits_synth_preset_d20,1,239,31,7409,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_synth_preset_d20.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits; flow=synth_preset_d20
ex257,ex257_umul_dadda_bits_prefix_default,1,335,27,9045,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=default
ex257,ex257_umul_dadda_bits_prefix_abc_g_aig,1,275,27,7425,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex257,ex257_umul_dadda_bits_prefix_synth_preset,1,274,27,7398,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=synth_preset
ex257,ex257_umul_dadda_bits_prefix_abc_g_aig_d20,1,275,27,7425,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_abc_g_aig_d20.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex257,ex257_umul_dadda_bits_prefix_synth_preset_d20,1,274,27,7398,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex257/aigs/ex257_umul_dadda_bits_prefix_synth_preset_d20.aig,exact unsigned low6 * high6 over 4096 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex258,ex258_umul_dadda_bits_default,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=default
ex258,ex258_umul_dadda_bits_abc_g_aig,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=abc_g_aig
ex258,ex258_umul_dadda_bits_synth_preset,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=synth_preset
ex258,ex258_umul_dadda_bits_abc_g_aig_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_abc_g_aig_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex258,ex258_umul_dadda_bits_synth_preset_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_synth_preset_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits; flow=synth_preset_d20
ex258,ex258_umul_dadda_bits_prefix_default,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=default
ex258,ex258_umul_dadda_bits_prefix_abc_g_aig,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex258,ex258_umul_dadda_bits_prefix_synth_preset,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=synth_preset
ex258,ex258_umul_dadda_bits_prefix_abc_g_aig_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_abc_g_aig_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex258,ex258_umul_dadda_bits_prefix_synth_preset_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex258/aigs/ex258_umul_dadda_bits_prefix_synth_preset_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
ex259,ex259_umul_dadda_bits_default,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=default
ex259,ex259_umul_dadda_bits_abc_g_aig,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=abc_g_aig
ex259,ex259_umul_dadda_bits_synth_preset,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=synth_preset
ex259,ex259_umul_dadda_bits_abc_g_aig_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_abc_g_aig_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=abc_g_aig_d20
ex259,ex259_umul_dadda_bits_synth_preset_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_synth_preset_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits; flow=synth_preset_d20
ex259,ex259_umul_dadda_bits_prefix_default,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=default
ex259,ex259_umul_dadda_bits_prefix_abc_g_aig,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=abc_g_aig
ex259,ex259_umul_dadda_bits_prefix_synth_preset,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=synth_preset
ex259,ex259_umul_dadda_bits_prefix_abc_g_aig_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_abc_g_aig_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=abc_g_aig_d20
ex259,ex259_umul_dadda_bits_prefix_synth_preset_d20,0,,,,student/work/ex255_ex259_frontend_umul_dadda_bits_20260609_0037/ex259/aigs/ex259_umul_dadda_bits_prefix_synth_preset_d20.aig,exact unsigned low8 * high8 over 65536 inputs; source=dadda_bits_prefix; flow=synth_preset_d20
