case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_lz_threshold_low2_case_abc_g_aig,unsigned low5_high5:a/b dbz=max,lz_threshold_low2_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/verilog/ex266_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex266/aigs/ex266_udiv_lz_threshold_low2_case_abc_g_aig.aig,1,1,1,219,19,4161,848,4.906840,0,0,0.410,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low2_case_synth_preset,unsigned low6_high6:a/b dbz=max,lz_threshold_low2_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low2_case_synth_preset.aig,1,1,1,540,31,16740,2651,6.314598,0,0,0.669,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low2_case; flow=synth_preset
ex267,ex267_udiv_lz_threshold_low3_case_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low3_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low3_case_abc_g_aig.aig,1,1,1,419,20,8380,2651,3.161071,0,0,0.722,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low3_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low3_case_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low3_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low3_case_wreduce_abc_g_aig.aig,1,1,1,402,20,8040,2651,3.032818,0,0,0.656,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low3_case; flow=wreduce_abc_g_aig
ex267,ex267_udiv_lz_threshold_low3_case_synth_preset,unsigned low6_high6:a/b dbz=max,lz_threshold_low3_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low3_case_synth_preset.aig,1,1,1,382,49,18718,2651,7.060732,0,0,0.551,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low3_case; flow=synth_preset
ex267,ex267_udiv_lz_threshold_low4_case_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low4_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low4_case_abc_g_aig.aig,1,1,1,410,19,7790,2651,2.938514,0,0,1.172,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low4_case; flow=abc_g_aig
ex267,ex267_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,lz_threshold_low4_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,1,1,1,395,18,7110,2651,2.682007,0,0,1.139,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
ex267,ex267_udiv_lz_threshold_low4_case_synth_preset,unsigned low6_high6:a/b dbz=max,lz_threshold_low4_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/verilog/ex267_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex267/aigs/ex267_udiv_lz_threshold_low4_case_synth_preset.aig,1,1,1,250,50,12500,2651,4.715202,0,0,0.509,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=lz_threshold_low4_case; flow=synth_preset
ex269,ex269_udiv_lz_threshold_low2_case_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low2_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low2_case_abc_g_aig.aig,1,1,1,3402,82,278964,11760,23.721429,0,0,4.517,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low2_case; flow=abc_g_aig
ex269,ex269_udiv_lz_threshold_low2_case_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low2_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low2_case_wreduce_abc_g_aig.aig,1,1,1,3069,81,248589,11760,21.138520,0,0,2.531,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low2_case; flow=wreduce_abc_g_aig
ex269,ex269_udiv_lz_threshold_low2_case_synth_preset,unsigned low8_high8:a/b dbz=max,lz_threshold_low2_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low2_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low2_case_synth_preset.aig,1,1,1,2636,81,213516,11760,18.156122,0,0,3.060,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low2_case; flow=synth_preset
ex269,ex269_udiv_lz_threshold_low3_case_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low3_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low3_case_abc_g_aig.aig,1,1,1,2209,50,110450,11760,9.392007,0,0,2.613,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low3_case; flow=abc_g_aig
ex269,ex269_udiv_lz_threshold_low3_case_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low3_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low3_case_wreduce_abc_g_aig.aig,1,1,1,1813,46,83398,11760,7.091667,0,0,1.727,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low3_case; flow=wreduce_abc_g_aig
ex269,ex269_udiv_lz_threshold_low3_case_synth_preset,unsigned low8_high8:a/b dbz=max,lz_threshold_low3_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low3_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low3_case_synth_preset.aig,1,1,1,1695,69,116955,11760,9.945153,0,0,1.562,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low3_case; flow=synth_preset
ex269,ex269_udiv_lz_threshold_low4_case_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low4_case+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low4_case_abc_g_aig.aig,1,1,1,1480,33,48840,11760,4.153061,0,0,2.968,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low4_case; flow=abc_g_aig
ex269,ex269_udiv_lz_threshold_low4_case_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,lz_threshold_low4_case+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low4_case_wreduce_abc_g_aig.aig,1,1,1,1305,32,41760,11760,3.551020,0,0,2.186,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low4_case; flow=wreduce_abc_g_aig
ex269,ex269_udiv_lz_threshold_low4_case_synth_preset,unsigned low8_high8:a/b dbz=max,lz_threshold_low4_case+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/verilog/ex269_udiv_lz_threshold_low4_case.v,student/work/ex266_ex267_ex269_frontend_udiv_lz_threshold_20260609_1040/ex269/aigs/ex269_udiv_lz_threshold_low4_case_synth_preset.aig,1,1,1,997,75,74775,11760,6.358418,0,0,1.081,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=lz_threshold_low4_case; flow=synth_preset
