case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_prefix3_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix3_bitwise_oh_abc_g_aig.aig,1,1,1,46,8,368,204,1.803922,0,0,0.203,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_bitwise_oh; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_oh_synth_preset_d6,unsigned_floor_isqrt,prefix4_bitwise_oh+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_synth_preset_d6.aig,1,1,1,49,7,343,204,1.681373,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_bitwise_oh_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise_oh+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_synth_preset_d8.aig,1,1,1,49,7,343,204,1.681373,0,0,0.266,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_oh_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise_oh+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_oh_synth_preset_d10.aig,1,1,1,49,7,343,204,1.681373,0,0,0.304,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise_oh; flow=synth_preset_d10
ex275,ex275_isqrt_prefix5_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix5_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.198,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_bitwise_oh_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_bitwise_oh+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_wreduce_abc_g_aig.aig,1,1,1,50,8,400,204,1.960784,0,0,0.201,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_bitwise_oh_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_bitwise_oh+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_arith_wreduce_aig.aig,1,1,1,52,8,416,204,2.039216,0,0,0.205,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_bitwise_oh_synth_preset,unsigned_floor_isqrt,prefix5_bitwise_oh+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_synth_preset.aig,1,1,1,47,9,423,204,2.073529,0,0,0.265,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=synth_preset
ex275,ex275_isqrt_prefix5_bitwise_oh_synth_preset_d6,unsigned_floor_isqrt,prefix5_bitwise_oh+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_synth_preset_d6.aig,1,1,1,47,9,423,204,2.073529,0,0,0.269,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=synth_preset_d6
ex275,ex275_isqrt_prefix5_bitwise_oh_synth_preset_d8,unsigned_floor_isqrt,prefix5_bitwise_oh+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_synth_preset_d8.aig,1,1,1,47,9,423,204,2.073529,0,0,0.269,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=synth_preset_d8
ex275,ex275_isqrt_prefix5_bitwise_oh_synth_preset_d10,unsigned_floor_isqrt,prefix5_bitwise_oh+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix5_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix5_bitwise_oh_synth_preset_d10.aig,1,1,1,47,9,423,204,2.073529,0,0,0.304,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_bitwise_oh; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.224,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.228,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_arith_wreduce_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.248,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset.aig,1,1,1,48,7,336,204,1.647059,0,0,0.285,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d6.aig,1,1,1,48,7,336,204,1.647059,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.282,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.284,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.232,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.207,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.255,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex276,ex276_isqrt_prefix3_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_abc_g_aig.aig,1,1,1,109,11,1199,632,1.897152,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=abc_g_aig
ex276,ex276_isqrt_prefix3_bitwise_oh_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_wreduce_abc_g_aig.aig,1,1,1,109,11,1199,632,1.897152,0,0,0.291,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix3_bitwise_oh_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_bitwise_oh+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_arith_wreduce_aig.aig,1,1,1,110,11,1210,632,1.914557,0,0,0.300,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix3_bitwise_oh_synth_preset,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_synth_preset.aig,1,1,1,110,12,1320,632,2.088608,0,0,0.402,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=synth_preset
ex276,ex276_isqrt_prefix3_bitwise_oh_synth_preset_d6,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_synth_preset_d6.aig,1,1,1,110,12,1320,632,2.088608,0,0,0.368,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d6
ex276,ex276_isqrt_prefix3_bitwise_oh_synth_preset_d8,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_synth_preset_d8.aig,1,1,1,110,12,1320,632,2.088608,0,0,0.367,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d8
ex276,ex276_isqrt_prefix3_bitwise_oh_synth_preset_d10,unsigned_floor_isqrt,prefix3_bitwise_oh+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix3_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix3_bitwise_oh_synth_preset_d10.aig,1,1,1,110,12,1320,632,2.088608,0,0,0.369,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix3_bitwise_oh; flow=synth_preset_d10
ex276,ex276_isqrt_prefix4_bitwise_oh_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise_oh+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix4_bitwise_oh_abc_g_aig.aig,1,1,1,114,10,1140,632,1.803797,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_bitwise_oh; flow=abc_g_aig
ex276,ex276_isqrt_prefix4_bitwise_oh_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise_oh+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/verilog/ex276_isqrt_prefix4_bitwise_oh.v,student/work/ex275_ex276_frontend_isqrt_onehot_bitwise_20260609_1618/ex276/aigs/ex276_isqrt_prefix4_bitwise_oh_wreduce_abc_g_aig.aig,1,1,1,114,10,1140,632,1.803797,0,0,0.254,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_bitwise_oh; flow=wreduce_abc_g_aig
