case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop3_trunc_csel2_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel2+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel2.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel2_synth_preset_d20.aig,1,1,1,994,49,48706,21630,2.251780,0,0,3.699,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel2; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_trunc_csel3_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel3+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel3_abc_g_aig.aig,1,1,1,1015,44,44660,21630,2.064725,0,0,3.534,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel3; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel3_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel3+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel3_wreduce_abc_g_aig.aig,1,1,1,1014,44,44616,21630,2.062691,0,0,3.533,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel3; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel3_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel3+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel3_synth_preset.aig,1,1,1,1005,44,44220,21630,2.044383,0,0,3.764,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel3; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_trunc_csel3_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel3+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel3.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel3_synth_preset_d20.aig,1,1,1,1005,44,44220,21630,2.044383,0,0,3.779,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel3; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_trunc_csel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel4+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel4_abc_g_aig.aig,1,1,1,1010,44,44440,21630,2.054554,0,0,3.536,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel4+wreduce_abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel4_wreduce_abc_g_aig.aig,1,1,1,1008,44,44352,21630,2.050485,0,0,3.531,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_csel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel4+synth_preset,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel4_synth_preset.aig,1,1,1,1010,44,44440,21630,2.054554,0,0,3.752,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_trunc_csel4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel4+synth_preset_d20,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel4.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel4_synth_preset_d20.aig,1,1,1,1010,44,44440,21630,2.054554,0,0,3.716,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel4; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_trunc_csel10_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_csel10+abc_g_aig,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_csel10.v,student/work/ex274_frontend_square_trunc_csel_fine2_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_csel10_abc_g_aig.aig,1,1,1,1021,42,42882,21630,1.982524,0,0,4.546,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_csel10; flow=abc_g_aig
