case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi1+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi1.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi1_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi1; flow=abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi3_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi3+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi3.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi3_wreduce_abc_g_aig.aig,1,1,1,128,12,1536,657,2.337900,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi3; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi3_synth_preset_d13,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi3+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi3.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi3_synth_preset_d13.aig,1,1,1,114,12,1368,657,2.082192,0,0,0.280,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi3; flow=synth_preset_d13
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig_d9,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi3+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi3.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig_d9.aig,1,1,1,122,12,1464,657,2.228311,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi3; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig_d11,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi3+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi3.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi3_abc_g_aig_d11.aig,1,1,1,122,12,1464,657,2.228311,0,0,0.233,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi3; flow=abc_g_aig_d11
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi4+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig.aig,1,1,1,189,9,1701,657,2.589041,0,0,0.243,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi4; flow=abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi4_wreduce_abc_g_aig,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi4+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi4_wreduce_abc_g_aig.aig,1,1,1,180,9,1620,657,2.465753,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi4; flow=wreduce_abc_g_aig
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi4_synth_preset_d13,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi4+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi4_synth_preset_d13.aig,1,1,1,182,10,1820,657,2.770167,0,0,0.358,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi4; flow=synth_preset_d13
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig_d9,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi4+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig_d9.aig,1,1,1,189,9,1701,657,2.589041,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi4; flow=abc_g_aig_d9
ex260,ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig_d11,signed low4_high4:a*b,ex260_rev_hcla4_qmc_hi4+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_ex260_rev_hcla4_qmc_hi4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_ex260_rev_hcla4_qmc_hi4_abc_g_aig_d11.aig,1,1,1,189,9,1701,657,2.589041,0,0,0.242,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=ex260_rev_hcla4_qmc_hi4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.232,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d9.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+wreduce_abc_g_aig,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+synth_preset_d13,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_synth_preset_d13.aig,1,1,1,87,14,1218,657,1.853881,0,0,0.311,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+abc_g_aig_d9,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_rhcla4+abc_g_aig_d11,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_rhcla4.v,student/work/ex260_frontend_smul_qmc_high_override_20260609_0603/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_rhcla4_abc_g_aig_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_rhcla4; flow=abc_g_aig_d11
