case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_rev_abc_g_aig,1,161,20,3220,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,1,161,20,3220,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13,1,163,20,3260,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18,1,163,20,3260,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex261/aigs/ex261_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_rows_plus_abc_g_aig,1,492,32,15744,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_plus_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_rows_plus_wreduce_abc_g_aig,1,493,32,15776,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_plus_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_rows_plus_synth_preset_d13,1,493,33,16269,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_plus_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_rows_plus_synth_preset_d18,1,493,33,16269,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_plus_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_plus; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_rows_cla_abc_g_aig,1,490,32,15680,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_cla_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_cla; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_rows_cla_wreduce_abc_g_aig,1,490,34,16660,student/work/ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558/ex264/aigs/ex264_smul_baugh_wooley_rows_cla_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_rows_cla; flow=wreduce_abc_g_aig
