case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_split_half_signed_abc_g_aig,signed low4_high4:a*b,split_half_signed+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_split_half_signed.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_split_half_signed_abc_g_aig.aig,1,1,1,96,20,1920,657,2.922374,0,0,0.216,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=split_half_signed; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla2+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla2.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla2_synth_preset_d18.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.259,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla2; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla3+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla3.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla3_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla3_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla3+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla3.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla3_wreduce_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.214,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla3; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla3+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla3.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla3; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla3+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla3.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla3; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla3+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla3.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla3_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla3; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.217,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.257,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.250,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.202,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_synth_preset_d18.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.229,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.248,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d9,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d9.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.294,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d13,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d18,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d18.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.297,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
ex260,ex260_smul_booth_radix4_csa_cla_abc_g_aig,signed low4_high4:a*b,booth_radix4_csa_cla+abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.234,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_csa_cla+wreduce_abc_g_aig,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_csa_cla_wreduce_abc_g_aig.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.236,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d9,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d9,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d9.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.291,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d13,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.288,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_csa_cla_synth_preset_d18,signed low4_high4:a*b,booth_radix4_csa_cla+synth_preset_d18,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/ex260_frontend_smul_split2_20260609_0344/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d18.aig,1,1,1,102,16,1632,657,2.484018,0,0,0.296,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d18
