case,input_bit,word_change_pairs,word_change_fraction,changed_output_bits
ex288,9,16384,1.000000,0:1:2:3:4:5:6:8:9:10:11:12:13:14
ex288,10,16384,1.000000,0:1:2:3:4:5:6:8:9:10:11:12:13:14
ex288,11,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,12,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,13,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex288,14,16384,1.000000,0:1:2:3:4:5:6:8:9:10:11:12:13:14
ex289,0,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,1,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,2,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,3,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,4,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,5,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,6,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,7,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,8,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,9,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,10,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,11,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,12,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,13,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,14,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex289,15,32768,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex290,0,2038,0.995117,0:1:2:3:4:5:6:7:8:9:10:11
ex290,1,2034,0.993164,0:1:2:3:4:5:6:7:8:9:10:11
ex290,2,2041,0.996582,0:1:2:3:4:5:6:7:8:9:10:11
ex290,3,2040,0.996094,0:1:2:3:4:5:6:7:8:9:10:11
ex290,4,1792,0.875000,0:1:2:3:4:5:6:7:8:9:10:11
ex290,5,1772,0.865234,0:1:2:3:4:5:6:7:8:9:10:11
ex290,6,1853,0.904785,0:1:2:3:4:5:6:7:8:9:10:11
ex290,7,1768,0.863281,0:1:2:3:4:5:6:7:8:9:10:11
ex290,8,2032,0.992188,0:1:2:3:4:5:6:7:8:9:10:11
ex290,9,2033,0.992676,0:1:2:3:4:5:6:7:8:9:10:11
ex290,10,2042,0.997070,0:1:2:3:4:5:6:7:8:9:10:11
ex290,11,2033,0.992676,0:1:2:3:4:5:6:7:8:9:10:11
ex291,0,4090,0.998535,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,1,4082,0.996582,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,2,4079,0.995850,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,3,4087,0.997803,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,4,3456,0.843750,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,5,3652,0.891602,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,6,3646,0.890137,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,7,3524,0.860352,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,8,3524,0.860352,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,9,4077,0.995361,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,10,4083,0.996826,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,11,4090,0.998535,0:1:2:3:4:5:6:7:8:9:10:11:12
ex291,12,4080,0.996094,0:1:2:3:4:5:6:7:8:9:10:11:12
ex292,0,8185,0.999146,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,1,8181,0.998657,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,2,8177,0.998169,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,3,8186,0.999268,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,4,7344,0.896484,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,5,7072,0.863281,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,6,7240,0.883789,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,7,7204,0.879395,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,8,7332,0.895020,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,9,7024,0.857422,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,10,8176,0.998047,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,11,8175,0.997925,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,12,8179,0.998413,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex292,13,8175,0.997925,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex293,0,16358,0.998413,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,1,16345,0.997620,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,2,16340,0.997314,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,3,16362,0.998657,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,4,14176,0.865234,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,5,14240,0.869141,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,6,14608,0.891602,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,7,14528,0.886719,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,8,14320,0.874023,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,9,14272,0.871094,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,10,14352,0.875977,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,11,16321,0.996155,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,12,16308,0.995361,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,13,16322,0.996216,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex293,14,16308,0.995361,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14
ex294,0,32698,0.997864,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,1,32730,0.998840,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,2,32740,0.999146,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,3,32658,0.996643,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,4,28544,0.871094,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,5,28768,0.877930,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,6,29344,0.895508,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,7,27648,0.843750,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,8,28768,0.877930,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,9,28064,0.856445,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,10,29440,0.898438,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,11,28512,0.870117,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,12,32733,0.998932,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,13,32727,0.998749,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,14,32717,0.998444,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex294,15,32566,0.993835,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex295,0,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,1,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex295,2,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,3,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex295,4,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,5,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex295,6,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,7,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex295,8,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,9,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex295,10,2045,0.998535,0:1:2:3:4:5:6:7:8:9:10:11
ex295,11,1826,0.891602,0:1:2:3:4:5:6:7:8:9:10:11
ex296,0,4093,0.999268,0:1:2:3:4:5:6:7:8:9:10:11
ex296,1,2568,0.626953,0:1:2:3:4:5:6:7:8:9:10:11
ex296,2,4088,0.998047,0:1:2:3:4:5:6:7:8:9:10:11
ex296,3,3224,0.787109,0:1:2:3:4:5:6:7:8:9:10:11
ex296,4,4092,0.999023,0:1:2:3:4:5:6:7:8:9:10:11
ex296,5,3498,0.854004,0:1:2:3:4:5:6:7:8:9:10:11
ex296,6,4094,0.999512,0:1:2:3:4:5:6:7:8:9:10:11
ex296,7,3645,0.889893,0:1:2:3:4:5:6:7:8:9:10:11
ex296,8,4093,0.999268,0:1:2:3:4:5:6:7:8:9:10:11
ex296,9,3658,0.893066,0:1:2:3:4:5:6:7:8:9:10:11
ex296,10,4096,1.000000,0:1:2:3:4:5:6:7:8:9:10:11
ex296,11,3762,0.918457,0:1:2:3:4:5:6:7:8:9:10:11
ex296,12,3201,0.781494,0:1:2:3:4:5:6:7:8:9:10:11
ex297,0,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,1,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,2,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,3,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,4,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,5,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,6,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,7,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,8,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,9,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,10,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,11,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,12,8184,0.999023,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex297,13,7343,0.896362,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,0,16377,0.999573,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,1,10131,0.618347,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,2,16375,0.999451,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,3,12685,0.774231,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,4,16366,0.998901,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,5,13827,0.843933,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,6,16377,0.999573,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,7,14374,0.877319,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,8,16383,0.999939,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,9,14722,0.898560,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,10,16379,0.999695,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,11,14673,0.895569,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,12,16384,1.000000,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,13,15067,0.919617,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex298,14,12832,0.783203,0:1:2:3:4:5:6:7:8:9:10:11:12:13
ex299,0,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,1,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,2,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,3,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,4,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,5,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,6,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,7,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,8,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,9,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,10,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,11,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,12,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,13,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,14,32762,0.999817,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
ex299,15,29509,0.900543,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15
