case,rank,variant,rotate,outer,outer_bits,inner_bits,exceptions,exception_fraction,full_default_groups
ex282,10,rotate5_high13,5,high,13,1,7915,0.483093,277
ex282,11,rotate5_low13,5,low,13,1,8030,0.490112,162
ex282,12,rotate6_high13,6,high,13,1,8030,0.490112,162
ex283,1,rotate0_low14,0,low,14,1,11760,0.358887,4624
ex283,2,rotate1_high14,1,high,14,1,11760,0.358887,4624
ex283,3,rotate1_low14,1,low,14,1,13419,0.409515,2965
ex283,4,rotate2_high14,2,high,14,1,13419,0.409515,2965
ex283,5,rotate2_low14,2,low,14,1,14493,0.442291,1891
ex283,6,rotate3_high14,3,high,14,1,14493,0.442291,1891
ex283,7,rotate3_low14,3,low,14,1,15304,0.467041,1080
ex283,8,rotate4_high14,4,high,14,1,15304,0.467041,1080
ex283,9,rotate4_low14,4,low,14,1,15807,0.482391,577
ex283,10,rotate5_high14,5,high,14,1,15807,0.482391,577
ex283,11,rotate5_low14,5,low,14,1,16038,0.489441,346
ex283,12,rotate6_high14,6,high,14,1,16038,0.489441,346
ex284,1,rotate0_low15,0,low,15,1,23544,0.359253,9224
ex284,2,rotate1_high15,1,high,15,1,23544,0.359253,9224
ex284,3,rotate1_low15,1,low,15,1,26859,0.409836,5909
ex284,4,rotate2_high15,2,high,15,1,26859,0.409836,5909
ex284,5,rotate2_low15,2,low,15,1,29048,0.443237,3720
ex284,6,rotate3_high15,3,high,15,1,29048,0.443237,3720
ex284,7,rotate3_low15,3,low,15,1,30660,0.467834,2108
ex284,8,rotate4_high15,4,high,15,1,30660,0.467834,2108
ex284,9,rotate4_low15,4,low,15,1,31675,0.483322,1093
ex284,10,rotate5_high15,5,high,15,1,31675,0.483322,1093
ex284,11,rotate5_low15,5,low,15,1,32156,0.490662,612
ex284,12,rotate6_high15,6,high,15,1,32156,0.490662,612
ex285,1,rotate4_low10,4,low,10,2,2048,0.500000,0
ex285,2,rotate6_high10,6,high,10,2,2048,0.500000,0
ex285,3,rotate6_low10,6,low,10,2,2048,0.500000,0
ex285,4,rotate8_high10,8,high,10,2,2048,0.500000,0
ex285,5,rotate0_high11,0,high,11,1,2048,0.500000,0
ex285,6,rotate0_low11,0,low,11,1,2048,0.500000,0
ex285,7,rotate1_high11,1,high,11,1,2048,0.500000,0
ex285,8,rotate1_low11,1,low,11,1,2048,0.500000,0
ex285,9,rotate2_high11,2,high,11,1,2048,0.500000,0
ex285,10,rotate2_low11,2,low,11,1,2048,0.500000,0
ex285,11,rotate3_high11,3,high,11,1,2048,0.500000,0
ex285,12,rotate3_low11,3,low,11,1,2048,0.500000,0
ex286,1,rotate5_low11,5,low,11,2,4096,0.500000,0
ex286,2,rotate7_high11,7,high,11,2,4096,0.500000,0
ex286,3,rotate7_low11,7,low,11,2,4096,0.500000,0
ex286,4,rotate9_high11,9,high,11,2,4096,0.500000,0
ex286,5,rotate0_high12,0,high,12,1,4096,0.500000,0
ex286,6,rotate0_low12,0,low,12,1,4096,0.500000,0
ex286,7,rotate1_high12,1,high,12,1,4096,0.500000,0
ex286,8,rotate1_low12,1,low,12,1,4096,0.500000,0
ex286,9,rotate2_high12,2,high,12,1,4096,0.500000,0
ex286,10,rotate2_low12,2,low,12,1,4096,0.500000,0
ex286,11,rotate3_high12,3,high,12,1,4096,0.500000,0
ex286,12,rotate3_low12,3,low,12,1,4096,0.500000,0
ex287,1,rotate4_low12,4,low,12,2,8192,0.500000,0
ex287,2,rotate6_high12,6,high,12,2,8192,0.500000,0
ex287,3,rotate6_low12,6,low,12,2,8192,0.500000,0
ex287,4,rotate8_high12,8,high,12,2,8192,0.500000,0
ex287,5,rotate8_low12,8,low,12,2,8192,0.500000,0
ex287,6,rotate10_high12,10,high,12,2,8192,0.500000,0
ex287,7,rotate0_high13,0,high,13,1,8192,0.500000,0
ex287,8,rotate0_low13,0,low,13,1,8192,0.500000,0
ex287,9,rotate1_high13,1,high,13,1,8192,0.500000,0
ex287,10,rotate1_low13,1,low,13,1,8192,0.500000,0
ex287,11,rotate2_high13,2,high,13,1,8192,0.500000,0
ex287,12,rotate2_low13,2,low,13,1,8192,0.500000,0
ex288,1,rotate5_low13,5,low,13,2,16384,0.500000,0
ex288,2,rotate7_high13,7,high,13,2,16384,0.500000,0
ex288,3,rotate7_low13,7,low,13,2,16384,0.500000,0
ex288,4,rotate9_high13,9,high,13,2,16384,0.500000,0
ex288,5,rotate9_low13,9,low,13,2,16384,0.500000,0
ex288,6,rotate11_high13,11,high,13,2,16384,0.500000,0
ex288,7,rotate0_high14,0,high,14,1,16384,0.500000,0
ex288,8,rotate0_low14,0,low,14,1,16384,0.500000,0
ex288,9,rotate1_high14,1,high,14,1,16384,0.500000,0
ex288,10,rotate1_low14,1,low,14,1,16384,0.500000,0
ex288,11,rotate2_high14,2,high,14,1,16384,0.500000,0
ex288,12,rotate2_low14,2,low,14,1,16384,0.500000,0
ex289,1,rotate4_low14,4,low,14,2,32768,0.500000,0
ex289,2,rotate6_high14,6,high,14,2,32768,0.500000,0
ex289,3,rotate6_low14,6,low,14,2,32768,0.500000,0
ex289,4,rotate8_high14,8,high,14,2,32768,0.500000,0
ex289,5,rotate8_low14,8,low,14,2,32768,0.500000,0
ex289,6,rotate10_high14,10,high,14,2,32768,0.500000,0
ex289,7,rotate10_low14,10,low,14,2,32768,0.500000,0
ex289,8,rotate12_high14,12,high,14,2,32768,0.500000,0
ex289,9,rotate0_high15,0,high,15,1,32768,0.500000,0
ex289,10,rotate0_low15,0,low,15,1,32768,0.500000,0
ex289,11,rotate1_high15,1,high,15,1,32768,0.500000,0
ex289,12,rotate1_low15,1,low,15,1,32768,0.500000,0
ex290,1,rotate4_low11,4,low,11,1,1768,0.431641,280
ex290,2,rotate5_high11,5,high,11,1,1768,0.431641,280
ex290,3,rotate6_low11,6,low,11,1,1772,0.432617,276
ex290,4,rotate7_high11,7,high,11,1,1772,0.432617,276
ex290,5,rotate7_low11,7,low,11,1,1792,0.437500,256
ex290,6,rotate8_high11,8,high,11,1,1792,0.437500,256
ex290,7,rotate5_low11,5,low,11,1,1853,0.452393,195
ex290,8,rotate6_high11,6,high,11,1,1853,0.452393,195
ex290,9,rotate3_low11,3,low,11,1,2032,0.496094,16
ex290,10,rotate4_high11,4,high,11,1,2032,0.496094,16
ex290,11,rotate0_low11,0,low,11,1,2033,0.496338,15
ex290,12,rotate1_high11,1,high,11,1,2033,0.496338,15
ex291,1,rotate8_low12,8,low,12,1,3456,0.421875,640
ex291,2,rotate9_high12,9,high,12,1,3456,0.421875,640
ex291,3,rotate4_low12,4,low,12,1,3524,0.430176,572
ex291,4,rotate5_high12,5,high,12,1,3524,0.430176,572
ex291,5,rotate5_low12,5,low,12,1,3524,0.430176,572
ex291,6,rotate6_high12,6,high,12,1,3524,0.430176,572
ex291,7,rotate6_low12,6,low,12,1,3646,0.445068,450
ex291,8,rotate7_high12,7,high,12,1,3646,0.445068,450
ex291,9,rotate7_low12,7,low,12,1,3652,0.445801,444
ex291,10,rotate8_high12,8,high,12,1,3652,0.445801,444
ex291,11,rotate3_low12,3,low,12,1,4077,0.497681,19
ex291,12,rotate4_high12,4,high,12,1,4077,0.497681,19
ex292,1,rotate4_low13,4,low,13,1,7024,0.428711,1168
ex292,2,rotate5_high13,5,high,13,1,7024,0.428711,1168
ex292,3,rotate8_low13,8,low,13,1,7072,0.431641,1120
ex292,4,rotate9_high13,9,high,13,1,7072,0.431641,1120
ex292,5,rotate6_low13,6,low,13,1,7204,0.439697,988
ex292,6,rotate7_high13,7,high,13,1,7204,0.439697,988
ex292,7,rotate7_low13,7,low,13,1,7240,0.441895,952
ex292,8,rotate8_high13,8,high,13,1,7240,0.441895,952
ex292,9,rotate5_low13,5,low,13,1,7332,0.447510,860
ex292,10,rotate6_high13,6,high,13,1,7332,0.447510,860
ex292,11,rotate9_low13,9,low,13,1,7344,0.448242,848
ex292,12,rotate10_high13,10,high,13,1,7344,0.448242,848
ex293,1,rotate10_low14,10,low,14,1,14176,0.432617,2208
ex293,2,rotate11_high14,11,high,14,1,14176,0.432617,2208
ex293,3,rotate9_low14,9,low,14,1,14240,0.434570,2144
ex293,4,rotate10_high14,10,high,14,1,14240,0.434570,2144
ex293,5,rotate5_low14,5,low,14,1,14272,0.435547,2112
ex293,6,rotate6_high14,6,high,14,1,14272,0.435547,2112
ex293,7,rotate6_low14,6,low,14,1,14320,0.437012,2064
ex293,8,rotate7_high14,7,high,14,1,14320,0.437012,2064
ex293,9,rotate4_low14,4,low,14,1,14352,0.437988,2032
ex293,10,rotate5_high14,5,high,14,1,14352,0.437988,2032
ex293,11,rotate7_low14,7,low,14,1,14528,0.443359,1856
ex293,12,rotate8_high14,8,high,14,1,14528,0.443359,1856
ex294,1,rotate8_low15,8,low,15,1,27648,0.421875,5120
ex294,2,rotate9_high15,9,high,15,1,27648,0.421875,5120
ex294,3,rotate6_low15,6,low,15,1,28064,0.428223,4704
ex294,4,rotate7_high15,7,high,15,1,28064,0.428223,4704
ex294,5,rotate4_low15,4,low,15,1,28512,0.435059,4256
ex294,6,rotate5_high15,5,high,15,1,28512,0.435059,4256
ex294,7,rotate11_low15,11,low,15,1,28544,0.435547,4224
ex294,8,rotate12_high15,12,high,15,1,28544,0.435547,4224
ex294,9,rotate7_low15,7,low,15,1,28768,0.438965,4000
ex294,10,rotate8_high15,8,high,15,1,28768,0.438965,4000
ex294,11,rotate10_low15,10,low,15,1,28768,0.438965,4000
ex294,12,rotate11_high15,11,high,15,1,28768,0.438965,4000
ex295,1,rotate0_low11,0,low,11,1,1826,0.445801,222
ex295,2,rotate1_high11,1,high,11,1,1826,0.445801,222
ex295,3,rotate2_low11,2,low,11,1,1826,0.445801,222
ex295,4,rotate3_high11,3,high,11,1,1826,0.445801,222
ex295,5,rotate4_low11,4,low,11,1,1826,0.445801,222
ex295,6,rotate5_high11,5,high,11,1,1826,0.445801,222
ex295,7,rotate6_low11,6,low,11,1,1826,0.445801,222
ex295,8,rotate7_high11,7,high,11,1,1826,0.445801,222
ex295,9,rotate8_low11,8,low,11,1,1826,0.445801,222
ex295,10,rotate9_high11,9,high,11,1,1826,0.445801,222
ex295,11,rotate10_low11,10,low,11,1,1826,0.445801,222
ex295,12,rotate11_high11,11,high,11,1,1826,0.445801,222
ex296,1,rotate11_low12,11,low,12,1,2568,0.313477,1528
ex296,2,rotate12_high12,12,high,12,1,2568,0.313477,1528
ex296,3,rotate0_low12,0,low,12,1,3201,0.390747,895
ex296,4,rotate1_high12,1,high,12,1,3201,0.390747,895
ex296,5,rotate9_low12,9,low,12,1,3224,0.393555,872
ex296,6,rotate10_high12,10,high,12,1,3224,0.393555,872
ex296,7,rotate7_low12,7,low,12,1,3498,0.427002,598
ex296,8,rotate8_high12,8,high,12,1,3498,0.427002,598
ex296,9,rotate5_low12,5,low,12,1,3645,0.444946,451
ex296,10,rotate6_high12,6,high,12,1,3645,0.444946,451
ex296,11,rotate3_low12,3,low,12,1,3658,0.446533,438
ex296,12,rotate4_high12,4,high,12,1,3658,0.446533,438
ex297,1,rotate0_low13,0,low,13,1,7343,0.448181,849
ex297,2,rotate1_high13,1,high,13,1,7343,0.448181,849
ex297,3,rotate2_low13,2,low,13,1,7343,0.448181,849
ex297,4,rotate3_high13,3,high,13,1,7343,0.448181,849
ex297,5,rotate4_low13,4,low,13,1,7343,0.448181,849
ex297,6,rotate5_high13,5,high,13,1,7343,0.448181,849
ex297,7,rotate6_low13,6,low,13,1,7343,0.448181,849
ex297,8,rotate7_high13,7,high,13,1,7343,0.448181,849
ex297,9,rotate8_low13,8,low,13,1,7343,0.448181,849
ex297,10,rotate9_high13,9,high,13,1,7343,0.448181,849
ex297,11,rotate10_low13,10,low,13,1,7343,0.448181,849
ex297,12,rotate11_high13,11,high,13,1,7343,0.448181,849
ex298,1,rotate13_low14,13,low,14,1,10131,0.309174,6253
ex298,2,rotate14_high14,14,high,14,1,10131,0.309174,6253
ex298,3,rotate11_low14,11,low,14,1,12685,0.387115,3699
ex298,4,rotate12_high14,12,high,14,1,12685,0.387115,3699
ex298,5,rotate0_low14,0,low,14,1,12832,0.391602,3552
ex298,6,rotate1_high14,1,high,14,1,12832,0.391602,3552
ex298,7,rotate9_low14,9,low,14,1,13827,0.421967,2557
ex298,8,rotate10_high14,10,high,14,1,13827,0.421967,2557
ex298,9,rotate7_low14,7,low,14,1,14374,0.438660,2010
ex298,10,rotate8_high14,8,high,14,1,14374,0.438660,2010
ex298,11,rotate3_low14,3,low,14,1,14673,0.447784,1711
ex298,12,rotate4_high14,4,high,14,1,14673,0.447784,1711
ex299,1,rotate0_low15,0,low,15,1,29509,0.450272,3259
ex299,2,rotate1_high15,1,high,15,1,29509,0.450272,3259
ex299,3,rotate2_low15,2,low,15,1,29509,0.450272,3259
ex299,4,rotate3_high15,3,high,15,1,29509,0.450272,3259
ex299,5,rotate4_low15,4,low,15,1,29509,0.450272,3259
ex299,6,rotate5_high15,5,high,15,1,29509,0.450272,3259
ex299,7,rotate6_low15,6,low,15,1,29509,0.450272,3259
ex299,8,rotate7_high15,7,high,15,1,29509,0.450272,3259
ex299,9,rotate8_low15,8,low,15,1,29509,0.450272,3259
ex299,10,rotate9_high15,9,high,15,1,29509,0.450272,3259
ex299,11,rotate10_low15,10,low,15,1,29509,0.450272,3259
ex299,12,rotate11_high15,11,high,15,1,29509,0.450272,3259
