case,kind,pattern,matches,fraction
ex290,equivariance,rotl_equiv_4,87,0.021240
ex290,equivariance,rotl_equiv_8,87,0.021240
ex290,equivariance,rotl_equiv_1,80,0.019531
ex290,equivariance,rotl_equiv_11,80,0.019531
ex290,equivariance,rotl_equiv_3,80,0.019531
ex290,equivariance,rotl_equiv_9,80,0.019531
ex290,equivariance,rotl_input_invariant_4,71,0.017334
ex290,equivariance,rotl_input_invariant_8,71,0.017334
ex290,symmetry,swap_in_4_5,2132,0.520508
ex290,symmetry,swap_in_5_6,2130,0.520020
ex290,symmetry,swap_in_4_7,2122,0.518066
ex290,symmetry,swap_in_2_10,2102,0.513184
ex290,symmetry,swap_in_5_7,2102,0.513184
ex290,symmetry,swap_in_6_7,2102,0.513184
ex290,symmetry,swap_in_4_6,2100,0.512695
ex290,symmetry,swap_in_7_11,2094,0.511230
ex290,symmetry,swap_in_2_6,2092,0.510742
ex290,symmetry,swap_in_0_8,2084,0.508789
ex291,word,ones,150,0.018311
ex291,word,rotl_9,9,0.001099
ex291,word,rotr_4,9,0.001099
ex291,word,input,5,0.000610
ex291,word,rotl_7,5,0.000610
ex291,word,rotr_6,5,0.000610
ex291,word,rotl_8,4,0.000488
ex291,word,rotr_5,4,0.000488
ex291,word,ungray,4,0.000488
ex291,word,bit_reverse,3,0.000366
ex291,equivariance,rotl_equiv_4,125,0.015259
ex291,equivariance,rotl_equiv_9,125,0.015259
ex291,equivariance,rotl_equiv_10,92,0.011230
ex291,equivariance,rotl_equiv_3,92,0.011230
ex291,equivariance,rotl_equiv_6,85,0.010376
ex291,equivariance,rotl_equiv_7,85,0.010376
ex291,equivariance,rotl_equiv_5,82,0.010010
ex291,equivariance,rotl_equiv_8,82,0.010010
ex291,equivariance,rotl_equiv_1,74,0.009033
ex291,equivariance,rotl_equiv_12,74,0.009033
ex291,symmetry,swap_in_4_7,4310,0.526123
ex291,symmetry,swap_in_4_6,4280,0.522461
ex291,symmetry,swap_in_5_6,4266,0.520752
ex291,symmetry,swap_in_4_5,4260,0.520020
ex291,symmetry,swap_in_7_8,4254,0.519287
ex291,symmetry,swap_in_6_7,4238,0.517334
ex291,symmetry,swap_in_5_7,4232,0.516602
ex291,symmetry,swap_in_5_8,4226,0.515869
ex291,symmetry,swap_in_4_8,4220,0.515137
ex291,symmetry,swap_in_6_8,4180,0.510254
ex292,word,ones,197,0.012024
ex292,word,zero,17,0.001038
ex292,word,input,13,0.000793
ex292,word,rotl_12,10,0.000610
ex292,word,rotr_2,10,0.000610
ex292,word,rotl_6,8,0.000488
ex292,word,rotr_8,8,0.000488
ex292,word,rotl_10,6,0.000366
ex292,word,rotl_2,6,0.000366
ex292,word,rotl_8,6,0.000366
ex292,equivariance,rotl_equiv_10,268,0.016357
ex292,equivariance,rotl_equiv_4,268,0.016357
ex292,equivariance,rotl_equiv_7,233,0.014221
ex292,equivariance,rotl_equiv_6,188,0.011475
ex292,equivariance,rotl_equiv_8,188,0.011475
ex292,equivariance,rotl_input_invariant_7,180,0.010986
ex292,equivariance,rotl_equiv_11,172,0.010498
ex292,equivariance,rotl_equiv_3,172,0.010498
ex292,equivariance,rotl_equiv_5,169,0.010315
ex292,equivariance,rotl_equiv_9,169,0.010315
ex292,symmetry,swap_in_5_7,8580,0.523682
ex292,symmetry,swap_in_7_9,8512,0.519531
ex292,symmetry,swap_in_4_5,8454,0.515991
ex292,symmetry,swap_in_6_7,8446,0.515503
ex292,symmetry,swap_in_6_8,8446,0.515503
ex292,symmetry,swap_in_5_6,8436,0.514893
ex292,symmetry,swap_in_7_8,8434,0.514771
ex292,symmetry,swap_in_4_7,8428,0.514404
ex292,symmetry,swap_in_5_9,8428,0.514404
ex292,symmetry,swap_in_4_6,8424,0.514160
ex293,word,ones,476,0.014526
ex293,word,input,12,0.000366
ex293,word,rotl_7,11,0.000336
ex293,word,rotr_8,11,0.000336
ex293,word,rotl_8,9,0.000275
ex293,word,rotr_7,9,0.000275
ex293,word,rotl_9,7,0.000214
ex293,word,rotr_6,7,0.000214
ex293,word,rotl_6,6,0.000183
ex293,word,rotr_9,6,0.000183
ex293,equivariance,rotl_equiv_1,1442,0.044006
ex293,equivariance,rotl_equiv_14,1442,0.044006
ex293,equivariance,rotl_equiv_13,880,0.026855
ex293,equivariance,rotl_equiv_2,880,0.026855
ex293,equivariance,rotl_equiv_12,590,0.018005
ex293,equivariance,rotl_equiv_3,590,0.018005
ex293,equivariance,rotl_equiv_7,497,0.015167
ex293,equivariance,rotl_equiv_8,497,0.015167
ex293,equivariance,rotl_equiv_6,491,0.014984
ex293,equivariance,rotl_equiv_9,491,0.014984
ex293,symmetry,swap_in_5_10,17450,0.532532
ex293,symmetry,swap_in_5_8,17140,0.523071
ex293,symmetry,swap_in_4_7,17120,0.522461
ex293,symmetry,swap_in_4_5,17092,0.521606
ex293,symmetry,swap_in_4_10,17088,0.521484
ex293,symmetry,swap_in_5_9,17088,0.521484
ex293,symmetry,swap_in_4_9,17052,0.520386
ex293,symmetry,swap_in_7_8,17046,0.520203
ex293,symmetry,swap_in_7_9,17036,0.519897
ex293,symmetry,swap_in_9_10,17020,0.519409
ex294,word,ones,496,0.007568
ex294,word,zero,20,0.000305
ex294,word,input,12,0.000183
ex294,word,rotl_8,12,0.000183
ex294,word,rotr_8,12,0.000183
ex294,word,rotl_12,11,0.000168
ex294,word,rotl_14,11,0.000168
ex294,word,rotr_2,11,0.000168
ex294,word,rotr_4,11,0.000168
ex294,word,rotl_11,10,0.000153
ex294,equivariance,rotl_equiv_12,746,0.011383
ex294,equivariance,rotl_equiv_4,746,0.011383
ex294,equivariance,rotl_equiv_8,726,0.011078
ex294,equivariance,rotl_input_invariant_8,706,0.010773
ex294,equivariance,rotl_equiv_10,553,0.008438
ex294,equivariance,rotl_equiv_6,553,0.008438
ex294,equivariance,rotl_equiv_7,514,0.007843
ex294,equivariance,rotl_equiv_9,514,0.007843
ex294,equivariance,rotl_equiv_11,513,0.007828
ex294,equivariance,rotl_equiv_5,513,0.007828
ex294,symmetry,swap_in_7_8,34068,0.519836
ex294,symmetry,swap_in_6_8,34040,0.519409
ex294,symmetry,swap_in_4_5,33872,0.516846
ex294,symmetry,swap_in_4_7,33868,0.516785
ex294,symmetry,swap_in_4_9,33864,0.516724
ex294,symmetry,swap_in_7_9,33860,0.516663
ex294,symmetry,swap_in_8_9,33820,0.516052
ex294,symmetry,swap_in_6_7,33784,0.515503
ex294,symmetry,swap_in_6_11,33760,0.515137
ex294,symmetry,swap_in_5_9,33752,0.515015
ex295,word,input,277,0.067627
ex295,word,zero,53,0.012939
ex295,word,rotl_6,23,0.005615
ex295,word,rotr_6,23,0.005615
ex295,word,gray,10,0.002441
ex295,word,bit_reverse,9,0.002197
ex295,word,rotl_9,9,0.002197
ex295,word,rotr_3,9,0.002197
ex295,word,rotl_3,7,0.001709
ex295,word,rotl_4,7,0.001709
ex295,equivariance,rotl_equiv_10,4096,1.000000
ex295,equivariance,rotl_equiv_2,4096,1.000000
ex295,equivariance,rotl_equiv_4,4096,1.000000
ex295,equivariance,rotl_equiv_6,4096,1.000000
ex295,equivariance,rotl_equiv_8,4096,1.000000
ex295,equivariance,rotl_input_invariant_6,250,0.061035
ex295,equivariance,bit_reverse_equiv,122,0.029785
ex295,equivariance,rotl_equiv_1,110,0.026855
ex295,equivariance,rotl_equiv_11,110,0.026855
ex295,equivariance,rotl_equiv_3,110,0.026855
ex295,symmetry,swap_in_1_5,2110,0.515137
ex295,symmetry,swap_in_1_9,2110,0.515137
ex295,symmetry,swap_in_3_11,2110,0.515137
ex295,symmetry,swap_in_3_7,2110,0.515137
ex295,symmetry,swap_in_5_9,2110,0.515137
ex295,symmetry,swap_in_7_11,2110,0.515137
ex295,symmetry,swap_in_1_11,2108,0.514648
ex295,symmetry,swap_in_1_3,2108,0.514648
ex295,symmetry,swap_in_3_5,2108,0.514648
ex295,symmetry,swap_in_5_7,2108,0.514648
ex296,word,input,269,0.032837
ex296,word,input_minus_one,82,0.010010
ex296,word,input_plus_one,60,0.007324
ex296,word,ungray,18,0.002197
ex296,word,bit_reverse,17,0.002075
ex296,word,gray,3,0.000366
ex296,word,rotl_12,3,0.000366
ex296,word,rotl_6,3,0.000366
ex296,word,rotl_7,3,0.000366
ex296,word,rotl_9,3,0.000366
ex296,equivariance,rotl_equiv_11,899,0.109741
ex296,equivariance,rotl_equiv_2,899,0.109741
ex296,equivariance,rotl_equiv_4,470,0.057373
ex296,equivariance,rotl_equiv_9,470,0.057373
ex296,equivariance,rotl_equiv_6,261,0.031860
ex296,equivariance,rotl_equiv_7,261,0.031860
ex296,equivariance,bit_reverse_equiv,175,0.021362
ex296,equivariance,rotl_equiv_5,154,0.018799
ex296,equivariance,rotl_equiv_8,154,0.018799
ex296,equivariance,rotl_equiv_10,131,0.015991
ex296,symmetry,swap_in_1_3,4680,0.571289
ex296,symmetry,swap_in_11_12,4648,0.567383
ex296,symmetry,swap_in_1_5,4484,0.547363
ex296,symmetry,swap_in_1_12,4450,0.543213
ex296,symmetry,swap_in_3_5,4382,0.534912
ex296,symmetry,swap_in_1_7,4344,0.530273
ex296,symmetry,swap_in_10_12,4296,0.524414
ex296,symmetry,swap_in_1_9,4294,0.524170
ex296,symmetry,swap_in_3_12,4294,0.524170
ex296,symmetry,swap_in_3_7,4292,0.523926
ex297,word,input,479,0.029236
ex297,word,rotl_7,22,0.001343
ex297,word,rotr_7,22,0.001343
ex297,word,input_plus_one,17,0.001038
ex297,word,bit_reverse,13,0.000793
ex297,word,input_minus_one,12,0.000732
ex297,word,ungray,9,0.000549
ex297,word,gray,8,0.000488
ex297,word,rotl_1,8,0.000488
ex297,word,rotl_11,8,0.000488
ex297,equivariance,rotl_equiv_10,16384,1.000000
ex297,equivariance,rotl_equiv_12,16384,1.000000
ex297,equivariance,rotl_equiv_2,16384,1.000000
ex297,equivariance,rotl_equiv_4,16384,1.000000
ex297,equivariance,rotl_equiv_6,16384,1.000000
ex297,equivariance,rotl_equiv_8,16384,1.000000
ex297,equivariance,bit_reverse_equiv,221,0.013489
ex297,equivariance,rotl_equiv_1,214,0.013062
ex297,equivariance,rotl_equiv_11,214,0.013062
ex297,equivariance,rotl_equiv_13,214,0.013062
ex297,symmetry,swap_in_1_11,8420,0.513916
ex297,symmetry,swap_in_1_5,8420,0.513916
ex297,symmetry,swap_in_3_13,8420,0.513916
ex297,symmetry,swap_in_3_7,8420,0.513916
ex297,symmetry,swap_in_5_9,8420,0.513916
ex297,symmetry,swap_in_7_11,8420,0.513916
ex297,symmetry,swap_in_9_13,8420,0.513916
ex297,symmetry,swap_in_11_13,8404,0.512939
ex297,symmetry,swap_in_1_13,8404,0.512939
ex297,symmetry,swap_in_1_3,8404,0.512939
ex298,word,input,784,0.023926
ex298,word,input_minus_one,196,0.005981
ex298,word,input_plus_one,102,0.003113
ex298,word,bit_reverse,25,0.000763
ex298,word,ungray,11,0.000336
ex298,word,rotl_10,5,0.000153
ex298,word,rotl_5,5,0.000153
ex298,word,rotr_10,5,0.000153
ex298,word,rotr_5,5,0.000153
ex298,word,rotl_12,4,0.000122
ex298,equivariance,rotl_equiv_13,3307,0.100922
ex298,equivariance,rotl_equiv_2,3307,0.100922
ex298,equivariance,rotl_equiv_11,1801,0.054962
ex298,equivariance,rotl_equiv_4,1801,0.054962
ex298,equivariance,rotl_equiv_6,868,0.026489
ex298,equivariance,rotl_equiv_9,868,0.026489
ex298,equivariance,rotl_equiv_7,512,0.015625
ex298,equivariance,rotl_equiv_8,512,0.015625
ex298,equivariance,bit_reverse_equiv,409,0.012482
ex298,equivariance,rotl_equiv_10,313,0.009552
ex298,symmetry,swap_in_1_3,19012,0.580200
ex298,symmetry,swap_in_13_14,18554,0.566223
ex298,symmetry,swap_in_1_5,18044,0.550659
ex298,symmetry,swap_in_1_14,17830,0.544128
ex298,symmetry,swap_in_3_5,17790,0.542908
ex298,symmetry,swap_in_1_7,17494,0.533875
ex298,symmetry,swap_in_3_7,17314,0.528381
ex298,symmetry,swap_in_3_14,17266,0.526917
ex298,symmetry,swap_in_1_11,17140,0.523071
ex298,symmetry,swap_in_12_14,17124,0.522583
ex299,word,input,1155,0.017624
ex299,word,rotl_8,35,0.000534
ex299,word,rotr_8,35,0.000534
ex299,word,input_plus_one,30,0.000458
ex299,word,bit_reverse,17,0.000259
ex299,word,rotl_14,17,0.000259
ex299,word,rotr_2,17,0.000259
ex299,word,rotl_13,11,0.000168
ex299,word,rotr_3,11,0.000168
ex299,word,gray,10,0.000153
ex299,equivariance,rotl_equiv_10,65536,1.000000
ex299,equivariance,rotl_equiv_12,65536,1.000000
ex299,equivariance,rotl_equiv_14,65536,1.000000
ex299,equivariance,rotl_equiv_2,65536,1.000000
ex299,equivariance,rotl_equiv_4,65536,1.000000
ex299,equivariance,rotl_equiv_6,65536,1.000000
ex299,equivariance,rotl_equiv_8,65536,1.000000
ex299,equivariance,rotl_input_invariant_8,824,0.012573
ex299,equivariance,bit_reverse_equiv,464,0.007080
ex299,equivariance,rotl_equiv_1,456,0.006958
ex299,symmetry,swap_in_11_13,33504,0.511230
