case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.221,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.214,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.243,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.267,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.249,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla3; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13.aig,1,1,1,162,20,3240,2041,1.587457,0,0,0.312,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rhcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla4_abc_g_aig.aig,1,1,1,167,19,3173,2041,1.554630,0,0,0.237,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,1,1,1,167,19,3173,2041,1.554630,0,0,0.245,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rhcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.319,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla5+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.245,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rhcla5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.255,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rhcla5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rhcla5.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.326,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rhcla5; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rpfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.246,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_rpfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.240,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_rpfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_rpfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.286,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_rpfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.255,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.323,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.237,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.237,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.306,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rhcla3+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/verilog/ex263_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,1,1,1,359,26,9334,6840,1.364620,1,0,0.523,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rhcla3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/verilog/ex263_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig.aig,1,1,1,361,28,10108,6840,1.477778,1,0,0.532,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_rhcla3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/verilog/ex263_smul_baugh_wooley_wallace_rhcla3.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13.aig,1,1,1,356,26,9256,6840,1.353216,1,0,0.645,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rhcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rhcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/verilog/ex263_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla4_abc_g_aig.aig,1,1,1,357,27,9639,6840,1.409211,1,0,0.518,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rhcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/verilog/ex263_smul_baugh_wooley_wallace_rhcla4.v,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,1,1,1,357,27,9639,6840,1.409211,1,0,0.528,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
