case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,156,21,3276,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,1,359,26,9334,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig,1,361,28,10108,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13,1,356,26,9256,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla3; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rhcla4_abc_g_aig,1,357,27,9639,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,1,357,27,9639,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13,1,360,26,9360,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rhcla5_abc_g_aig,1,364,26,9464,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla5_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla5; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig,1,364,26,9464,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla5; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13,1,358,26,9308,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rhcla5; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rpfx6_abc_g_aig,1,368,26,9568,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rpfx6_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rpfx6; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig,1,368,26,9568,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rpfx6; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13,1,368,26,9568,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rpfx6; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,357,26,9282,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,357,26,9282,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,359,26,9334,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,363,25,9075,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,363,25,9075,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,361,26,9386,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex263/aigs/ex263_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rhcla3_abc_g_aig,1,488,27,13176,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla3_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla3; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig,1,493,27,13311,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla3_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla3; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13,1,483,29,14007,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla3_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla3; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rhcla4_abc_g_aig,1,492,27,13284,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig,1,491,27,13257,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13,1,490,28,13720,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rhcla5_abc_g_aig,1,493,27,13311,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla5_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla5; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig,1,493,27,13311,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla5_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla5; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13,1,493,27,13311,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rhcla5_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rhcla5; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_rpfx6_abc_g_aig,1,496,31,15376,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rpfx6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rpfx6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig,1,496,31,15376,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rpfx6_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rpfx6; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13,1,495,30,14850,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_rpfx6_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_rpfx6; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,488,28,13664,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,489,28,13692,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,489,27,13203,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_pfx6_abc_g_aig,1,496,29,14384,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,1,497,30,14910,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,1,487,31,15097,student/work/ex260_ex264_frontend_smul_ripple_hybrid_20260609_0557/ex264/aigs/ex264_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
