case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace4_outside_hcla2+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d13.aig,1,1,1,93,13,1209,657,1.840183,0,0,0.301,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace4_outside_rhcla2_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_rhcla2+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_rhcla2_abc_g_aig.aig,1,1,1,96,14,1344,657,2.045662,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_rhcla2_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace4_outside_rhcla2+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_rhcla2_wreduce_abc_g_aig.aig,1,1,1,96,13,1248,657,1.899543,0,0,0.222,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace4_outside_rhcla2+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d11.aig,1,1,1,89,14,1246,657,1.896499,0,0,0.264,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace4_outside_rhcla2+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d13.aig,1,1,1,89,14,1246,657,1.896499,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.214,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.303,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.296,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_rev_hcla4_abc_g_aig.aig,1,1,1,436,26,11336,6840,1.657310,0,0,0.595,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_rev_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,436,26,11336,6840,1.657310,0,0,0.606,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace4_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d11.aig,1,1,1,429,26,11154,6840,1.630702,0,0,0.774,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace4_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_rev_hcla4_synth_preset_d13.aig,1,1,1,429,26,11154,6840,1.630702,0,0,0.768,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla1_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla1_abc_g_aig.aig,1,1,1,462,26,12012,6840,1.756140,0,0,0.666,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla1_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,452,29,13108,6840,1.916374,0,0,0.629,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d11.aig,1,1,1,444,27,11988,6840,1.752632,0,0,0.802,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla1_synth_preset_d13.aig,1,1,1,444,27,11988,6840,1.752632,0,0,0.764,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla2_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla2+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla2_abc_g_aig.aig,1,1,1,459,28,12852,6840,1.878947,0,0,0.618,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla2_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla2+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla2_wreduce_abc_g_aig.aig,1,1,1,455,27,12285,6840,1.796053,0,0,0.634,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla2+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d11.aig,1,1,1,445,26,11570,6840,1.691520,0,0,0.807,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace4_outside_hcla2+synth_preset_d13,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_hcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_hcla2_synth_preset_d13.aig,1,1,1,445,26,11570,6840,1.691520,0,0,0.799,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_hcla2; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace4_outside_rhcla2_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_rhcla2+abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_rhcla2_abc_g_aig.aig,1,1,1,453,26,11778,6840,1.721930,0,0,0.607,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_rhcla2_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace4_outside_rhcla2+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_rhcla2_wreduce_abc_g_aig.aig,1,1,1,455,27,12285,6840,1.796053,0,0,0.625,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace4_outside_rhcla2+synth_preset_d11,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/verilog/ex263_smul_baugh_wooley_wallace4_outside_rhcla2.v,student/work/ex260_ex263_frontend_smul_counter4_smoke_20260609_0642/ex263/aigs/ex263_smul_baugh_wooley_wallace4_outside_rhcla2_synth_preset_d11.aig,1,1,1,446,26,11596,6840,1.695322,0,0,0.785,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace4_outside_rhcla2; flow=synth_preset_d11
