case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop2_hcla0_abc_g_aig.aig,1,1,1,738,39,28782,15078,1.908874,0,0,0.825,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_hcla0; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop3_hcla4_synth_preset.aig,1,1,1,749,46,34454,15078,2.285051,0,0,0.994,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_hcla4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla4_abc_g_aig.aig,1,1,1,778,48,37344,15078,2.476721,0,0,0.831,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla4_wreduce_abc_g_aig.aig,1,1,1,782,47,36754,15078,2.437591,0,0,0.840,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla4; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla4_synth_preset.aig,1,1,1,779,48,37392,15078,2.479904,0,0,0.989,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla4; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla8_abc_g_aig.aig,1,1,1,783,48,37584,15078,2.492638,0,0,2.653,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla8; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla8_wreduce_abc_g_aig.aig,1,1,1,782,46,35972,15078,2.385728,0,0,2.669,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla8; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/verilog/ex273_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex273/aigs/ex273_square_hybrid_bddtop4_hcla8_synth_preset.aig,1,1,1,778,45,35010,15078,2.321926,0,0,5.098,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_hcla8; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_hcla0_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla0_abc_g_aig.aig,1,1,1,992,44,43648,21630,2.017938,0,0,5.918,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla0; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla0_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla0_wreduce_abc_g_aig.aig,1,1,1,992,44,43648,21630,2.017938,0,0,3.848,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla0; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla0_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla0+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla0.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla0_synth_preset.aig,1,1,1,981,47,46107,21630,2.131623,0,0,3.984,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla0; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla4_abc_g_aig.aig,1,1,1,974,56,54544,21630,2.521683,0,0,3.672,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla4_wreduce_abc_g_aig.aig,1,1,1,974,56,54544,21630,2.521683,0,0,3.767,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla4_synth_preset.aig,1,1,1,973,58,56434,21630,2.609061,0,0,4.004,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla8_abc_g_aig.aig,1,1,1,980,53,51940,21630,2.401294,0,0,3.751,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla8; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla8_wreduce_abc_g_aig.aig,1,1,1,983,53,52099,21630,2.408645,0,0,3.889,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla8; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop2_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop2_hcla8_synth_preset.aig,1,1,1,967,60,58020,21630,2.682386,0,0,3.904,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_hcla8; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop3_hcla4_abc_g_aig.aig,1,1,1,1013,56,56728,21630,2.622654,0,0,3.656,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_hcla4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop3_hcla4_wreduce_abc_g_aig.aig,1,1,1,1012,56,56672,21630,2.620065,0,0,3.740,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_hcla4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop3_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop3_hcla4_synth_preset.aig,1,1,1,998,56,55888,21630,2.583819,0,0,4.004,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_hcla4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_hcla4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla4_abc_g_aig.aig,1,1,1,1056,51,53856,21630,2.489875,0,0,3.794,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla4_wreduce_abc_g_aig.aig,1,1,1,1046,55,57530,21630,2.659732,0,0,3.830,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_hcla4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla4.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla4_synth_preset.aig,1,1,1,1045,53,55385,21630,2.560564,0,0,3.913,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_hcla8_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla8_abc_g_aig.aig,1,1,1,1054,54,56916,21630,2.631345,0,0,3.657,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla8; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_hcla8_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla8_wreduce_abc_g_aig.aig,1,1,1,1054,52,54808,21630,2.533888,0,0,3.920,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla8; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_hcla8_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_hcla8+synth_preset,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/verilog/ex274_square_hybrid_bddtop4_hcla8.v,student/work/ex273_ex274_frontend_square_bddtop_hcla_20260609_1350/ex274/aigs/ex274_square_hybrid_bddtop4_hcla8_synth_preset.aig,1,1,1,1040,56,58240,21630,2.692557,0,0,3.873,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_hcla8; flow=synth_preset
