case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature
ex244,ex244_r69_explicit_sat_bdd_synth_preset_aig,OK,1,299,36,10764,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/verilog/ex244_r69_explicit_sat_bdd.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/aigs/ex244_r69_explicit_sat_bdd_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/logs/ex244_r69_explicit_sat_bdd.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex246,ex246_r69_product_selected_outputs_synth_preset_aig,OK,1,519,25,12975,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/verilog/ex246_r69_product_selected_outputs.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/aigs/ex246_r69_product_selected_outputs_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/logs/ex246_r69_product_selected_outputs.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex246,ex246_r69_predecoded_product_zero_synth_preset_aig,OK,1,341,22,7502,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/verilog/ex246_r69_predecoded_product_zero.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/aigs/ex246_r69_predecoded_product_zero_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/logs/ex246_r69_predecoded_product_zero.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex247,ex247_r69_lowpat_boolean_synth_preset_aig,OK,1,352,24,8448,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/verilog/ex247_r69_lowpat_boolean.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/aigs/ex247_r69_lowpat_boolean_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/logs/ex247_r69_lowpat_boolean.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex247,ex247_r69_lowpat_boolean_assign_synth_preset_aig,OK,1,361,27,9747,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/verilog/ex247_r69_lowpat_boolean_assign.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/aigs/ex247_r69_lowpat_boolean_assign_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/logs/ex247_r69_lowpat_boolean_assign.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex249,ex249_r69_split_gap_delta_synth_preset_aig,OK,1,184,28,5152,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/verilog/ex249_r69_split_gap_delta.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/aigs/ex249_r69_split_gap_delta_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/logs/ex249_r69_split_gap_delta.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex249,ex249_r69_manual_sat_increment_synth_preset_aig,OK,1,165,28,4620,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/verilog/ex249_r69_manual_sat_increment.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/aigs/ex249_r69_manual_sat_increment_synth_preset_aig.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/logs/ex249_r69_manual_sat_increment.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; frontend/source-only Yosys synth_preset_aig,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex244,ex244_r69_gapmask_delta_select,OK,1,321,34,10914,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/verilog/ex244_r69_gapmask_delta_select.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/aigs/ex244_r69_gapmask_delta_select.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/logs/ex244_r69_gapmask_delta_select.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex246,ex246_r69_product_zero_select,OK,1,355,24,8520,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/verilog/ex246_r69_product_zero_select.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/aigs/ex246_r69_product_zero_select.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/logs/ex246_r69_product_zero_select.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex247,ex247_r69_ternary_region_mux,OK,1,379,26,9854,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/verilog/ex247_r69_ternary_region_mux.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/aigs/ex247_r69_ternary_region_mux.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/logs/ex247_r69_ternary_region_mux.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex249,ex249_r69_gap_split_delta_select,OK,1,194,28,5432,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/verilog/ex249_r69_gap_split_delta_select.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/aigs/ex249_r69_gap_split_delta_select.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/logs/ex249_r69_gap_split_delta_select.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; local selector variant recorded after coordinator follow-up,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex244,ex244_r69_copyfact_gap_delta,OK,1,328,37,12136,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/verilog/ex244_r69_copyfact_gap_delta.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/aigs/ex244_r69_copyfact_gap_delta.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex244/logs/ex244_r69_copyfact_gap_delta.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex246,ex246_r69_copyfact_product_sign,OK,1,355,24,8520,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/verilog/ex246_r69_copyfact_product_sign.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/aigs/ex246_r69_copyfact_product_sign.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex246/logs/ex246_r69_copyfact_product_sign.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex247,ex247_r69_copyfact_region_select,OK,1,367,24,8808,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/verilog/ex247_r69_copyfact_region_select.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/aigs/ex247_r69_copyfact_region_select.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex247/logs/ex247_r69_copyfact_region_select.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex249,ex249_r69_copyfact_active_delta,OK,1,191,30,5730,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/verilog/ex249_r69_copyfact_active_delta.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/aigs/ex249_r69_copyfact_active_delta.aig,student/work/frontend_source_parallel_round69_20260613_1204/sub-fp8-worst-source-r69/ex249/logs/ex249_r69_copyfact_active_delta.evaluate.py.log,sub-fp8-worst-source-r69,official evaluate.py OK; initial copy-preserving selector variant,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-fp8-worst-source-r69/evaluation_results.csv,,
ex285,ex285_r69_copy_preserve_decision_tree,,1,818,17,13906,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/verilog/ex285_r69_copy_preserve_decision_tree.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/aigs/ex285_r69_copy_preserve_decision_tree.aig,,sub-unknown-source-r69,official evaluate.py OK; copy-preserving sanity row; ADP does not beat current 9132,OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/logs/ex285_r69_copy_preserve_decision_tree.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex285|copy_preserve_current_decision_tree|decision_tree_source_copy|current source sanity row|repo_yosys_frontend_default|official_evaluate|ex285_r69_copy_preserve_decision_tree
ex285,ex285_r69_route_state_selected_residual,,1,1268,18,22824,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/verilog/ex285_r69_route_state_selected_residual.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/aigs/ex285_r69_route_state_selected_residual.aig,,sub-unknown-source-r69,"official evaluate.py OK; selected bits 1,6,10; raw route-state split; ADP does not beat current 9132",OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex285/logs/ex285_r69_route_state_selected_residual.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex285|hamming-weight routing-state selected residual|raw route-state selected-bit cofactor cubes|decision-tree base with exact selected output residuals over a new raw route-state split|repo_yosys_frontend_default|official_evaluate|ex285_r69_route_state_selected_residual
ex288,ex288_r69_copy_preserve_keybdd_selected,,1,2264,17,38488,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/verilog/ex288_r69_copy_preserve_keybdd_selected.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/aigs/ex288_r69_copy_preserve_keybdd_selected.aig,,sub-unknown-source-r69,official evaluate.py OK; copy-preserving sanity row; ADP does not beat current 26224,OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/logs/ex288_r69_copy_preserve_keybdd_selected.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex288|copy_preserve_current_keybdd_selected|keybdd_selected_source_copy|current source sanity row|repo_yosys_frontend_default|official_evaluate|ex288_r69_copy_preserve_keybdd_selected
ex288,ex288_r69_route_state_selected_residual,,1,3160,17,53720,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/verilog/ex288_r69_route_state_selected_residual.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/aigs/ex288_r69_route_state_selected_residual.aig,,sub-unknown-source-r69,"official evaluate.py OK; selected bits 2,7; raw high-state residual split; ADP does not beat current 26224",OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex288/logs/ex288_r69_route_state_selected_residual.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex288|conservative routing selected-output residual|raw high-state selected-bit cofactor cubes|current exact source with independently emitted selected residual bits over a raw route-state split|repo_yosys_frontend_default|official_evaluate|ex288_r69_route_state_selected_residual
ex297,ex297_r69_copy_preserve_cell_cube_defaults,,1,26674,18,480132,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/verilog/ex297_r69_copy_preserve_cell_cube_defaults.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/aigs/ex297_r69_copy_preserve_cell_cube_defaults.aig,,sub-unknown-source-r69,official evaluate.py OK; copy-preserving sanity row; ADP does not beat current 426768,OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/logs/ex297_r69_copy_preserve_cell_cube_defaults.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex297|copy_preserve_r66_cell_cube_defaults|cell_value_cube_default_overrides|current source sanity row|repo_yosys_frontend_default|official_evaluate|ex297_r69_copy_preserve_cell_cube_defaults
ex297,ex297_r69_output_plane_hybrid,,1,29594,18,532692,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/verilog/ex297_r69_output_plane_hybrid.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/aigs/ex297_r69_output_plane_hybrid.aig,,sub-unknown-source-r69,official evaluate.py OK; output-plane hybrid avoids r66 cube-default as-is and r68 phase signatures; ADP does not beat current 426768,OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex297/logs/ex297_r69_output_plane_hybrid.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex297|cyclic 2-bit source compression by mixed output planes|r66 cube-source output-plane hybrid|select output bits from cell-default or bit-default cube sources using a mod-3 bit-plane split|repo_yosys_frontend_default|official_evaluate|ex297_r69_output_plane_hybrid
ex299,ex299_r69_output_plane_hybrid,,1,112819,20,2256380,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex299/verilog/ex299_r69_output_plane_hybrid.v,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex299/aigs/ex299_r69_output_plane_hybrid.aig,,sub-unknown-source-r69,official evaluate.py OK; output-plane hybrid avoids r66 cube-default as-is and r68 phase signatures; ADP does not beat current 1779138,OK,,student/work/frontend_source_parallel_round69_20260613_1204/sub-unknown-source-r69/ex299/logs/ex299_r69_output_plane_hybrid.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round69_20260613_1204/agent_shards/sub-unknown-source-r69/evaluation_results.csv,unknown,ex299|cyclic 2-bit source compression by lane-edge output planes|r66 cube-source output-plane hybrid|select lane-edge output bits from bit-default cubes and middle cell bits from cell-default cubes|repo_yosys_frontend_default|official_evaluate|ex299_r69_output_plane_hybrid
