case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_cmptop2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_cmptop2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop2_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop2_trunc_synth_preset_d20.aig,1,1,1,988,42,41496,21630,1.918447,0,0,3.925,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop2_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_cmptop3_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop3_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop3_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop3_trunc_abc_g_aig.aig,1,1,1,1020,42,42840,21630,1.980583,0,0,3.566,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop3_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_cmptop3_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop3_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop3_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop3_trunc_wreduce_abc_g_aig.aig,1,1,1,1024,42,43008,21630,1.988350,0,0,3.570,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop3_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_cmptop3_trunc_synth_preset,unsigned_square_x_times_x,hybrid_cmptop3_trunc+synth_preset,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop3_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop3_trunc_synth_preset.aig,1,1,1,1021,41,41861,21630,1.935321,0,0,3.764,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop3_trunc; flow=synth_preset
ex274,ex274_square_hybrid_cmptop3_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_cmptop3_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop3_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop3_trunc_synth_preset_d20.aig,1,1,1,1021,41,41861,21630,1.935321,0,0,3.760,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop3_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_cmptop4_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop4_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop4_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop4_trunc_abc_g_aig.aig,1,1,1,1065,40,42600,21630,1.969487,0,0,3.567,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop4_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_cmptop4_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop4_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop4_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop4_trunc_wreduce_abc_g_aig.aig,1,1,1,1062,40,42480,21630,1.963939,0,0,3.610,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop4_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_cmptop4_trunc_synth_preset,unsigned_square_x_times_x,hybrid_cmptop4_trunc+synth_preset,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop4_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop4_trunc_synth_preset.aig,1,1,1,1071,40,42840,21630,1.980583,0,0,3.864,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop4_trunc; flow=synth_preset
ex274,ex274_square_hybrid_cmptop4_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_cmptop4_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop4_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop4_trunc_synth_preset_d20.aig,1,1,1,1071,40,42840,21630,1.980583,0,0,3.795,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop4_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_cmptop5_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_cmptop5_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/verilog/ex274_square_hybrid_cmptop5_trunc.v,student/work/ex273_ex274_frontend_square_cmptop_trunc_20260609_1345/ex274/aigs/ex274_square_hybrid_cmptop5_trunc_abc_g_aig.aig,1,1,1,1176,39,45864,21630,2.120388,0,0,3.757,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_cmptop5_trunc; flow=abc_g_aig
