case,output_bit,input_width,output_width,field_count,fields,max_subset,best_subset,best_subset_size,best_conflicts,best_match,best_keys,total_rows,small_exact,greedy_subset,greedy_subset_size,greedy_conflicts,greedy_match,greedy_keys
ex286,12,13,13,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_raw3:sel1_raw10:sel2_xor6_7,5,cnt1:cnt2:cnt3:cnt4:cnt5,5,2925,5997,72,8192,0,cnt5:cnt3:cnt0:cnt6:sel1_raw10:cnt4:cnt1:sel0_raw3:sel2_xor6_7:cnt2:cnt7,11,0,8192,4608
ex287,0,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5495,12889,240,16384,0,cnt4:cnt2:cnt5:cnt0:cnt6:cnt3:cnt1:sel2_raw13:sel3_raw12:sel1_xor8_9:sel0_xor6_7,11,0,16384,6912
ex287,1,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5475,12869,240,16384,0,cnt4:cnt2:cnt5:sel0_xor6_7:sel2_raw13:sel3_raw12:cnt0:cnt6:sel1_xor8_9:cnt3:cnt1,11,0,16384,6912
ex287,2,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,3472,13248,48,16384,0,cnt0:cnt6:cnt3:cnt1:sel1_xor8_9:sel2_raw13:cnt2:cnt4:sel3_raw12:cnt5:sel0_xor6_7,11,0,16384,6912
ex287,3,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,3144,13504,48,16384,0,cnt0:cnt6:cnt1:cnt3:sel1_xor8_9:sel2_raw13:cnt2:sel3_raw12:cnt4:cnt5:sel0_xor6_7,11,0,16384,6912
ex287,4,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5905,12685,240,16384,0,cnt2:sel2_raw13:sel3_raw12:cnt4:sel0_xor6_7:cnt5:cnt0:cnt6:sel1_xor8_9:cnt3:cnt1,11,0,16384,6912
ex287,5,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5537,12713,240,16384,0,cnt2:sel2_raw13:sel3_raw12:cnt4:sel0_xor6_7:cnt5:cnt0:cnt6:sel1_xor8_9:cnt3:cnt1,11,0,16384,6912
ex287,6,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,6784,12928,48,16384,0,cnt2:cnt4:cnt5:cnt3:cnt1:sel2_raw13:sel3_raw12:cnt0:cnt6:sel1_xor8_9:sel0_xor6_7,11,0,16384,6912
ex287,7,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,6784,12928,48,16384,0,cnt2:cnt4:cnt5:cnt3:cnt1:sel2_raw13:sel3_raw12:cnt0:cnt6:sel1_xor8_9:sel0_xor6_7,11,0,16384,6912
ex287,8,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5433,12703,240,16384,0,cnt2:sel2_raw13:sel3_raw12:cnt4:sel0_xor6_7:cnt5:cnt0:cnt6:cnt3:cnt1:sel1_xor8_9,11,0,16384,6912
ex287,9,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5401,12745,240,16384,0,cnt2:sel2_raw13:sel3_raw12:cnt4:sel0_xor6_7:cnt5:cnt0:cnt6:sel1_xor8_9:cnt3:cnt1,11,0,16384,6912
ex287,10,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,7792,13248,48,16384,0,cnt0:cnt6:cnt3:cnt1:sel1_xor8_9:sel2_raw13:cnt2:cnt4:sel3_raw12:cnt5:sel0_xor6_7,11,0,16384,6912
ex287,11,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt3:cnt6:sel1_xor8_9,5,7096,13504,48,16384,0,cnt0:cnt6:cnt1:cnt3:sel1_xor8_9:sel2_raw13:cnt2:sel3_raw12:cnt4:cnt5:sel0_xor6_7,11,0,16384,6912
ex287,12,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5689,12925,240,16384,0,cnt4:cnt2:cnt5:sel0_xor6_7:sel2_raw13:sel3_raw12:cnt0:cnt6:cnt3:cnt1:sel1_xor8_9,11,0,16384,6912
ex287,13,14,14,11,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12,5,cnt0:cnt1:cnt2:cnt3:cnt4,5,5965,12827,240,16384,0,cnt4:cnt2:cnt5:sel0_xor6_7:sel2_raw13:sel3_raw12:cnt0:cnt6:sel1_xor8_9:cnt3:cnt1,11,0,16384,6912
ex288,0,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt7:cnt8,5,13069,23933,48,32768,0,cnt4:cnt5:cnt3:cnt7:cnt0:cnt6:sel0_raw13:sel2_xor6_7:cnt8:cnt2:sel1_raw10:cnt1,12,0,32768,13824
ex288,1,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt5:cnt8:sel0_raw13,5,11104,25056,64,32768,0,cnt0:cnt3:cnt7:sel1_raw10:cnt2:cnt8:cnt4:cnt5:cnt6:sel2_xor6_7:sel0_raw13:cnt1,12,0,32768,13824
ex288,2,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt7:cnt8,5,12857,23885,48,32768,0,cnt4:cnt5:cnt3:cnt7:sel0_raw13:cnt0:cnt6:sel2_xor6_7:sel1_raw10:cnt8:cnt2:cnt1,12,0,32768,13824
ex288,3,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt7:cnt8,5,8400,25936,48,32768,0,sel1_raw10:cnt1:cnt8:cnt2:cnt5:cnt3:cnt4:cnt0:cnt7:sel0_raw13:cnt6:sel2_xor6_7,12,0,32768,13824
ex288,4,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt2:cnt3:cnt4:cnt5:cnt8,5,11103,24201,128,32768,0,cnt4:cnt3:cnt5:sel1_raw10:cnt6:sel2_xor6_7:sel0_raw13:cnt7:cnt0:cnt8:cnt2:cnt1,12,0,32768,13824
ex288,5,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt3:cnt5:cnt8,5,12280,24968,128,32768,0,sel0_raw13:cnt3:cnt5:cnt4:sel2_xor6_7:cnt0:cnt7:cnt6:sel1_raw10:cnt8:cnt2:cnt1,12,0,32768,13824
ex288,6,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt2:cnt3:cnt4:cnt5:cnt8,5,14335,24183,128,32768,0,cnt4:cnt3:cnt5:cnt7:cnt0:cnt8:cnt2:sel1_raw10:sel2_xor6_7:cnt6:sel0_raw13:cnt1,12,0,32768,13824
ex288,7,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt5:cnt7:cnt8,5,11264,26240,64,32768,0,cnt5:cnt6:cnt3:sel1_raw10:sel2_xor6_7:sel0_raw13:cnt0:cnt7:cnt8:cnt2,10,0,32768,2304
ex288,8,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt3:cnt7:cnt8,5,13175,24205,64,32768,0,cnt4:cnt3:cnt5:cnt1:sel1_raw10:sel2_xor6_7:sel0_raw13:cnt6:cnt2:cnt8:cnt0:cnt7,12,0,32768,13824
ex288,9,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt5:cnt8:sel0_raw13,5,12336,25056,64,32768,0,cnt3:cnt0:cnt7:sel1_raw10:cnt2:cnt8:cnt4:cnt5:cnt6:sel2_xor6_7:sel0_raw13:cnt1,12,0,32768,13824
ex288,10,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt2:cnt3:cnt4:cnt5:cnt8,5,15099,24199,128,32768,0,cnt4:cnt3:sel1_raw10:cnt5:cnt6:sel2_xor6_7:sel0_raw13:cnt7:cnt0:cnt8:cnt2:cnt1,12,0,32768,13824
ex288,11,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt7:cnt8,5,14192,25936,48,32768,0,sel1_raw10:cnt1:cnt8:cnt2:cnt5:cnt3:cnt4:cnt0:cnt7:sel0_raw13:cnt6:sel2_xor6_7,12,0,32768,13824
ex288,12,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt1:cnt2:cnt7:cnt8,5,14543,23939,48,32768,0,cnt4:cnt5:cnt3:cnt7:cnt0:cnt8:cnt2:sel0_raw13:sel2_xor6_7:sel1_raw10:cnt6:cnt1,12,0,32768,13824
ex288,13,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt0:cnt2:cnt3:cnt5:cnt8,5,11896,24968,128,32768,0,cnt3:cnt5:cnt0:cnt8:cnt2:cnt4:sel0_raw13:cnt7:sel2_xor6_7:cnt1:sel1_raw10:cnt6,12,0,32768,13824
ex288,14,15,15,12,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,5,cnt2:cnt3:cnt4:cnt5:cnt8,5,15961,23933,128,32768,0,cnt4:cnt5:cnt3:cnt7:cnt0:cnt8:cnt2:sel0_raw13:sel2_xor6_7:cnt1:sel1_raw10:cnt6,12,0,32768,13824
