case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex264,ex264_smul_baugh_wooley_wallace_hcla6_synth_preset_d13,1,493,29,14297,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla6_synth_preset_d18,1,493,29,14297,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla6_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla6; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla8_abc_g_aig,1,489,30,14670,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla8_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla8; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig,1,488,30,14640,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla8_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla8; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla8_synth_preset_d13,1,488,29,14152,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla8_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla8_synth_preset_d18,1,488,29,14152,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla8_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla8; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_abc_g_aig,1,496,31,15376,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig,1,496,31,15376,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_synth_preset_d13,1,490,30,14700,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_synth_preset_d18,1,490,30,14700,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_plus_abc_g_aig,1,465,34,15810,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,1,465,34,15810,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13,1,465,34,15810,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18,1,465,34,15810,student/work/ex261_ex264_frontend_smul_baugh_hcla_20260609_0321/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
