case,variant,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex286,comb_step_4_rd1_ro0,32,8192,0.003906,47912,106496,0.550105,diagnostic-only semantic model
ex286,comb_step_1_rd0_ro1,32,8192,0.003906,49224,106496,0.537785,diagnostic-only semantic model
ex286,comb_step_5_rd1_ro1,30,8192,0.003662,47938,106496,0.549861,diagnostic-only semantic model
ex286,comb_step_-4_rd0_ro0,30,8192,0.003662,48934,106496,0.540509,diagnostic-only semantic model
ex286,comb_step_-5_rd1_ro0,28,8192,0.003418,47728,106496,0.551833,diagnostic-only semantic model
ex286,comb_step_2_rd1_ro0,28,8192,0.003418,47810,106496,0.551063,diagnostic-only semantic model
ex286,comb_step_-5_rd1_ro1,28,8192,0.003418,47814,106496,0.551025,diagnostic-only semantic model
ex286,comb_step_-3_rd0_ro1,28,8192,0.003418,48840,106496,0.541391,diagnostic-only semantic model
ex286,comb_step_-16_rd1_ro1,27,8192,0.003296,48082,106496,0.548509,diagnostic-only semantic model
ex286,comb_step_-3_rd0_ro0,27,8192,0.003296,48656,106496,0.543119,diagnostic-only semantic model
ex286,comb_step_-6_rd1_ro0,26,8192,0.003174,47574,106496,0.553279,diagnostic-only semantic model
ex286,comb_step_6_rd0_ro0,26,8192,0.003174,49500,106496,0.535194,diagnostic-only semantic model
ex286,comb_step_-3_rd1_ro0,25,8192,0.003052,47554,106496,0.553467,diagnostic-only semantic model
ex286,comb_step_3_rd0_ro1,25,8192,0.003052,48776,106496,0.541992,diagnostic-only semantic model
ex286,rotl_3,24,8192,0.002930,48960,106496,0.540264,diagnostic-only semantic model
ex286,comb_step_7_rd1_ro1,23,8192,0.002808,47864,106496,0.550556,diagnostic-only semantic model
ex286,comb_step_-1_rd0_ro1,23,8192,0.002808,49190,106496,0.538105,diagnostic-only semantic model
ex286,comb_step_-32_rd1_ro1,22,8192,0.002686,48056,106496,0.548753,diagnostic-only semantic model
ex286,comb_step_-16_rd1_ro0,21,8192,0.002563,47806,106496,0.551101,diagnostic-only semantic model
ex286,comb_step_-6_rd0_ro0,21,8192,0.002563,48992,106496,0.539964,diagnostic-only semantic model
ex286,comb_step_6_rd1_ro0,20,8192,0.002441,48132,106496,0.548039,diagnostic-only semantic model
ex286,comb_step_32_rd0_ro1,20,8192,0.002441,49110,106496,0.538856,diagnostic-only semantic model
ex286,comb_step_7_rd0_ro0,20,8192,0.002441,49768,106496,0.532677,diagnostic-only semantic model
ex286,comb_step_4_rd0_ro1,19,8192,0.002319,48990,106496,0.539983,diagnostic-only semantic model
ex286,comb_step_-8_rd0_ro0,19,8192,0.002319,49366,106496,0.536452,diagnostic-only semantic model
ex286,comb_step_-2_rd1_ro1,18,8192,0.002197,47722,106496,0.551889,diagnostic-only semantic model
ex286,comb_step_3_rd1_ro1,18,8192,0.002197,47776,106496,0.551382,diagnostic-only semantic model
ex286,comb_step_2_rd1_ro1,18,8192,0.002197,47834,106496,0.550838,diagnostic-only semantic model
ex286,comb_step_4_rd1_ro1,18,8192,0.002197,47962,106496,0.549636,diagnostic-only semantic model
ex286,comb_step_8_rd1_ro0,18,8192,0.002197,48136,106496,0.548002,diagnostic-only semantic model
ex286,comb_step_-5_rd0_ro0,18,8192,0.002197,48984,106496,0.540039,diagnostic-only semantic model
ex286,comb_step_3_rd0_ro0,18,8192,0.002197,49002,106496,0.539870,diagnostic-only semantic model
ex286,comb_step_5_rd0_ro1,18,8192,0.002197,49028,106496,0.539626,diagnostic-only semantic model
ex286,comb_step_4_rd0_ro0,18,8192,0.002197,49534,106496,0.534875,diagnostic-only semantic model
ex286,comb_step_-8_rd1_ro0,17,8192,0.002075,47552,106496,0.553486,diagnostic-only semantic model
ex286,comb_step_-8_rd1_ro1,17,8192,0.002075,47748,106496,0.551645,diagnostic-only semantic model
ex286,comb_step_-32_rd1_ro0,17,8192,0.002075,47882,106496,0.550387,diagnostic-only semantic model
ex286,comb_step_8_rd1_ro1,17,8192,0.002075,48110,106496,0.548246,diagnostic-only semantic model
ex286,comb_step_-7_rd0_ro1,17,8192,0.002075,49450,106496,0.535663,diagnostic-only semantic model
ex286,comb_step_16_rd1_ro0,16,8192,0.001953,48302,106496,0.546443,diagnostic-only semantic model
ex286,comb_step_-5_rd0_ro1,16,8192,0.001953,49268,106496,0.537372,diagnostic-only semantic model
ex286,comb_step_5_rd0_ro0,16,8192,0.001953,49598,106496,0.534274,diagnostic-only semantic model
ex286,comb_step_-4_rd1_ro1,15,8192,0.001831,47824,106496,0.550931,diagnostic-only semantic model
ex286,comb_step_3_rd1_ro0,15,8192,0.001831,47844,106496,0.550744,diagnostic-only semantic model
ex286,comb_step_-16_rd0_ro0,15,8192,0.001831,49116,106496,0.538800,diagnostic-only semantic model
ex286,comb_step_7_rd0_ro1,15,8192,0.001831,49282,106496,0.537241,diagnostic-only semantic model
ex286,comb_step_-2_rd1_ro0,14,8192,0.001709,47592,106496,0.553110,diagnostic-only semantic model
ex286,comb_step_7_rd1_ro0,14,8192,0.001709,47890,106496,0.550312,diagnostic-only semantic model
ex286,comb_step_32_rd1_ro0,14,8192,0.001709,48720,106496,0.542518,diagnostic-only semantic model
ex286,comb_step_2_rd0_ro1,14,8192,0.001709,49130,106496,0.538668,diagnostic-only semantic model
ex286,comb_step_2_rd0_ro0,14,8192,0.001709,49304,106496,0.537034,diagnostic-only semantic model
ex286,comb_step_32_rd0_ro0,14,8192,0.001709,49604,106496,0.534217,diagnostic-only semantic model
ex286,comb_step_-8_rd0_ro1,14,8192,0.001709,49694,106496,0.533372,diagnostic-only semantic model
ex286,comb_step_8_rd0_ro0,14,8192,0.001709,49896,106496,0.531475,diagnostic-only semantic model
ex286,comb_step_1_rd1_ro0,13,8192,0.001587,47622,106496,0.552828,diagnostic-only semantic model
ex286,comb_step_16_rd0_ro0,13,8192,0.001587,49636,106496,0.533917,diagnostic-only semantic model
ex286,comb_step_6_rd0_ro1,12,8192,0.001465,49160,106496,0.538386,diagnostic-only semantic model
ex286,comb_step_-16_rd0_ro1,11,8192,0.001343,49440,106496,0.535757,diagnostic-only semantic model
ex286,comb_step_16_rd1_ro1,10,8192,0.001221,48078,106496,0.548546,diagnostic-only semantic model
ex286,comb_step_-4_rd0_ro1,10,8192,0.001221,49212,106496,0.537898,diagnostic-only semantic model
ex286,comb_step_8_rd0_ro1,10,8192,0.001221,49616,106496,0.534105,diagnostic-only semantic model
ex286,comb_step_-32_rd0_ro0,9,8192,0.001099,48890,106496,0.540922,diagnostic-only semantic model
ex286,comb_step_16_rd0_ro1,9,8192,0.001099,49194,106496,0.538067,diagnostic-only semantic model
ex286,comb_step_-6_rd0_ro1,9,8192,0.001099,49366,106496,0.536452,diagnostic-only semantic model
ex286,comb_step_5_rd1_ro0,8,8192,0.000977,47894,106496,0.550274,diagnostic-only semantic model
ex286,comb_step_32_rd1_ro1,8,8192,0.000977,48418,106496,0.545354,diagnostic-only semantic model
ex286,comb_step_-2_rd0_ro0,8,8192,0.000977,48986,106496,0.540020,diagnostic-only semantic model
ex286,comb_step_-2_rd0_ro1,6,8192,0.000732,48924,106496,0.540602,diagnostic-only semantic model
ex286,comb_step_-32_rd0_ro1,6,8192,0.000732,49376,106496,0.536358,diagnostic-only semantic model
ex286,mul_3,5,8192,0.000610,51318,106496,0.518123,diagnostic-only semantic model
ex286,rev_mul_7,3,8192,0.000366,52120,106496,0.510592,diagnostic-only semantic model
ex286,rev_mul_15,3,8192,0.000366,52872,106496,0.503531,diagnostic-only semantic model
ex286,rev_mul_3,2,8192,0.000244,50912,106496,0.521935,diagnostic-only semantic model
ex286,rev_mul_9,2,8192,0.000244,51016,106496,0.520959,diagnostic-only semantic model
ex286,rev_mul_5,2,8192,0.000244,51250,106496,0.518761,diagnostic-only semantic model
ex286,mul_5,2,8192,0.000244,51848,106496,0.513146,diagnostic-only semantic model
ex286,mul_9,2,8192,0.000244,52070,106496,0.511061,diagnostic-only semantic model
ex286,mul_15,2,8192,0.000244,53032,106496,0.502028,diagnostic-only semantic model
ex286,mul_7,1,8192,0.000122,52414,106496,0.507831,diagnostic-only semantic model
ex286,rev_mul_8190,1,8192,0.000122,55948,106496,0.474647,diagnostic-only semantic model
ex286,mul_8190,1,8192,0.000122,56188,106496,0.472393,diagnostic-only semantic model
ex287,interval_superpose_or,183,16384,0.011169,104926,229376,0.542559,diagnostic-only semantic model
ex287,interval_superpose_xor,183,16384,0.011169,106462,229376,0.535863,diagnostic-only semantic model
ex287,mul_1,107,16384,0.006531,105114,229376,0.541739,diagnostic-only semantic model
ex287,rev_mul_1,107,16384,0.006531,105114,229376,0.541739,diagnostic-only semantic model
ex287,rotl_6,75,16384,0.004578,104110,229376,0.546116,diagnostic-only semantic model
ex287,rotl_1,74,16384,0.004517,105196,229376,0.541382,diagnostic-only semantic model
ex287,comb_step_1_rd1_ro1,62,16384,0.003784,105056,229376,0.541992,diagnostic-only semantic model
ex287,comb_step_1_rd0_ro0,58,16384,0.003540,106786,229376,0.534450,diagnostic-only semantic model
ex287,comb_step_-1_rd0_ro0,53,16384,0.003235,106350,229376,0.536351,diagnostic-only semantic model
ex287,comb_step_-2_rd1_ro1,52,16384,0.003174,105274,229376,0.541042,diagnostic-only semantic model
ex287,comb_step_-1_rd1_ro0,51,16384,0.003113,104896,229376,0.542690,diagnostic-only semantic model
ex287,rotl_2,48,16384,0.002930,105438,229376,0.540327,diagnostic-only semantic model
ex287,comb_step_-1_rd0_ro1,46,16384,0.002808,106362,229376,0.536298,diagnostic-only semantic model
ex287,comb_step_1_rd0_ro1,46,16384,0.002808,106452,229376,0.535906,diagnostic-only semantic model
ex287,comb_step_1_rd1_ro0,43,16384,0.002625,104988,229376,0.542289,diagnostic-only semantic model
ex287,comb_step_-1_rd1_ro1,43,16384,0.002625,105078,229376,0.541896,diagnostic-only semantic model
ex287,rotl_4,42,16384,0.002563,107728,229376,0.530343,diagnostic-only semantic model
ex287,comb_step_3_rd1_ro1,40,16384,0.002441,104738,229376,0.543379,diagnostic-only semantic model
ex287,comb_step_2_rd1_ro0,40,16384,0.002441,105106,229376,0.541774,diagnostic-only semantic model
ex287,comb_step_-4_rd1_ro1,39,16384,0.002380,105604,229376,0.539603,diagnostic-only semantic model
ex287,comb_step_-6_rd1_ro1,39,16384,0.002380,105672,229376,0.539307,diagnostic-only semantic model
ex287,comb_step_6_rd0_ro0,37,16384,0.002258,106974,229376,0.533630,diagnostic-only semantic model
ex287,comb_step_-2_rd0_ro0,36,16384,0.002197,106620,229376,0.535174,diagnostic-only semantic model
ex287,comb_step_-5_rd0_ro0,36,16384,0.002197,106650,229376,0.535043,diagnostic-only semantic model
ex287,comb_step_7_rd1_ro1,34,16384,0.002075,104764,229376,0.543265,diagnostic-only semantic model
ex287,comb_step_5_rd1_ro0,33,16384,0.002014,105224,229376,0.541260,diagnostic-only semantic model
ex287,comb_step_2_rd0_ro1,33,16384,0.002014,106968,229376,0.533657,diagnostic-only semantic model
ex287,comb_step_7_rd0_ro0,33,16384,0.002014,107072,229376,0.533203,diagnostic-only semantic model
ex287,comb_step_-2_rd1_ro0,32,16384,0.001953,104728,229376,0.543422,diagnostic-only semantic model
ex287,rotl_5,32,16384,0.001953,105944,229376,0.538121,diagnostic-only semantic model
ex287,comb_step_-3_rd1_ro0,31,16384,0.001892,104826,229376,0.542995,diagnostic-only semantic model
ex287,comb_step_-2_rd0_ro1,31,16384,0.001892,106704,229376,0.534807,diagnostic-only semantic model
ex287,comb_step_6_rd1_ro1,30,16384,0.001831,104670,229376,0.543675,diagnostic-only semantic model
ex287,comb_step_-7_rd1_ro0,30,16384,0.001831,104758,229376,0.543291,diagnostic-only semantic model
ex287,comb_step_-5_rd1_ro0,30,16384,0.001831,104782,229376,0.543187,diagnostic-only semantic model
ex287,comb_step_-3_rd0_ro0,30,16384,0.001831,105804,229376,0.538731,diagnostic-only semantic model
ex287,comb_step_5_rd1_ro1,29,16384,0.001770,104856,229376,0.542864,diagnostic-only semantic model
ex287,comb_step_-7_rd1_ro1,29,16384,0.001770,105562,229376,0.539786,diagnostic-only semantic model
ex287,comb_step_-4_rd1_ro0,28,16384,0.001709,104798,229376,0.543117,diagnostic-only semantic model
ex287,comb_step_6_rd1_ro0,28,16384,0.001709,105346,229376,0.540728,diagnostic-only semantic model
ex287,comb_step_-6_rd0_ro1,28,16384,0.001709,106410,229376,0.536089,diagnostic-only semantic model
ex287,comb_step_4_rd0_ro0,27,16384,0.001648,106310,229376,0.536525,diagnostic-only semantic model
ex287,comb_step_-7_rd0_ro1,27,16384,0.001648,106598,229376,0.535270,diagnostic-only semantic model
ex287,comb_step_7_rd1_ro0,26,16384,0.001587,105280,229376,0.541016,diagnostic-only semantic model
ex287,comb_step_16_rd1_ro0,26,16384,0.001587,105762,229376,0.538914,diagnostic-only semantic model
ex287,comb_step_5_rd0_ro1,26,16384,0.001587,106556,229376,0.535453,diagnostic-only semantic model
ex287,comb_step_-16_rd1_ro0,25,16384,0.001526,104772,229376,0.543230,diagnostic-only semantic model
ex287,comb_step_-5_rd1_ro1,25,16384,0.001526,105504,229376,0.540039,diagnostic-only semantic model
ex287,comb_step_2_rd1_ro1,24,16384,0.001465,104730,229376,0.543413,diagnostic-only semantic model
ex287,comb_step_-8_rd1_ro1,24,16384,0.001465,105628,229376,0.539498,diagnostic-only semantic model
ex287,comb_step_16_rd1_ro1,23,16384,0.001404,104744,229376,0.543352,diagnostic-only semantic model
ex287,comb_step_-32_rd1_ro0,23,16384,0.001404,104894,229376,0.542698,diagnostic-only semantic model
ex287,rotl_7,23,16384,0.001404,105612,229376,0.539568,diagnostic-only semantic model
ex287,comb_step_-4_rd0_ro1,23,16384,0.001404,105702,229376,0.539176,diagnostic-only semantic model
ex287,comb_step_-7_rd0_ro0,23,16384,0.001404,106178,229376,0.537101,diagnostic-only semantic model
ex287,comb_step_-8_rd1_ro0,22,16384,0.001343,104690,229376,0.543588,diagnostic-only semantic model
ex287,comb_step_-4_rd0_ro0,22,16384,0.001343,105406,229376,0.540466,diagnostic-only semantic model
ex287,comb_step_3_rd0_ro1,22,16384,0.001343,106022,229376,0.537781,diagnostic-only semantic model
ex287,comb_step_8_rd0_ro0,22,16384,0.001343,107560,229376,0.531076,diagnostic-only semantic model
ex287,comb_step_7_rd0_ro1,21,16384,0.001282,106436,229376,0.535976,diagnostic-only semantic model
ex287,comb_step_-16_rd0_ro1,21,16384,0.001282,107490,229376,0.531381,diagnostic-only semantic model
ex287,comb_step_32_rd1_ro1,20,16384,0.001221,104676,229376,0.543649,diagnostic-only semantic model
ex287,comb_step_3_rd1_ro0,20,16384,0.001221,105152,229376,0.541574,diagnostic-only semantic model
ex287,comb_step_-16_rd1_ro1,20,16384,0.001221,106088,229376,0.537493,diagnostic-only semantic model
ex287,comb_step_-8_rd0_ro0,20,16384,0.001221,106554,229376,0.535461,diagnostic-only semantic model
ex287,comb_step_16_rd0_ro0,20,16384,0.001221,107950,229376,0.529375,diagnostic-only semantic model
ex287,comb_step_-6_rd1_ro0,19,16384,0.001160,104642,229376,0.543797,diagnostic-only semantic model
ex287,comb_step_8_rd1_ro0,19,16384,0.001160,105376,229376,0.540597,diagnostic-only semantic model
ex287,comb_step_4_rd0_ro1,19,16384,0.001160,105590,229376,0.539664,diagnostic-only semantic model
ex287,comb_step_-16_rd0_ro0,19,16384,0.001160,106892,229376,0.533988,diagnostic-only semantic model
ex287,comb_step_-32_rd0_ro1,19,16384,0.001160,106928,229376,0.533831,diagnostic-only semantic model
ex287,comb_step_-6_rd0_ro0,18,16384,0.001099,106128,229376,0.537319,diagnostic-only semantic model
ex287,comb_step_-8_rd0_ro1,18,16384,0.001099,106892,229376,0.533988,diagnostic-only semantic model
ex287,comb_step_16_rd0_ro1,18,16384,0.001099,107100,229376,0.533081,diagnostic-only semantic model
ex287,comb_step_4_rd1_ro1,17,16384,0.001038,104756,229376,0.543300,diagnostic-only semantic model
ex287,comb_step_-32_rd1_ro1,17,16384,0.001038,106680,229376,0.534912,diagnostic-only semantic model
ex287,comb_step_8_rd1_ro1,16,16384,0.000977,104472,229376,0.544538,diagnostic-only semantic model
ex287,comb_step_-5_rd0_ro1,16,16384,0.000977,106792,229376,0.534424,diagnostic-only semantic model
ex287,comb_step_4_rd1_ro0,15,16384,0.000916,105296,229376,0.540946,diagnostic-only semantic model
ex287,comb_step_-3_rd1_ro1,15,16384,0.000916,105450,229376,0.540274,diagnostic-only semantic model
ex287,comb_step_3_rd0_ro0,15,16384,0.000916,106570,229376,0.535392,diagnostic-only semantic model
ex287,comb_step_2_rd0_ro0,15,16384,0.000916,107272,229376,0.532331,diagnostic-only semantic model
ex287,comb_step_32_rd1_ro0,14,16384,0.000854,106246,229376,0.536804,diagnostic-only semantic model
ex287,comb_step_5_rd0_ro0,14,16384,0.000854,107486,229376,0.531398,diagnostic-only semantic model
ex287,comb_step_32_rd0_ro0,14,16384,0.000854,107584,229376,0.530971,diagnostic-only semantic model
ex287,rotl_3,13,16384,0.000793,106542,229376,0.535514,diagnostic-only semantic model
ex287,comb_step_6_rd0_ro1,12,16384,0.000732,106396,229376,0.536150,diagnostic-only semantic model
ex287,comb_step_-32_rd0_ro0,12,16384,0.000732,106448,229376,0.535924,diagnostic-only semantic model
ex287,comb_step_8_rd0_ro1,12,16384,0.000732,106694,229376,0.534851,diagnostic-only semantic model
ex287,comb_step_-3_rd0_ro1,11,16384,0.000671,105940,229376,0.538138,diagnostic-only semantic model
ex287,comb_step_32_rd0_ro1,9,16384,0.000549,106674,229376,0.534938,diagnostic-only semantic model
ex287,mul_3,8,16384,0.000488,111260,229376,0.514945,diagnostic-only semantic model
ex287,mul_5,4,16384,0.000244,112140,229376,0.511108,diagnostic-only semantic model
ex287,rev_mul_15,4,16384,0.000244,115128,229376,0.498082,diagnostic-only semantic model
ex287,rev_mul_5,3,16384,0.000183,111742,229376,0.512844,diagnostic-only semantic model
ex287,mul_9,3,16384,0.000183,112404,229376,0.509957,diagnostic-only semantic model
ex287,mul_7,3,16384,0.000183,113292,229376,0.506086,diagnostic-only semantic model
ex287,mul_15,3,16384,0.000183,114374,229376,0.501369,diagnostic-only semantic model
ex287,rev_mul_3,2,16384,0.000122,111382,229376,0.514413,diagnostic-only semantic model
ex287,rev_mul_9,2,16384,0.000122,111806,229376,0.512565,diagnostic-only semantic model
ex287,rev_mul_16382,2,16384,0.000122,119668,229376,0.478289,diagnostic-only semantic model
ex287,mul_16382,2,16384,0.000122,120964,229376,0.472639,diagnostic-only semantic model
ex287,rev_mul_7,1,16384,0.000061,113314,229376,0.505990,diagnostic-only semantic model
ex288,interval_superpose_or,259,32768,0.007904,228676,491520,0.534757,diagnostic-only semantic model
ex288,interval_superpose_xor,259,32768,0.007904,231072,491520,0.529883,diagnostic-only semantic model
ex288,mul_1,138,32768,0.004211,227098,491520,0.537968,diagnostic-only semantic model
ex288,rev_mul_1,138,32768,0.004211,227098,491520,0.537968,diagnostic-only semantic model
ex288,rotl_7,117,32768,0.003571,225530,491520,0.541158,diagnostic-only semantic model
ex288,comb_step_-1_rd1_ro1,76,32768,0.002319,227034,491520,0.538098,diagnostic-only semantic model
ex288,comb_step_1_rd1_ro1,67,32768,0.002045,227108,491520,0.537948,diagnostic-only semantic model
ex288,rotl_1,64,32768,0.001953,226852,491520,0.538468,diagnostic-only semantic model
ex288,comb_step_-3_rd1_ro1,59,32768,0.001801,226954,491520,0.538261,diagnostic-only semantic model
ex288,comb_step_-1_rd0_ro1,59,32768,0.001801,230308,491520,0.531437,diagnostic-only semantic model
ex288,comb_step_1_rd0_ro0,56,32768,0.001709,230370,491520,0.531311,diagnostic-only semantic model
ex288,comb_step_6_rd1_ro1,55,32768,0.001678,226892,491520,0.538387,diagnostic-only semantic model
ex288,comb_step_-1_rd1_ro0,54,32768,0.001648,226860,491520,0.538452,diagnostic-only semantic model
ex288,comb_step_1_rd0_ro1,49,32768,0.001495,230604,491520,0.530835,diagnostic-only semantic model
ex288,comb_step_-5_rd1_ro1,48,32768,0.001465,226846,491520,0.538481,diagnostic-only semantic model
ex288,comb_step_-3_rd0_ro0,48,32768,0.001465,229198,491520,0.533695,diagnostic-only semantic model
ex288,rotl_3,47,32768,0.001434,226332,491520,0.539526,diagnostic-only semantic model
ex288,comb_step_-7_rd1_ro1,47,32768,0.001434,226834,491520,0.538505,diagnostic-only semantic model
ex288,comb_step_2_rd1_ro0,44,32768,0.001343,227008,491520,0.538151,diagnostic-only semantic model
ex288,comb_step_-1_rd0_ro0,44,32768,0.001343,230832,491520,0.530371,diagnostic-only semantic model
ex288,comb_step_-6_rd0_ro0,43,32768,0.001312,228698,491520,0.534713,diagnostic-only semantic model
ex288,rotl_4,43,32768,0.001312,229592,491520,0.532894,diagnostic-only semantic model
ex288,comb_step_-4_rd1_ro0,40,32768,0.001221,226258,491520,0.539677,diagnostic-only semantic model
ex288,comb_step_6_rd1_ro0,40,32768,0.001221,227164,491520,0.537834,diagnostic-only semantic model
ex288,comb_step_-7_rd1_ro0,39,32768,0.001190,226452,491520,0.539282,diagnostic-only semantic model
ex288,comb_step_7_rd1_ro1,38,32768,0.001160,226856,491520,0.538460,diagnostic-only semantic model
ex288,comb_step_3_rd0_ro1,38,32768,0.001160,229882,491520,0.532304,diagnostic-only semantic model
ex288,comb_step_-2_rd0_ro0,37,32768,0.001129,228478,491520,0.535160,diagnostic-only semantic model
ex288,comb_step_3_rd0_ro0,37,32768,0.001129,230632,491520,0.530778,diagnostic-only semantic model
ex288,comb_step_2_rd1_ro1,36,32768,0.001099,227154,491520,0.537854,diagnostic-only semantic model
ex288,comb_step_4_rd0_ro0,36,32768,0.001099,229224,491520,0.533643,diagnostic-only semantic model
ex288,comb_step_-8_rd1_ro0,34,32768,0.001038,226276,491520,0.539640,diagnostic-only semantic model
ex288,comb_step_-16_rd1_ro1,32,32768,0.000977,226946,491520,0.538277,diagnostic-only semantic model
ex288,comb_step_-4_rd0_ro1,32,32768,0.000977,229058,491520,0.533980,diagnostic-only semantic model
ex288,rotl_2,32,32768,0.000977,230130,491520,0.531799,diagnostic-only semantic model
ex288,comb_step_5_rd1_ro1,31,32768,0.000946,226810,491520,0.538554,diagnostic-only semantic model
ex288,comb_step_1_rd1_ro0,31,32768,0.000946,226940,491520,0.538289,diagnostic-only semantic model
ex288,comb_step_7_rd1_ro0,31,32768,0.000946,227196,491520,0.537769,diagnostic-only semantic model
ex288,comb_step_-5_rd0_ro0,30,32768,0.000916,227754,491520,0.536633,diagnostic-only semantic model
ex288,rotl_6,30,32768,0.000916,229970,491520,0.532125,diagnostic-only semantic model
ex288,comb_step_-5_rd1_ro0,29,32768,0.000885,226584,491520,0.539014,diagnostic-only semantic model
ex288,comb_step_-2_rd1_ro1,29,32768,0.000885,226884,491520,0.538403,diagnostic-only semantic model
ex288,comb_step_5_rd0_ro0,29,32768,0.000885,228836,491520,0.534432,diagnostic-only semantic model
ex288,comb_step_2_rd0_ro1,29,32768,0.000885,229008,491520,0.534082,diagnostic-only semantic model
ex288,comb_step_-8_rd0_ro0,29,32768,0.000885,229320,491520,0.533447,diagnostic-only semantic model
ex288,comb_step_-6_rd0_ro1,29,32768,0.000885,229632,491520,0.532813,diagnostic-only semantic model
ex288,comb_step_8_rd0_ro0,29,32768,0.000885,230614,491520,0.530815,diagnostic-only semantic model
ex288,comb_step_-6_rd1_ro1,28,32768,0.000854,226764,491520,0.538647,diagnostic-only semantic model
ex288,comb_step_2_rd0_ro0,28,32768,0.000854,229232,491520,0.533626,diagnostic-only semantic model
ex288,comb_step_-3_rd1_ro0,27,32768,0.000824,226486,491520,0.539213,diagnostic-only semantic model
ex288,comb_step_4_rd1_ro0,27,32768,0.000824,227134,491520,0.537895,diagnostic-only semantic model
ex288,comb_step_-6_rd1_ro0,26,32768,0.000793,226178,491520,0.539840,diagnostic-only semantic model
ex288,comb_step_7_rd0_ro0,26,32768,0.000793,230620,491520,0.530802,diagnostic-only semantic model
ex288,comb_step_-32_rd1_ro0,25,32768,0.000763,226344,491520,0.539502,diagnostic-only semantic model
ex288,comb_step_-4_rd1_ro1,25,32768,0.000763,226944,491520,0.538281,diagnostic-only semantic model
ex288,comb_step_16_rd1_ro1,25,32768,0.000763,227002,491520,0.538163,diagnostic-only semantic model
ex288,comb_step_8_rd1_ro0,25,32768,0.000763,227370,491520,0.537415,diagnostic-only semantic model
ex288,comb_step_6_rd0_ro1,25,32768,0.000763,228886,491520,0.534330,diagnostic-only semantic model
ex288,comb_step_-2_rd0_ro1,25,32768,0.000763,229124,491520,0.533846,diagnostic-only semantic model
ex288,comb_step_3_rd1_ro1,24,32768,0.000732,226702,491520,0.538774,diagnostic-only semantic model
ex288,comb_step_-8_rd1_ro1,24,32768,0.000732,226964,491520,0.538241,diagnostic-only semantic model
ex288,comb_step_4_rd0_ro1,24,32768,0.000732,228830,491520,0.534444,diagnostic-only semantic model
ex288,comb_step_8_rd0_ro1,24,32768,0.000732,229514,491520,0.533053,diagnostic-only semantic model
ex288,comb_step_-3_rd0_ro1,24,32768,0.000732,230018,491520,0.532027,diagnostic-only semantic model
ex288,comb_step_-7_rd0_ro1,24,32768,0.000732,230026,491520,0.532011,diagnostic-only semantic model
ex288,comb_step_-8_rd0_ro1,24,32768,0.000732,230186,491520,0.531685,diagnostic-only semantic model
ex288,comb_step_6_rd0_ro0,24,32768,0.000732,230306,491520,0.531441,diagnostic-only semantic model
ex288,comb_step_4_rd1_ro1,23,32768,0.000702,226690,491520,0.538798,diagnostic-only semantic model
