case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_case_denominator_manual_default,unsigned low4_high4:a/b dbz=max,case_denominator_manual+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_default.aig,1,1,1,81,8,648,322,2.012422,0,0,0.406,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex265,ex265_udiv_direct_gt_guard_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,direct_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,51,18,918,322,2.850932,0,0,0.264,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex265,ex265_udiv_direct_gt_guard_synth_preset,unsigned low4_high4:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_synth_preset.aig,1,1,1,48,18,864,322,2.683230,0,0,0.315,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex265,ex265_udiv_small_divisor_fast_direct_default,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_default.aig,1,1,1,55,18,990,322,3.074534,0,0,0.269,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.269,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.272,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_synth_preset,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_synth_preset.aig,1,1,1,50,18,900,322,2.795031,0,0,0.326,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex266,ex266_udiv_case_denominator_manual_default,unsigned low5_high5:a/b dbz=max,case_denominator_manual+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_default.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.895,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex266,ex266_udiv_case_denominator_manual_abc_g_aig,unsigned low5_high5:a/b dbz=max,case_denominator_manual+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_abc_g_aig.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.909,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=abc_g_aig
ex266,ex266_udiv_case_denominator_manual_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,case_denominator_manual+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,1,1,1,246,12,2952,848,3.481132,0,0,0.947,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_denominator_manual_synth_preset,unsigned low5_high5:a/b dbz=max,case_denominator_manual+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_denominator_manual.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_synth_preset.aig,1,1,1,162,31,5022,848,5.922170,0,0,0.474,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=synth_preset
ex266,ex266_udiv_case_dividend_ranges_default,unsigned low5_high5:a/b dbz=max,case_dividend_ranges+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_default.aig,1,1,1,291,14,4074,848,4.804245,0,0,0.518,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex266,ex266_udiv_case_dividend_ranges_abc_g_aig,unsigned low5_high5:a/b dbz=max,case_dividend_ranges+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_abc_g_aig.aig,1,1,1,289,14,4046,848,4.771226,0,0,0.520,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,case_dividend_ranges+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,1,1,1,282,14,3948,848,4.655660,0,0,0.503,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_synth_preset,unsigned low5_high5:a/b dbz=max,case_dividend_ranges+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_case_dividend_ranges.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset.aig,1,1,1,276,14,3864,848,4.556604,0,0,0.592,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex266,ex266_udiv_threshold_desc_default,unsigned low5_high5:a/b dbz=max,threshold_desc+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_default.aig,1,1,0,,,,848,,,,0.477,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=default
ex266,ex266_udiv_threshold_desc_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_abc_g_aig.aig,1,1,0,,,,848,,,,0.475,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_wreduce_abc_g_aig.aig,1,1,0,,,,848,,,,0.481,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_synth_preset,unsigned low5_high5:a/b dbz=max,threshold_desc+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_synth_preset.aig,1,1,0,,,,848,,,,0.565,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex266,ex266_udiv_threshold_desc_guarded_default,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_default.aig,1,1,0,,,,848,,,,0.488,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex266,ex266_udiv_threshold_desc_guarded_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,0,,,,848,,,,0.489,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,1,1,0,,,,848,,,,0.489,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_synth_preset,unsigned low5_high5:a/b dbz=max,threshold_desc_guarded+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset.aig,1,1,0,,,,848,,,,0.560,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex266,ex266_udiv_direct_gt_guard_default,unsigned low5_high5:a/b dbz=max,direct_gt_guard+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_default.aig,1,1,1,100,28,2800,848,3.301887,0,0,0.290,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex266,ex266_udiv_direct_gt_guard_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.293,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_direct_gt_guard_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,direct_gt_guard+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.294,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_gt_guard_synth_preset,unsigned low5_high5:a/b dbz=max,direct_gt_guard+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_direct_gt_guard.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.345,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_small_divisor_fast_direct_default,unsigned low5_high5:a/b dbz=max,small_divisor_fast_direct+default,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_default.aig,1,1,1,94,28,2632,848,3.103774,0,0,0.299,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex266,ex266_udiv_small_divisor_fast_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,small_divisor_fast_direct+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.310,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,small_divisor_fast_direct+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.302,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_synth_preset,unsigned low5_high5:a/b dbz=max,small_divisor_fast_direct+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/verilog/ex266_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_synth_preset.aig,1,1,1,88,28,2464,848,2.905660,0,0,0.358,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
