case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_case_denominator_manual_default,1,81,8,648,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_case_denominator_manual_default.aig,unsigned low4_high4:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex265,ex265_udiv_threshold_desc_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex265,ex265_udiv_threshold_desc_guarded_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_default.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex265,ex265_udiv_threshold_desc_guarded_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_threshold_desc_guarded_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex265,ex265_udiv_direct_gt_guard_default,1,52,18,936,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_default.aig,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex265,ex265_udiv_direct_gt_guard_abc_g_aig,1,51,18,918,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex265,ex265_udiv_direct_gt_guard_wreduce_abc_g_aig,1,51,18,918,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex265,ex265_udiv_direct_gt_guard_synth_preset,1,48,18,864,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_direct_gt_guard_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex265,ex265_udiv_small_divisor_fast_direct_default,1,55,18,990,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_default.aig,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig,1,52,18,936,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,1,52,18,936,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_synth_preset,1,50,18,900,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex265/aigs/ex265_udiv_small_divisor_fast_direct_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
ex266,ex266_udiv_case_denominator_manual_default,1,246,12,2952,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_default.aig,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=default
ex266,ex266_udiv_case_denominator_manual_abc_g_aig,1,246,12,2952,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=abc_g_aig
ex266,ex266_udiv_case_denominator_manual_wreduce_abc_g_aig,1,246,12,2952,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_denominator_manual_synth_preset,1,162,31,5022,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_denominator_manual_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=case_denominator_manual; flow=synth_preset
ex266,ex266_udiv_case_dividend_ranges_default,1,291,14,4074,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_default.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex266,ex266_udiv_case_dividend_ranges_abc_g_aig,1,289,14,4046,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig,1,282,14,3948,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_synth_preset,1,276,14,3864,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex266,ex266_udiv_threshold_desc_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_default.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=default
ex266,ex266_udiv_threshold_desc_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex266,ex266_udiv_threshold_desc_guarded_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_default.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex266,ex266_udiv_threshold_desc_guarded_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex266,ex266_udiv_direct_gt_guard_default,1,100,28,2800,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_default.aig,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=default
ex266,ex266_udiv_direct_gt_guard_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=abc_g_aig
ex266,ex266_udiv_direct_gt_guard_wreduce_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=wreduce_abc_g_aig
ex266,ex266_udiv_direct_gt_guard_synth_preset,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_direct_gt_guard_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=direct_gt_guard; flow=synth_preset
ex266,ex266_udiv_small_divisor_fast_direct_default,1,94,28,2632,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_default.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex266,ex266_udiv_small_divisor_fast_direct_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_synth_preset,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke2_20260609_0745/ex266/aigs/ex266_udiv_small_divisor_fast_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
