case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain
ex241,ex241_r68_bit_predicate_network,,1,761,35,26635,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/verilog/ex241_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/aigs/ex241_r68_bit_predicate_network.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_bit_predicate_network.yosys.log; synth_sec=2.360; eval_sec=0.501,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex241/logs/ex241_r68_bit_predicate_network.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex242,ex242_r68_quotient_exception_formula,,1,1439,27,38853,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_quotient_exception_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_quotient_exception_formula.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_quotient_exception_formula.yosys.log; synth_sec=1.898; eval_sec=0.510,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_quotient_exception_formula.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex242,ex242_r68_lowbit_overlay,,1,1315,22,28930,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_lowbit_overlay.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_lowbit_overlay.yosys.log; synth_sec=2.414; eval_sec=0.521,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_lowbit_overlay.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex242,ex242_r68_bit_predicate_network,,1,1309,20,26180,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/verilog/ex242_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/aigs/ex242_r68_bit_predicate_network.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_bit_predicate_network.yosys.log; synth_sec=2.826; eval_sec=0.505,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex242/logs/ex242_r68_bit_predicate_network.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex245,ex245_r68_gap_class_formula,,1,734,35,25690,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_gap_class_formula.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_gap_class_formula.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_gap_class_formula.yosys.log; synth_sec=1.127; eval_sec=0.764,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_gap_class_formula.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex245,ex245_r68_lowbit_overlay,,1,3755,37,138935,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_lowbit_overlay.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_lowbit_overlay.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_lowbit_overlay.yosys.log; synth_sec=7.421; eval_sec=0.764,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_lowbit_overlay.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex245,ex245_r68_bit_predicate_network,,1,6422,38,244036,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/verilog/ex245_r68_bit_predicate_network.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/aigs/ex245_r68_bit_predicate_network.aig,,sub-fp8-mid-r68,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_bit_predicate_network.yosys.log; synth_sec=9.575; eval_sec=0.782,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-mid-r68/ex245/logs/ex245_r68_bit_predicate_network.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-mid-r68/evaluation_results.csv,float_fp8
ex244,ex244_r68_maxcode_threshold_ranges_synth_preset_aig,,1,1632,36,58752,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/verilog/ex244_r68_maxcode_threshold_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/aigs/ex244_r68_maxcode_threshold_ranges_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/logs/ex244_r68_maxcode_threshold_ranges.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex244,ex244_r68_gap_sig_interval_bank_synth_preset_aig,,1,887,41,36367,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/verilog/ex244_r68_gap_sig_interval_bank.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/aigs/ex244_r68_gap_sig_interval_bank_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex244/logs/ex244_r68_gap_sig_interval_bank.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex246,ex246_r68_exp_product_mag_table_synth_preset_aig,,1,451,24,10824,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/verilog/ex246_r68_exp_product_mag_table.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/aigs/ex246_r68_exp_product_mag_table_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/logs/ex246_r68_exp_product_mag_table.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex246,ex246_r68_product_interval_ranges_synth_preset_aig,,1,534,28,14952,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/verilog/ex246_r68_product_interval_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/aigs/ex246_r68_product_interval_ranges_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex246/logs/ex246_r68_product_interval_ranges.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex247,ex247_r68_delta_sigpair_mag_table_synth_preset_aig,,1,649,22,14278,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/verilog/ex247_r68_delta_sigpair_mag_table.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/aigs/ex247_r68_delta_sigpair_mag_table_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/logs/ex247_r68_delta_sigpair_mag_table.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex247,ex247_r68_sigpair_delta_intervals_synth_preset_aig,,1,645,28,18060,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/verilog/ex247_r68_sigpair_delta_intervals.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/aigs/ex247_r68_sigpair_delta_intervals_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex247/logs/ex247_r68_sigpair_delta_intervals.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex249,ex249_r68_maxcode_threshold_ranges_synth_preset_aig,,1,1014,33,33462,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/verilog/ex249_r68_maxcode_threshold_ranges.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/aigs/ex249_r68_maxcode_threshold_ranges_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/logs/ex249_r68_maxcode_threshold_ranges.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex249,ex249_r68_gap_sig_interval_bank_synth_preset_aig,,1,324,38,12312,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/verilog/ex249_r68_gap_sig_interval_bank.v,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/aigs/ex249_r68_gap_sig_interval_bank_synth_preset_aig.aig,,sub-fp8-worst-r68,official evaluate.py OK; synthesized from source RTL only,,,student/work/frontend_source_parallel_round68_20260613_1134/sub-fp8-worst-r68/ex249/logs/ex249_r68_gap_sig_interval_bank.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-fp8-worst-r68/evaluation_results.csv,float_fp8
ex285,ex285_r68_tree_paircanon_4567,OK,yes,810,18,14580,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/verilog/ex285_r68_tree_paircanon_4567.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/aigs/ex285_r68_tree_paircanon_4567.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/logs/ex285_r68_tree_paircanon_4567.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex285,ex285_r68_tree_symcof_low4,OK,yes,997,17,16949,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/verilog/ex285_r68_tree_symcof_low4.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/aigs/ex285_r68_tree_symcof_low4.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex285/logs/ex285_r68_tree_symcof_low4.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex288,ex288_r68_rotsplit_paircanon_456789,OK,yes,4376,16,70016,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/verilog/ex288_r68_rotsplit_paircanon_456789.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/aigs/ex288_r68_rotsplit_paircanon_456789.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/logs/ex288_r68_rotsplit_paircanon_456789.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex288,ex288_r68_keybdd_lane_mod4,OK,yes,5568,25,139200,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/verilog/ex288_r68_keybdd_lane_mod4.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/aigs/ex288_r68_keybdd_lane_mod4.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex288/logs/ex288_r68_keybdd_lane_mod4.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex297,ex297_r68_cell_phase_rot1,OK,yes,26588,19,505172,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/verilog/ex297_r68_cell_phase_rot1.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/aigs/ex297_r68_cell_phase_rot1.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/logs/ex297_r68_cell_phase_rot1.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex297,ex297_r68_cell_phase_selected_cells,OK,yes,26644,19,506236,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/verilog/ex297_r68_cell_phase_selected_cells.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/aigs/ex297_r68_cell_phase_selected_cells.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex297/logs/ex297_r68_cell_phase_selected_cells.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex299,ex299_r68_cell_phase_rot1,OK,yes,98849,20,1976980,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/verilog/ex299_r68_cell_phase_rot1.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/aigs/ex299_r68_cell_phase_rot1.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/logs/ex299_r68_cell_phase_rot1.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
ex299,ex299_r68_cell_phase_selected_cells,OK,yes,99196,20,1983920,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/verilog/ex299_r68_cell_phase_selected_cells.v,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/aigs/ex299_r68_cell_phase_selected_cells.aig,/home/b10507053/ALS_Final_Project/student/work/frontend_source_parallel_round68_20260613_1134/sub-unk-stillhigh-r68/ex299/logs/ex299_r68_cell_phase_selected_cells.evaluate.py.log,sub-unk-stillhigh-r68,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round68_20260613_1134/agent_shards/sub-unk-stillhigh-r68/evaluation_results.csv,
