case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_csa_vector_default,unsigned low5_high5:a*b,csa_vector+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_csa_vector_default.aig,1,1,1,194,21,4074,1911,2.131868,0,0,0.227,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=default
ex256,ex256_umul_csa_vector_abc_g_aig,unsigned low5_high5:a*b,csa_vector+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_csa_vector_abc_g_aig.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.226,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=abc_g_aig
ex256,ex256_umul_csa_vector_synth_preset,unsigned low5_high5:a*b,csa_vector+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_csa_vector.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_csa_vector_synth_preset.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.296,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=synth_preset
ex256,ex256_umul_column_carry_default,unsigned low5_high5:a*b,column_carry+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_default.aig,1,1,1,162,57,9234,1911,4.832025,0,0,0.265,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=default
ex256,ex256_umul_column_carry_abc_g_aig,unsigned low5_high5:a*b,column_carry+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_abc_g_aig.aig,1,1,1,153,57,8721,1911,4.563579,0,0,0.264,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=abc_g_aig
ex256,ex256_umul_column_carry_synth_preset,unsigned low5_high5:a*b,column_carry+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_column_carry.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_column_carry_synth_preset.aig,1,1,1,146,57,8322,1911,4.354788,0,0,0.313,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=synth_preset
ex256,ex256_umul_split_half_default,unsigned low5_high5:a*b,split_half+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_default.aig,1,1,1,152,21,3192,1911,1.670330,0,0,0.225,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=default
ex256,ex256_umul_split_half_abc_g_aig,unsigned low5_high5:a*b,split_half+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_abc_g_aig.aig,1,1,1,152,21,3192,1911,1.670330,0,0,0.233,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=abc_g_aig
ex256,ex256_umul_split_half_synth_preset,unsigned low5_high5:a*b,split_half+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_split_half.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_split_half_synth_preset.aig,1,1,1,157,21,3297,1911,1.725275,0,0,0.265,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=synth_preset
ex256,ex256_umul_sorted_operands_default,unsigned low5_high5:a*b,sorted_operands+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_default.aig,1,1,1,209,36,7524,1911,3.937206,0,0,0.250,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=default
ex256,ex256_umul_sorted_operands_abc_g_aig,unsigned low5_high5:a*b,sorted_operands+abc_g_aig,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_abc_g_aig.aig,1,1,1,209,36,7524,1911,3.937206,0,0,0.251,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=abc_g_aig
ex256,ex256_umul_sorted_operands_synth_preset,unsigned low5_high5:a*b,sorted_operands+synth_preset,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/verilog/ex256_umul_sorted_operands.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex256/aigs/ex256_umul_sorted_operands_synth_preset.aig,1,1,1,209,35,7315,1911,3.827839,0,0,0.315,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=synth_preset
ex257,ex257_umul_balanced_rows_default,unsigned low6_high6:a*b,balanced_rows+default,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/verilog/ex257_umul_balanced_rows.v,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_balanced_rows_default.aig,1,1,1,222,29,6438,3952,1.629049,0,0,0.286,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=balanced_rows; flow=default
