case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex257,ex257_umul_sorted_operands_default,1,295,37,10915,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_default.aig,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=default
ex257,ex257_umul_sorted_operands_abc_g_aig,1,295,37,10915,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=abc_g_aig
ex257,ex257_umul_sorted_operands_synth_preset,1,293,37,10841,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex257/aigs/ex257_umul_sorted_operands_synth_preset.aig,exact unsigned low6 * high6 over 4096 inputs; source=sorted_operands; flow=synth_preset
ex258,ex258_umul_balanced_rows_default,1,320,32,10240,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_balanced_rows_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=balanced_rows; flow=default
ex258,ex258_umul_balanced_rows_abc_g_aig,1,320,32,10240,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_balanced_rows_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=balanced_rows; flow=abc_g_aig
ex258,ex258_umul_balanced_rows_synth_preset,1,338,33,11154,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_balanced_rows_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=balanced_rows; flow=synth_preset
ex258,ex258_umul_csa_vector_default,1,459,29,13311,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_csa_vector_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_vector; flow=default
ex258,ex258_umul_csa_vector_abc_g_aig,1,347,29,10063,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_csa_vector_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_vector; flow=abc_g_aig
ex258,ex258_umul_csa_vector_synth_preset,1,350,29,10150,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_csa_vector_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=csa_vector; flow=synth_preset
ex258,ex258_umul_column_carry_default,1,382,113,43166,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_column_carry_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=column_carry; flow=default
ex258,ex258_umul_column_carry_abc_g_aig,1,370,113,41810,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_column_carry_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=column_carry; flow=abc_g_aig
ex258,ex258_umul_column_carry_synth_preset,1,323,112,36176,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_column_carry_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=column_carry; flow=synth_preset
ex258,ex258_umul_split_half_default,1,337,30,10110,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_split_half_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=split_half; flow=default
ex258,ex258_umul_split_half_abc_g_aig,1,337,30,10110,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_split_half_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=split_half; flow=abc_g_aig
ex258,ex258_umul_split_half_synth_preset,1,361,31,11191,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_split_half_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=split_half; flow=synth_preset
ex258,ex258_umul_sorted_operands_default,1,425,45,19125,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_sorted_operands_default.aig,exact unsigned low7 * high7 over 16384 inputs; source=sorted_operands; flow=default
ex258,ex258_umul_sorted_operands_abc_g_aig,1,420,45,18900,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_sorted_operands_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; source=sorted_operands; flow=abc_g_aig
ex258,ex258_umul_sorted_operands_synth_preset,1,416,44,18304,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex258/aigs/ex258_umul_sorted_operands_synth_preset.aig,exact unsigned low7 * high7 over 16384 inputs; source=sorted_operands; flow=synth_preset
ex259,ex259_umul_balanced_rows_default,1,445,35,15575,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_balanced_rows_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=balanced_rows; flow=default
ex259,ex259_umul_balanced_rows_abc_g_aig,1,433,35,15155,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_balanced_rows_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=balanced_rows; flow=abc_g_aig
ex259,ex259_umul_balanced_rows_synth_preset,1,449,35,15715,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_balanced_rows_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=balanced_rows; flow=synth_preset
ex259,ex259_umul_csa_vector_default,1,651,34,22134,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_csa_vector_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_vector; flow=default
ex259,ex259_umul_csa_vector_abc_g_aig,1,475,34,16150,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_csa_vector_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_vector; flow=abc_g_aig
ex259,ex259_umul_csa_vector_synth_preset,1,469,32,15008,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_csa_vector_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_vector; flow=synth_preset
ex259,ex259_umul_column_carry_default,1,532,149,79268,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_column_carry_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=column_carry; flow=default
ex259,ex259_umul_column_carry_abc_g_aig,1,509,148,75332,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_column_carry_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=column_carry; flow=abc_g_aig
ex259,ex259_umul_column_carry_synth_preset,1,436,147,64092,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_column_carry_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=column_carry; flow=synth_preset
ex259,ex259_umul_split_half_default,1,470,38,17860,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_split_half_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=split_half; flow=default
ex259,ex259_umul_split_half_abc_g_aig,1,470,38,17860,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_split_half_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=split_half; flow=abc_g_aig
ex259,ex259_umul_split_half_synth_preset,1,528,39,20592,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_split_half_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=split_half; flow=synth_preset
ex259,ex259_umul_karatsuba_even_default,1,574,50,28700,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_karatsuba_even_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=karatsuba_even; flow=default
ex259,ex259_umul_karatsuba_even_abc_g_aig,1,567,50,28350,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_karatsuba_even_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=karatsuba_even; flow=abc_g_aig
ex259,ex259_umul_karatsuba_even_synth_preset,1,556,50,27800,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_karatsuba_even_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=karatsuba_even; flow=synth_preset
ex259,ex259_umul_sorted_operands_default,1,551,47,25897,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_sorted_operands_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=sorted_operands; flow=default
ex259,ex259_umul_sorted_operands_abc_g_aig,1,546,47,25662,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_sorted_operands_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=sorted_operands; flow=abc_g_aig
ex259,ex259_umul_sorted_operands_synth_preset,1,541,47,25427,student/work/ex255_ex259_frontend_umul_struct_20260609_0020/ex259/aigs/ex259_umul_sorted_operands_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=sorted_operands; flow=synth_preset
