case,input_width,output_width,onehot_valid,token_order,preference_style,output_transform,row_matches,total_rows,bit_matches,total_bits,exact,onehot_slots,order_bits,first_mismatch
ex286,13,13,1,natural,pair_freq_cw,identity,79,8192,58772,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_freq_cw,reverse,22,8192,58150,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_freq_cw,rotate_left1,14,8192,57802,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_freq_cw,rotate_right1,25,8192,56748,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,pair_freq_ccw,identity,79,8192,58772,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_freq_ccw,reverse,22,8192,58150,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_freq_ccw,rotate_left1,14,8192,57802,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_freq_ccw,rotate_right1,25,8192,56748,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,pair_first,identity,65,8192,58714,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_first,reverse,12,8192,58394,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_first,rotate_left1,17,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_first,rotate_right1,6,8192,57450,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,pair_first_cw,identity,65,8192,58714,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_first_cw,reverse,12,8192,58394,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_first_cw,rotate_left1,17,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_first_cw,rotate_right1,6,8192,57450,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,natural,pair_first_ccw,identity,65,8192,58714,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,natural,pair_first_ccw,reverse,12,8192,58394,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,natural,pair_first_ccw,rotate_left1,17,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,natural,pair_first_ccw,rotate_right1,6,8192,57450,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,0:1:2:3:4:5:6:7:8:9:10:11:12,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,home_cw,identity,70,8192,59134,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,home_cw,reverse,38,8192,58754,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,home_cw,rotate_left1,17,8192,57296,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,home_cw,rotate_right1,15,8192,57248,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,home_ccw,identity,87,8192,58912,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,home_ccw,reverse,35,8192,58410,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,home_ccw,rotate_left1,26,8192,58538,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,home_ccw,rotate_right1,3,8192,57346,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,home_bidir,identity,83,8192,59186,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,home_bidir,reverse,25,8192,58590,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,home_bidir,rotate_left1,15,8192,57450,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,home_bidir,rotate_right1,15,8192,57400,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,home_bidir_rev,identity,82,8192,58760,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,home_bidir_rev,reverse,20,8192,58300,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,home_bidir_rev,rotate_left1,26,8192,57792,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,home_bidir_rev,rotate_right1,7,8192,57138,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_freq,identity,145,8192,59342,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_freq,reverse,95,8192,58524,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_freq,rotate_left1,28,8192,57886,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_freq,rotate_right1,16,8192,57428,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_freq_cw,identity,145,8192,59342,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_freq_cw,reverse,95,8192,58524,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_freq_cw,rotate_left1,28,8192,57886,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_freq_cw,rotate_right1,16,8192,57428,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_freq_ccw,identity,145,8192,59342,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_freq_ccw,reverse,95,8192,58524,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_freq_ccw,rotate_left1,28,8192,57886,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_freq_ccw,rotate_right1,16,8192,57428,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_first,identity,92,8192,58946,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_first,reverse,9,8192,58102,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_first,rotate_left1,28,8192,57618,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_first,rotate_right1,5,8192,56826,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_first_cw,identity,92,8192,58946,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_first_cw,reverse,9,8192,58102,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_first_cw,rotate_left1,28,8192,57618,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_first_cw,rotate_right1,5,8192,56826,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,reverse,pair_first_ccw,identity,92,8192,58946,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,reverse,pair_first_ccw,reverse,9,8192,58102,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,reverse,pair_first_ccw,rotate_left1,28,8192,57618,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,reverse,pair_first_ccw,rotate_right1,5,8192,56826,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,12:11:10:9:8:7:6:5:4:3:2:1:0,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,home_cw,identity,70,8192,59134,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,home_cw,reverse,38,8192,58754,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,home_cw,rotate_left1,17,8192,57296,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,home_cw,rotate_right1,15,8192,57248,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,home_ccw,identity,87,8192,58912,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,home_ccw,reverse,35,8192,58410,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,home_ccw,rotate_left1,26,8192,58538,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,home_ccw,rotate_right1,3,8192,57346,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,home_bidir,identity,83,8192,59190,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,home_bidir,reverse,32,8192,58620,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,home_bidir,rotate_left1,13,8192,57450,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,home_bidir,rotate_right1,14,8192,57336,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,home_bidir_rev,identity,84,8192,58716,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,home_bidir_rev,reverse,14,8192,58230,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,home_bidir_rev,rotate_left1,22,8192,57788,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,home_bidir_rev,rotate_right1,8,8192,57040,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_freq,identity,58,8192,58920,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_freq,reverse,35,8192,58700,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_freq,rotate_left1,11,8192,57592,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_freq,rotate_right1,12,8192,57220,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_freq_cw,identity,58,8192,58920,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_freq_cw,reverse,35,8192,58700,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_freq_cw,rotate_left1,11,8192,57592,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_freq_cw,rotate_right1,12,8192,57220,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_freq_ccw,identity,58,8192,58920,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_freq_ccw,reverse,35,8192,58700,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_freq_ccw,rotate_left1,11,8192,57592,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_freq_ccw,rotate_right1,12,8192,57220,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_first,identity,66,8192,58752,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_first,reverse,16,8192,58476,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_first,rotate_left1,22,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_first,rotate_right1,3,8192,57478,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_first_cw,identity,66,8192,58752,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_first_cw,reverse,16,8192,58476,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_first_cw,rotate_left1,22,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_first_cw,rotate_right1,3,8192,57478,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home,pair_first_ccw,identity,66,8192,58752,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home,pair_first_ccw,reverse,16,8192,58476,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home,pair_first_ccw,rotate_left1,22,8192,57980,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home,pair_first_ccw,rotate_right1,3,8192,57478,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,11:9:8:10:1:3:0:12:2:6:7:4:5,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home_reverse,home_cw,identity,70,8192,59134,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,4:5:2:6:7:12:0:1:3:8:10:9:11,in=0x3:pred=0x60:exp=0xc
ex286,13,13,1,home_reverse,home_cw,reverse,38,8192,58754,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,4:5:2:6:7:12:0:1:3:8:10:9:11,in=0x2:pred=0x80:exp=0x20
ex286,13,13,1,home_reverse,home_cw,rotate_left1,17,8192,57296,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,4:5:2:6:7:12:0:1:3:8:10:9:11,in=0x1:pred=0x80:exp=0x40
ex286,13,13,1,home_reverse,home_cw,rotate_right1,15,8192,57248,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,4:5:2:6:7:12:0:1:3:8:10:9:11,in=0x1:pred=0x20:exp=0x40
ex286,13,13,1,home_reverse,home_ccw,identity,87,8192,58912,106496,0,6:5:9:5:11:11:9:9:3:2:3:1:8,4:5:2:6:7:12:0:1:3:8:10:9:11,in=0x3:pred=0x60:exp=0xc
