case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_column_min_sop_abc_g_aig,signed low4_high4:a*b,baugh_wooley_column_min_sop+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_column_min_sop_abc_g_aig.aig,1,1,1,103,19,1957,657,2.978691,0,0,0.235,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_column_min_sop; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.263,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.348,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.296,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_column_min_sop_abc_g_aig,signed low5_high5:a*b,baugh_wooley_column_min_sop+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_min_sop_abc_g_aig.aig,1,1,1,272,31,8432,2041,4.131308,0,0,0.480,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_min_sop; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_column_min_sop_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_column_min_sop+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_min_sop_wreduce_abc_g_aig.aig,1,1,1,272,31,8432,2041,4.131308,0,0,0.390,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_min_sop; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_column_min_sop_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_column_min_sop+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_min_sop.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_min_sop_synth_preset_d13.aig,1,1,1,247,32,7904,2041,3.872611,0,0,0.539,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_min_sop; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_column_arith_abc_g_aig,signed low5_high5:a*b,baugh_wooley_column_arith+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_arith_abc_g_aig.aig,1,1,1,154,57,8778,2041,4.300833,0,0,0.298,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_arith; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_column_arith_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_column_arith+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_arith_wreduce_abc_g_aig.aig,1,1,1,157,56,8792,2041,4.307692,0,0,0.329,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_arith; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_column_arith_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_column_arith+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_column_arith.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_column_arith_synth_preset_d13.aig,1,1,1,147,39,5733,2041,2.808917,0,0,0.318,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_column_arith; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.243,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.463,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig.aig,1,1,1,161,19,3059,2041,1.498775,1,0,0.329,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig.aig,1,1,1,163,19,3097,2041,1.517393,0,0,0.350,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d13.aig,1,1,1,163,19,3097,2041,1.517393,0,0,0.369,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.246,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.234,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex261_frontend_smul_column_min_sop_20260609_0554/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.279,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
