case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_b_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,66,8,528,322,1.639752,0,0,0.204,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_msb_abc_g_aig_d24.aig,1,1,1,68,10,680,322,2.111801,0,0,0.198,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_interleave_lsb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig.aig,1,1,1,78,11,858,322,2.664596,0,0,0.211,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_lsb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_interleave_lsb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_synth_preset.aig,1,1,1,77,12,924,322,2.869565,0,0,0.261,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_interleave_lsb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig_d18.aig,1,1,1,78,11,858,322,2.664596,0,0,0.198,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_interleave_lsb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_interleave_lsb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_lsb_abc_g_aig_d24.aig,1,1,1,78,11,858,322,2.664596,0,0,0.197,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig.aig,1,1,1,70,10,700,322,2.173913,0,0,0.198,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_interleave_a_first_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_interleave_a_first_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_synth_preset.aig,1,1,1,67,9,603,322,1.872671,0,0,0.262,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=synth_preset
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18.aig,1,1,1,70,10,700,322,2.173913,0,0,0.200,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,1,1,1,70,10,700,322,2.173913,0,0,0.204,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_b_lsb_a_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_lsb_a_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig.aig,1,1,1,82,11,902,322,2.801242,0,0,0.207,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_b_lsb_a_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_b_lsb_a_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_lsb_a_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_synth_preset.aig,1,1,1,82,11,902,322,2.801242,0,0,0.266,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=synth_preset
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18,unsigned low4_high4:a/b dbz=max,bdd_b_lsb_a_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_lsb_a_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18.aig,1,1,1,82,11,902,322,2.801242,0,0,0.202,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d18
ex265,ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24,unsigned low4_high4:a/b dbz=max,bdd_b_lsb_a_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/verilog/ex265_udiv_bdd_b_lsb_a_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex265/aigs/ex265_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24.aig,1,1,1,82,11,902,322,2.801242,0,0,0.217,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,172,13,2236,848,2.636792,0,0,0.229,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_b_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_synth_preset.aig,1,1,1,164,13,2132,848,2.514151,0,0,0.299,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,bdd_b_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig_d18.aig,1,1,1,172,13,2236,848,2.636792,0,0,0.230,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_b_msb_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,bdd_b_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig_d24.aig,1,1,1,172,13,2236,848,2.636792,0,0,0.231,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,1,1,1,171,14,2394,848,2.823113,0,0,0.231,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_msb_a_lsb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_b_msb_a_lsb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_synth_preset.aig,1,1,1,157,15,2355,848,2.777123,0,0,0.302,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,1,1,1,171,14,2394,848,2.823113,0,0,0.229,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,bdd_b_msb_a_lsb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_msb_a_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,1,1,1,171,14,2394,848,2.823113,0,0,0.230,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.243,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.295,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d18.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.222,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d24.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.220,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_interleave_lsb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig.aig,1,1,1,242,16,3872,848,4.566038,0,0,0.231,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_lsb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_interleave_lsb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_synth_preset.aig,1,1,1,237,19,4503,848,5.310142,0,0,0.317,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,bdd_interleave_lsb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig_d18.aig,1,1,1,242,16,3872,848,4.566038,0,0,0.238,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,bdd_interleave_lsb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_lsb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig_d24.aig,1,1,1,242,16,3872,848,4.566038,0,0,0.233,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig.aig,1,1,1,165,13,2145,848,2.529481,0,0,0.228,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_a_first_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_interleave_a_first_msb+synth_preset,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_synth_preset.aig,1,1,1,166,14,2324,848,2.740566,0,0,0.303,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18,unsigned low5_high5:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig_d18,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18.aig,1,1,1,165,13,2145,848,2.529481,0,0,0.228,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,unsigned low5_high5:a/b dbz=max,bdd_interleave_a_first_msb+abc_g_aig_d24,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_interleave_a_first_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,1,1,1,165,13,2145,848,2.529481,0,0,0.227,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_lsb_a_msb+abc_g_aig,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/verilog/ex266_udiv_bdd_b_lsb_a_msb.v,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig.aig,1,1,1,213,12,2556,848,3.014151,0,0,0.234,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig
