case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_bdd_b_msb_a_lsb_synth_preset,1,157,15,2355,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,1,171,14,2394,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,1,171,14,2394,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig,1,152,14,2128,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_synth_preset,1,152,12,1824,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d18,1,152,14,2128,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig_d24,1,152,14,2128,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig,1,242,16,3872,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_lsb_synth_preset,1,237,19,4503,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig_d18,1,242,16,3872,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_lsb_abc_g_aig_d24,1,242,16,3872,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_lsb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_lsb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig,1,165,13,2145,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_a_first_msb_synth_preset,1,166,14,2324,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18,1,165,13,2145,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d18
ex266,ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24,1,165,13,2145,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_interleave_a_first_msb_abc_g_aig_d24.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_a_first_msb; flow=abc_g_aig_d24
ex266,ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig,1,213,12,2556,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_lsb_a_msb_synth_preset,1,215,12,2580,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_lsb_a_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=synth_preset
ex266,ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18,1,213,12,2556,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex266/aigs/ex266_udiv_bdd_b_lsb_a_msb_abc_g_aig_d18.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d18
