case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_shift_subtract_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex266/aigs/ex266_udiv_shift_subtract_narrow_abc_g_aig.aig,1,1,1,89,28,2492,848,2.938679,0,0,0.248,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=shift_subtract_narrow; flow=abc_g_aig
ex267,ex267_udiv_shift_subtract_narrow_synth_preset,unsigned low6_high6:a/b dbz=max,shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_shift_subtract_narrow_synth_preset.aig,1,1,1,140,45,6300,2651,2.376462,0,0,0.348,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=shift_subtract_narrow; flow=synth_preset
ex267,ex267_udiv_radix4_shift_subtract_narrow_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix4_shift_subtract_narrow_abc_g_aig.aig,1,1,1,196,28,5488,2651,2.070162,0,0,0.327,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,198,27,5346,2651,2.016598,0,0,0.376,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_shift_subtract_narrow_synth_preset,unsigned low6_high6:a/b dbz=max,radix4_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix4_shift_subtract_narrow_synth_preset.aig,1,1,1,201,28,5628,2651,2.122972,0,0,0.387,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=synth_preset
ex267,ex267_udiv_radix8_shift_subtract_narrow_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix8_shift_subtract_narrow_abc_g_aig.aig,1,1,1,271,23,6233,2651,2.351188,0,0,0.395,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,275,24,6600,2651,2.489627,0,0,0.417,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix8_shift_subtract_narrow_synth_preset,unsigned low6_high6:a/b dbz=max,radix8_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/verilog/ex267_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex267/aigs/ex267_udiv_radix8_shift_subtract_narrow_synth_preset.aig,1,1,1,263,23,6049,2651,2.281780,0,0,0.447,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=synth_preset
ex269,ex269_udiv_shift_subtract_narrow_abc_g_aig,unsigned low8_high8:a/b dbz=max,shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_shift_subtract_narrow_abc_g_aig.aig,1,1,1,262,77,20174,11760,1.715476,0,0,0.384,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=shift_subtract_narrow; flow=abc_g_aig
ex269,ex269_udiv_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,262,77,20174,11760,1.715476,0,0,0.401,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=shift_subtract_narrow; flow=wreduce_abc_g_aig
ex269,ex269_udiv_shift_subtract_narrow_synth_preset,unsigned low8_high8:a/b dbz=max,shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_shift_subtract_narrow_synth_preset.aig,1,1,1,265,76,20140,11760,1.712585,0,0,0.485,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=shift_subtract_narrow; flow=synth_preset
ex269,ex269_udiv_radix4_shift_subtract_narrow_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix4_shift_subtract_narrow_abc_g_aig.aig,1,1,1,376,45,16920,11760,1.438776,1,0,0.499,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix4_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,375,45,16875,11760,1.434949,1,0,0.509,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_shift_subtract_narrow_synth_preset,unsigned low8_high8:a/b dbz=max,radix4_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix4_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix4_shift_subtract_narrow_synth_preset.aig,1,1,1,379,45,17055,11760,1.450255,1,0,0.559,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix4_shift_subtract_narrow; flow=synth_preset
ex269,ex269_udiv_radix8_shift_subtract_narrow_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_narrow+abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix8_shift_subtract_narrow_abc_g_aig.aig,1,1,1,538,42,22596,11760,1.921429,0,0,0.592,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_narrow+wreduce_abc_g_aig,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix8_shift_subtract_narrow_wreduce_abc_g_aig.aig,1,1,1,548,43,23564,11760,2.003741,0,0,0.620,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix8_shift_subtract_narrow_synth_preset,unsigned low8_high8:a/b dbz=max,radix8_shift_subtract_narrow+synth_preset,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/verilog/ex269_udiv_radix8_shift_subtract_narrow.v,student/work/ex266_ex267_ex269_frontend_udiv_radix_narrow_20260609_1125/ex269/aigs/ex269_udiv_radix8_shift_subtract_narrow_synth_preset.aig,1,1,1,539,42,22638,11760,1.925000,0,0,0.741,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=radix8_shift_subtract_narrow; flow=synth_preset
