case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_wide_signed_abc_g_aig,signed low4_high4:a*b,wide_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_wide_signed_abc_g_aig.aig,1,1,1,151,18,2718,657,4.136986,0,0,0.225,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=wide_signed; flow=abc_g_aig
ex260,ex260_smul_abs_sign_wallace_synth_preset_d13,signed low4_high4:a*b,abs_sign_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d13.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.354,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d13
ex260,ex260_smul_abs_sign_wallace_synth_preset_d18,signed low4_high4:a*b,abs_sign_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_synth_preset_d18.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.323,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=synth_preset_d18
ex260,ex260_smul_abs_sign_wallace_abc_g_aig_d13,signed low4_high4:a*b,abs_sign_wallace+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/verilog/ex260_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex260/aigs/ex260_smul_abs_sign_wallace_abc_g_aig_d13.aig,1,1,1,104,18,1872,657,2.849315,0,0,0.247,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=abs_sign_wallace; flow=abc_g_aig_d13
ex261,ex261_smul_wide_signed_abc_g_aig,signed low5_high5:a*b,wide_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_abc_g_aig.aig,1,1,1,305,26,7930,2041,3.885350,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=abc_g_aig
ex261,ex261_smul_wide_signed_wreduce_abc_g_aig,signed low5_high5:a*b,wide_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_wreduce_abc_g_aig.aig,1,1,1,203,25,5075,2041,2.486526,0,0,0.213,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_wide_signed_synth_preset_d9,signed low5_high5:a*b,wide_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_synth_preset_d9.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.278,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=synth_preset_d9
ex261,ex261_smul_wide_signed_synth_preset_d13,signed low5_high5:a*b,wide_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_synth_preset_d13.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.281,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=synth_preset_d13
ex261,ex261_smul_wide_signed_synth_preset_d18,signed low5_high5:a*b,wide_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_synth_preset_d18.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.279,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=synth_preset_d18
ex261,ex261_smul_wide_signed_abc_g_aig_d13,signed low5_high5:a*b,wide_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_wide_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_wide_signed_abc_g_aig_d13.aig,1,1,1,305,26,7930,2041,3.885350,0,0,0.278,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=wide_signed; flow=abc_g_aig_d13
ex261,ex261_smul_booth_radix4_signed_abc_g_aig,signed low5_high5:a*b,booth_radix4_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_abc_g_aig.aig,1,1,1,174,23,4002,2041,1.960804,0,0,0.265,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex261,ex261_smul_booth_radix4_signed_wreduce_abc_g_aig,signed low5_high5:a*b,booth_radix4_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_wreduce_abc_g_aig.aig,1,1,1,174,23,4002,2041,1.960804,0,0,0.256,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_booth_radix4_signed_synth_preset_d9,signed low5_high5:a*b,booth_radix4_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d9.aig,1,1,1,180,21,3780,2041,1.852033,0,0,0.313,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d9
ex261,ex261_smul_booth_radix4_signed_synth_preset_d13,signed low5_high5:a*b,booth_radix4_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d13.aig,1,1,1,180,21,3780,2041,1.852033,0,0,0.314,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex261,ex261_smul_booth_radix4_signed_synth_preset_d18,signed low5_high5:a*b,booth_radix4_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_synth_preset_d18.aig,1,1,1,180,21,3780,2041,1.852033,0,0,0.314,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=synth_preset_d18
ex261,ex261_smul_booth_radix4_signed_abc_g_aig_d13,signed low5_high5:a*b,booth_radix4_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_booth_radix4_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_booth_radix4_signed_abc_g_aig_d13.aig,1,1,1,174,23,4002,2041,1.960804,0,0,0.264,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=booth_radix4_signed; flow=abc_g_aig_d13
ex261,ex261_smul_direct_signed_abc_g_aig,signed low5_high5:a*b,direct_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_abc_g_aig.aig,1,1,1,203,25,5075,2041,2.486526,0,0,0.216,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=abc_g_aig
ex261,ex261_smul_direct_signed_wreduce_abc_g_aig,signed low5_high5:a*b,direct_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_wreduce_abc_g_aig.aig,1,1,1,203,25,5075,2041,2.486526,0,0,0.214,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_direct_signed_synth_preset_d9,signed low5_high5:a*b,direct_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_synth_preset_d9.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.278,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d9
ex261,ex261_smul_direct_signed_synth_preset_d13,signed low5_high5:a*b,direct_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_synth_preset_d13.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.277,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d13
ex261,ex261_smul_direct_signed_synth_preset_d18,signed low5_high5:a*b,direct_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_synth_preset_d18.aig,1,1,1,197,23,4531,2041,2.219990,0,0,0.295,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=synth_preset_d18
ex261,ex261_smul_direct_signed_abc_g_aig_d13,signed low5_high5:a*b,direct_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_direct_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_direct_signed_abc_g_aig_d13.aig,1,1,1,203,25,5075,2041,2.486526,0,0,0.215,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=direct_signed; flow=abc_g_aig_d13
ex261,ex261_smul_split_half_signed_abc_g_aig,signed low5_high5:a*b,split_half_signed+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_abc_g_aig.aig,1,1,1,176,24,4224,2041,2.069574,0,0,0.240,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=abc_g_aig
ex261,ex261_smul_split_half_signed_wreduce_abc_g_aig,signed low5_high5:a*b,split_half_signed+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_wreduce_abc_g_aig.aig,1,1,1,169,24,4056,2041,1.987261,0,0,0.251,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=wreduce_abc_g_aig
ex261,ex261_smul_split_half_signed_synth_preset_d9,signed low5_high5:a*b,split_half_signed+synth_preset_d9,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d9.aig,1,1,1,179,21,3759,2041,1.841744,0,0,0.293,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d9
ex261,ex261_smul_split_half_signed_synth_preset_d13,signed low5_high5:a*b,split_half_signed+synth_preset_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d13.aig,1,1,1,179,21,3759,2041,1.841744,0,0,0.294,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d13
ex261,ex261_smul_split_half_signed_synth_preset_d18,signed low5_high5:a*b,split_half_signed+synth_preset_d18,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_synth_preset_d18.aig,1,1,1,179,21,3759,2041,1.841744,0,0,0.296,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=synth_preset_d18
ex261,ex261_smul_split_half_signed_abc_g_aig_d13,signed low5_high5:a*b,split_half_signed+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_split_half_signed.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_split_half_signed_abc_g_aig_d13.aig,1,1,1,176,24,4224,2041,2.069574,0,0,0.242,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=split_half_signed; flow=abc_g_aig_d13
ex261,ex261_smul_abs_sign_wallace_abc_g_aig,signed low5_high5:a*b,abs_sign_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/verilog/ex261_smul_abs_sign_wallace.v,student/work/ex260_ex264_frontend_smul_booth_wide_fix_20260609_0230/ex261/aigs/ex261_smul_abs_sign_wallace_abc_g_aig.aig,1,1,1,177,24,4248,2041,2.081333,0,0,0.303,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=abs_sign_wallace; flow=abc_g_aig
