case,agent_id,candidate_id,verilog_path,aig_path,evaluate_log,equivalent,area,delay,adp,status,notes,domain,shard_csv,method_signature
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.evaluate.py.log,1,1621,37,59977,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_abc_g_aig_raw.abc.log; synth_sec=2.158; abc_sec=0.000; eval_sec=0.594,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex244,sub-fp8-add-alt-r64,ex244_ex244_r64_siggap_threshold_control_synth_preset_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/verilog/ex244_r64_siggap_threshold_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/aigs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.evaluate.py.log,1,1663,37,61531,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_r64_siggap_threshold_control_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex244/ex244_r64_siggap_threshold_control/logs/ex244_ex244_r64_siggap_threshold_control_synth_preset_raw.abc.log; synth_sec=2.208; abc_sec=0.000; eval_sec=0.516,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_ratio_formula_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_default_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_default_raw.abc.log; synth_sec=0.276; abc_sec=0.000; eval_sec=0.435,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_ratio_formula_extra_share_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_extra_share_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_extra_share_raw.abc.log; synth_sec=0.222; abc_sec=0.000; eval_sec=0.436,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_ratio_formula_abc_g_aig_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_abc_g_aig_raw.abc.log; synth_sec=0.283; abc_sec=0.000; eval_sec=0.446,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_ratio_formula_synth_preset_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/verilog/ex249_r64_ratio_formula.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/aigs/ex249_ex249_r64_ratio_formula_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_synth_preset_raw.evaluate.py.log,0,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_r64_ratio_formula_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_ratio_formula/logs/ex249_ex249_r64_ratio_formula_synth_preset_raw.abc.log; synth_sec=0.412; abc_sec=0.000; eval_sec=0.446,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_default_raw.evaluate.py.log,1,187,32,5984,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_default_raw.abc.log; synth_sec=0.221; abc_sec=0.000; eval_sec=0.469,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_extra_share_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_extra_share_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_extra_share_raw.evaluate.py.log,1,192,31,5952,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_extra_share.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_extra_share_raw.abc.log; synth_sec=0.232; abc_sec=0.000; eval_sec=0.467,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_abc_g_aig_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_abc_g_aig_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_abc_g_aig_raw.evaluate.py.log,1,181,32,5792,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_abc_g_aig.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_abc_g_aig_raw.abc.log; synth_sec=0.222; abc_sec=0.000; eval_sec=0.528,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_sqratio_case_synth_preset_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/verilog/ex249_r64_sqratio_case.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/aigs/ex249_ex249_r64_sqratio_case_synth_preset_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_synth_preset_raw.evaluate.py.log,1,186,31,5766,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_r64_sqratio_case_synth_preset.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_sqratio_case/logs/ex249_ex249_r64_sqratio_case_synth_preset_raw.abc.log; synth_sec=0.290; abc_sec=0.000; eval_sec=0.463,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
ex249,sub-fp8-add-alt-r64,ex249_ex249_r64_threshold_case_control_default_raw,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_threshold_case_control/verilog/ex249_r64_threshold_case_control.v,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_threshold_case_control/aigs/ex249_ex249_r64_threshold_case_control_default_raw.aig,student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_threshold_case_control/logs/ex249_ex249_r64_threshold_case_control_default_raw.evaluate.py.log,1,185,30,5550,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_threshold_case_control/logs/ex249_r64_threshold_case_control_default.yosys.log; abc_log=student/work/frontend_source_parallel_round64_20260613_1004/sub-fp8-add-alt-r64/ex249/ex249_r64_threshold_case_control/logs/ex249_ex249_r64_threshold_case_control_default_raw.abc.log; synth_sec=0.177; abc_sec=0.000; eval_sec=0.472,float_fp8,student/frontend_campaigns/campaigns/frontend_source_parallel_round64_20260613_1004/agent_shards/sub-fp8-add-alt-r64/evaluation_results.csv,
