case,kind,name,bit,terms,support,degree_dist
ex280,residual,rev_out_xor_5x,7,116,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:11;3:29;4:65;5:7;6:3
ex280,residual,rev_out_xor_5x,8,104,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:8;3:37;4:35;5:9;6:9;7:4
ex280,residual,rev_out_xor_5x,9,152,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:6;3:29;4:69;5:11;6:17;7:14;8:4
ex280,residual,rev_out_xor_5x,10,140,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:4;3:17;4:31;5:12;6:23;7:28;8:18;9:5
ex280,residual,rev_out_xor_5x,11,152,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:2;3:9;4:13;5:12;6:24;7:34;8:32;9:19;10:5
ex280,residual,rev_out_xor_clmul5x,0,230,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:9;3:92;4:128
ex280,residual,rev_out_xor_clmul5x,1,252,0:1:2:3:4:5:6:7:8:9:10:11,2:7;3:41;4:204
ex280,residual,rev_out_xor_clmul5x,2,281,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:15;3:58;4:207
ex280,residual,rev_out_xor_clmul5x,3,373,0:1:2:3:4:5:6:7:8:9:10:11,2:16;3:68;4:289
ex280,residual,rev_out_xor_clmul5x,4,281,0:1:2:3:4:5:6:7:8:9:10:11,2:14;3:54;4:213
ex280,residual,rev_out_xor_clmul5x,5,233,0:1:2:3:4:5:6:7:8:9:10:11,2:12;3:44;4:177
ex280,residual,rev_out_xor_clmul5x,6,183,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:42;4:130
ex280,residual,rev_out_xor_clmul5x,7,95,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:10;3:24;4:60
ex280,residual,rev_out_xor_clmul5x,8,69,0:1:2:3:4:6:8:9:10:11,1:2;2:7;3:32;4:28
ex280,residual,rev_out_xor_clmul5x,9,93,0:1:2:3:4:5:7:9:10:11,1:2;2:5;3:24;4:62
ex280,residual,rev_out_xor_clmul5x,10,41,0:1:2:3:4:8:10:11,1:2;2:3;3:12;4:24
ex280,residual,rev_out_xor_clmul5x,11,13,0:1:2:3:9:11,1:2;2:1;3:4;4:6
ex280,residual,rev_out_xor_prefix5x,0,230,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:9;3:92;4:128
ex280,residual,rev_out_xor_prefix5x,1,253,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:7;3:41;4:204
ex280,residual,rev_out_xor_prefix5x,2,281,0:1:2:3:4:5:6:7:8:9:10:11,1:1;2:15;3:58;4:207
ex280,residual,rev_out_xor_prefix5x,3,376,0:1:2:3:4:5:6:7:8:9:10:11,1:3;2:16;3:68;4:289
ex280,residual,rev_out_xor_prefix5x,4,287,0:1:2:3:4:5:6:7:8:9:10:11,1:4;2:13;3:57;4:213
ex280,residual,rev_out_xor_prefix5x,5,236,0:1:2:3:4:5:6:7:8:9:10:11,1:5;2:11;3:45;4:175
ex280,residual,rev_out_xor_prefix5x,6,189,0:1:2:3:4:5:6:7:8:9:10:11,1:7;2:9;3:42;4:126;5:5
ex280,residual,rev_out_xor_prefix5x,7,128,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:9;3:30;4:64;5:11;6:6
ex280,residual,rev_out_xor_prefix5x,8,127,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:8;3:34;4:39;5:16;6:15;7:7
ex280,residual,rev_out_xor_prefix5x,9,188,0:1:2:3:4:5:6:7:8:9:10:11,1:9;2:8;3:30;4:73;5:18;6:23;7:19;8:8
ex280,residual,rev_out_xor_prefix5x,10,183,0:1:2:3:4:5:6:7:8:9:10:11,1:10;2:6;3:18;4:35;5:19;6:29;7:33;8:24;9:9
ex280,residual,rev_out_xor_prefix5x,11,218,0:1:2:3:4:5:6:7:8:9:10:11,1:11;2:4;3:10;4:17;5:19;6:31;7:43;8:44;9:29;10:10
ex280,residual,rev_out_xor_suffix5x,0,241,0:1:2:3:4:5:6:7:8:9:10:11,1:12;2:9;3:92;4:128
ex280,residual,rev_out_xor_suffix5x,1,262,0:1:2:3:4:5:6:7:8:9:10:11,1:10;2:7;3:41;4:204
ex280,residual,rev_out_xor_suffix5x,2,283,0:1:2:3:4:5:6:7:8:9:10:11,1:3;2:15;3:58;4:207
ex280,residual,rev_out_xor_suffix5x,3,383,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:18;3:68;4:289
ex280,residual,rev_out_xor_suffix5x,4,306,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:19;3:66;4:213
ex280,residual,rev_out_xor_suffix5x,5,249,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:13;3:57;4:171
ex280,residual,rev_out_xor_suffix5x,6,230,0:1:2:3:4:5:6:7:8:9:10:11,1:8;2:11;3:45;4:130;5:36
ex280,residual,rev_out_xor_suffix5x,7,189,0:1:2:3:4:5:6:7:8:9:10:11,1:7;2:11;3:28;4:70;5:37;6:36
ex280,residual,rev_out_xor_suffix5x,8,200,0:1:2:3:4:5:6:7:8:9:10:11,1:5;2:8;3:33;4:39;5:30;6:49;7:36
ex280,residual,rev_out_xor_suffix5x,9,273,0:1:2:3:4:5:6:7:8:9:10:11,1:4;2:8;3:30;4:73;5:24;6:47;7:55;8:32
ex280,residual,rev_out_xor_suffix5x,10,254,0:1:2:3:4:5:6:7:8:9:10:11,1:3;2:6;3:18;4:35;5:20;6:37;7:55;8:52;9:28
ex280,residual,rev_out_xor_suffix5x,11,211,0:1:2:3:4:5:6:7:8:9:10:11,1:2;2:4;3:10;4:17;5:17;6:23;7:33;8:44;9:41;10:20
ex281,output,raw,0,11,0:1:2:3:10:12,2:1;3:4;4:6
ex281,output,raw,1,39,0:1:2:3:4:9:11:12,2:3;3:12;4:24
ex281,output,raw,2,91,0:1:2:3:4:5:8:10:11:12,2:5;3:24;4:62
ex281,output,raw,3,175,0:1:2:3:4:5:6:7:9:10:11:12,2:7;3:40;4:128
ex281,output,raw,4,249,0:1:2:3:4:5:6:7:8:9:10:11:12,2:4;3:45;4:200
ex281,output,raw,5,239,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:38;4:190
ex281,output,raw,6,283,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:12;3:44;4:225
ex281,output,raw,7,327,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:14;3:54;4:257
ex281,output,raw,8,399,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:16;3:68;4:313
ex281,output,raw,9,523,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:18;3:86;4:417
ex281,output,raw,10,377,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:16;3:72;4:288
ex281,output,raw,11,343,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:7;3:50;4:285
ex281,output,raw,12,283,0:1:2:3:4:5:6:7:8:9:10:11:12,2:10;3:111;4:162
ex281,output,reverse_output,0,283,0:1:2:3:4:5:6:7:8:9:10:11:12,2:10;3:111;4:162
ex281,output,reverse_output,1,343,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:7;3:50;4:285
ex281,output,reverse_output,2,377,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:16;3:72;4:288
ex281,output,reverse_output,3,523,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:18;3:86;4:417
ex281,output,reverse_output,4,399,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:16;3:68;4:313
ex281,output,reverse_output,5,327,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:14;3:54;4:257
ex281,output,reverse_output,6,283,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:12;3:44;4:225
ex281,output,reverse_output,7,239,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:38;4:190
ex281,output,reverse_output,8,249,0:1:2:3:4:5:6:7:8:9:10:11:12,2:4;3:45;4:200
ex281,output,reverse_output,9,175,0:1:2:3:4:5:6:7:9:10:11:12,2:7;3:40;4:128
ex281,output,reverse_output,10,91,0:1:2:3:4:5:8:10:11:12,2:5;3:24;4:62
ex281,output,reverse_output,11,39,0:1:2:3:4:9:11:12,2:3;3:12;4:24
ex281,output,reverse_output,12,11,0:1:2:3:10:12,2:1;3:4;4:6
ex281,residual,rev_out_xor_5x,0,284,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:111;4:162
ex281,residual,rev_out_xor_5x,1,342,0:1:2:3:4:5:6:7:8:9:10:11:12,2:7;3:50;4:285
ex281,residual,rev_out_xor_5x,2,377,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:16;3:72;4:288
ex281,residual,rev_out_xor_5x,3,522,0:1:2:3:4:5:6:7:8:9:10:11:12,2:19;3:86;4:417
ex281,residual,rev_out_xor_5x,4,400,0:1:2:3:4:5:6:7:8:9:10:11:12,2:17;3:70;4:313
ex281,residual,rev_out_xor_5x,5,326,0:1:2:3:4:5:6:7:8:9:10:11:12,2:15;3:54;4:257
ex281,residual,rev_out_xor_5x,6,286,0:1:2:3:4:5:6:7:8:9:10:11:12,2:13;3:43;4:227;5:3
ex281,residual,rev_out_xor_5x,7,248,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:11;3:39;4:187;5:7;6:3
ex281,residual,rev_out_xor_5x,8,262,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:5;3:40;4:193;5:9;6:9;7:4
ex281,residual,rev_out_xor_5x,9,230,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:8;3:41;4:133;5:11;6:17;7:14;8:4
ex281,residual,rev_out_xor_5x,10,192,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:6;3:29;4:69;5:12;6:23;7:28;8:18;9:5
ex281,residual,rev_out_xor_5x,11,180,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:4;3:17;4:31;5:12;6:24;7:34;8:32;9:19;10:5
ex281,residual,rev_out_xor_5x,12,208,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:2;3:9;4:13;5:12;6:24;7:36;8:42;9:39;10:23;11:6
ex281,residual,rev_out_xor_clmul5x,0,284,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:111;4:162
ex281,residual,rev_out_xor_clmul5x,1,342,0:1:2:3:4:5:6:7:8:9:10:11:12,2:7;3:50;4:285
ex281,residual,rev_out_xor_clmul5x,2,377,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:16;3:72;4:288
ex281,residual,rev_out_xor_clmul5x,3,521,0:1:2:3:4:5:6:7:8:9:10:11:12,2:18;3:86;4:417
ex281,residual,rev_out_xor_clmul5x,4,397,0:1:2:3:4:5:6:7:8:9:10:11:12,2:16;3:68;4:313
ex281,residual,rev_out_xor_clmul5x,5,325,0:1:2:3:4:5:6:7:8:9:10:11:12,2:14;3:54;4:257
ex281,residual,rev_out_xor_clmul5x,6,281,0:1:2:3:4:5:6:7:8:9:10:11:12,2:12;3:44;4:225
ex281,residual,rev_out_xor_clmul5x,7,239,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:38;4:190
ex281,residual,rev_out_xor_clmul5x,8,251,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:4;3:45;4:200
ex281,residual,rev_out_xor_clmul5x,9,177,0:1:2:3:4:5:6:7:9:10:11:12,1:2;2:7;3:40;4:128
ex281,residual,rev_out_xor_clmul5x,10,93,0:1:2:3:4:5:8:10:11:12,1:2;2:5;3:24;4:62
ex281,residual,rev_out_xor_clmul5x,11,41,0:1:2:3:4:9:11:12,1:2;2:3;3:12;4:24
ex281,residual,rev_out_xor_clmul5x,12,13,0:1:2:3:10:12,1:2;2:1;3:4;4:6
ex281,residual,rev_out_xor_prefix5x,0,284,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:10;3:111;4:162
ex281,residual,rev_out_xor_prefix5x,1,343,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:7;3:50;4:285
ex281,residual,rev_out_xor_prefix5x,2,377,0:1:2:3:4:5:6:7:8:9:10:11:12,1:1;2:16;3:72;4:288
ex281,residual,rev_out_xor_prefix5x,3,524,0:1:2:3:4:5:6:7:8:9:10:11:12,1:3;2:18;3:86;4:417
ex281,residual,rev_out_xor_prefix5x,4,403,0:1:2:3:4:5:6:7:8:9:10:11:12,1:4;2:15;3:71;4:313
ex281,residual,rev_out_xor_prefix5x,5,328,0:1:2:3:4:5:6:7:8:9:10:11:12,1:5;2:13;3:55;4:255
ex281,residual,rev_out_xor_prefix5x,6,287,0:1:2:3:4:5:6:7:8:9:10:11:12,1:6;2:11;3:44;4:221;5:5
ex281,residual,rev_out_xor_prefix5x,7,254,0:1:2:3:4:5:6:7:8:9:10:11:12,1:8;2:9;3:34;4:186;5:11;6:6
ex281,residual,rev_out_xor_prefix5x,8,281,0:1:2:3:4:5:6:7:8:9:10:11:12,1:8;2:7;3:39;4:189;5:16;6:15;7:7
ex281,residual,rev_out_xor_prefix5x,9,262,0:1:2:3:4:5:6:7:8:9:10:11:12,1:9;2:10;3:42;4:133;5:18;6:23;7:19;8:8
ex281,residual,rev_out_xor_prefix5x,10,235,0:1:2:3:4:5:6:7:8:9:10:11:12,1:10;2:8;3:30;4:73;5:19;6:29;7:33;8:24;9:9
ex281,residual,rev_out_xor_prefix5x,11,246,0:1:2:3:4:5:6:7:8:9:10:11:12,1:11;2:6;3:18;4:35;5:19;6:31;7:43;8:44;9:29;10:10
ex281,residual,rev_out_xor_prefix5x,12,313,0:1:2:3:4:5:6:7:8:9:10:11:12,1:12;2:4;3:10;4:17;5:19;6:32;7:50;8:64;9:59;10:35;11:11
ex281,residual,rev_out_xor_suffix5x,0,296,0:1:2:3:4:5:6:7:8:9:10:11:12,1:13;2:10;3:111;4:162
ex281,residual,rev_out_xor_suffix5x,1,353,0:1:2:3:4:5:6:7:8:9:10:11:12,1:11;2:7;3:50;4:285
ex281,residual,rev_out_xor_suffix5x,2,379,0:1:2:3:4:5:6:7:8:9:10:11:12,1:3;2:16;3:72;4:288
ex281,residual,rev_out_xor_suffix5x,3,532,0:1:2:3:4:5:6:7:8:9:10:11:12,1:9;2:20;3:86;4:417
ex281,residual,rev_out_xor_suffix5x,4,425,0:1:2:3:4:5:6:7:8:9:10:11:12,1:9;2:22;3:81;4:313
ex281,residual,rev_out_xor_suffix5x,5,342,0:1:2:3:4:5:6:7:8:9:10:11:12,1:9;2:15;3:69;4:249
ex281,residual,rev_out_xor_suffix5x,6,333,0:1:2:3:4:5:6:7:8:9:10:11:12,1:8;2:13;3:46;4:225;5:41
ex281,residual,rev_out_xor_suffix5x,7,334,0:1:2:3:4:5:6:7:8:9:10:11:12,1:8;2:11;3:38;4:192;5:43;6:42
ex281,residual,rev_out_xor_suffix5x,8,383,0:1:2:3:4:5:6:7:8:9:10:11:12,1:6;2:7;3:40;4:194;5:35;6:58;7:43
ex281,residual,rev_out_xor_suffix5x,9,362,0:1:2:3:4:5:6:7:8:9:10:11:12,1:5;2:10;3:36;4:123;5:26;6:55;7:67;8:40
ex281,residual,rev_out_xor_suffix5x,10,353,0:1:2:3:4:5:6:7:8:9:10:11:12,1:4;2:8;3:30;4:73;5:21;6:43;7:69;8:68;9:37
ex281,residual,rev_out_xor_suffix5x,11,302,0:1:2:3:4:5:6:7:8:9:10:11:12,1:3;2:6;3:18;4:35;5:17;6:25;7:43;8:64;9:61;10:30
ex281,residual,rev_out_xor_suffix5x,12,337,0:1:2:3:4:5:6:7:8:9:10:11:12,1:2;2:4;3:10;4:17;5:18;6:27;7:42;8:64;9:74;10:56;11:23
ex282,output,raw,0,11,0:1:2:3:11:13,2:1;3:4;4:6
ex282,output,raw,1,39,0:1:2:3:4:10:12:13,2:3;3:12;4:24
ex282,output,raw,2,91,0:1:2:3:4:5:9:11:12:13,2:5;3:24;4:62
ex282,output,raw,3,175,0:1:2:3:4:5:6:8:10:11:12:13,2:7;3:40;4:128
ex282,output,raw,4,119,0:1:2:3:4:5:7:9:10:11:12:13,2:9;3:50;4:60
ex282,output,raw,5,137,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:34;4:90
ex282,output,raw,6,295,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:60;4:222
ex282,output,raw,7,393,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:14;3:62;4:315
ex282,output,raw,8,453,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:16;3:72;4:363
ex282,output,raw,9,549,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:18;3:86;4:443
ex282,output,raw,10,705,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:20;3:104;4:579
ex282,output,raw,11,499,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:18;3:92;4:388
ex282,output,raw,12,455,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:8;3:61;4:385
ex282,output,raw,13,345,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:11;3:134;4:200
ex282,output,reverse_output,0,345,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:11;3:134;4:200
ex282,output,reverse_output,1,455,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:8;3:61;4:385
ex282,output,reverse_output,2,499,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:18;3:92;4:388
ex282,output,reverse_output,3,705,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:20;3:104;4:579
ex282,output,reverse_output,4,549,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:18;3:86;4:443
ex282,output,reverse_output,5,453,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:16;3:72;4:363
ex282,output,reverse_output,6,393,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:14;3:62;4:315
ex282,output,reverse_output,7,295,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:60;4:222
ex282,output,reverse_output,8,137,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:34;4:90
ex282,output,reverse_output,9,119,0:1:2:3:4:5:7:9:10:11:12:13,2:9;3:50;4:60
ex282,output,reverse_output,10,175,0:1:2:3:4:5:6:8:10:11:12:13,2:7;3:40;4:128
ex282,output,reverse_output,11,91,0:1:2:3:4:5:9:11:12:13,2:5;3:24;4:62
ex282,output,reverse_output,12,39,0:1:2:3:4:10:12:13,2:3;3:12;4:24
ex282,output,reverse_output,13,11,0:1:2:3:11:13,2:1;3:4;4:6
ex282,residual,rev_out_xor_5x,0,346,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:11;3:134;4:200
ex282,residual,rev_out_xor_5x,1,454,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:8;3:61;4:385
ex282,residual,rev_out_xor_5x,2,499,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:18;3:92;4:388
ex282,residual,rev_out_xor_5x,3,704,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:21;3:104;4:579
ex282,residual,rev_out_xor_5x,4,550,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:19;3:88;4:443
ex282,residual,rev_out_xor_5x,5,452,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:17;3:72;4:363
ex282,residual,rev_out_xor_5x,6,396,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:15;3:61;4:317;5:3
ex282,residual,rev_out_xor_5x,7,308,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:13;3:59;4:225;5:7;6:3
ex282,residual,rev_out_xor_5x,8,170,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:13;3:39;4:95;5:9;6:9;7:4
ex282,residual,rev_out_xor_5x,9,180,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:10;3:55;4:67;5:11;6:17;7:14;8:4
ex282,residual,rev_out_xor_5x,10,276,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:8;3:45;4:135;5:12;6:23;7:28;8:18;9:5
ex282,residual,rev_out_xor_5x,11,232,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:6;3:29;4:69;5:12;6:24;7:34;8:32;9:19;10:5
ex282,residual,rev_out_xor_5x,12,236,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:4;3:17;4:31;5:12;6:24;7:36;8:42;9:39;10:23;11:6
ex282,residual,rev_out_xor_5x,13,320,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:2;2:2;3:9;4:13;5:12;6:24;7:38;8:54;9:69;10:61;11:30;12:6
ex282,residual,rev_out_xor_clmul5x,0,346,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:11;3:134;4:200
ex282,residual,rev_out_xor_clmul5x,1,454,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:8;3:61;4:385
ex282,residual,rev_out_xor_clmul5x,2,499,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:18;3:92;4:388
ex282,residual,rev_out_xor_clmul5x,3,703,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:20;3:104;4:579
ex282,residual,rev_out_xor_clmul5x,4,547,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:18;3:86;4:443
ex282,residual,rev_out_xor_clmul5x,5,451,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:16;3:72;4:363
ex282,residual,rev_out_xor_clmul5x,6,391,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2:14;3:62;4:315
ex282,residual,rev_out_xor_clmul5x,7,295,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:60;4:222
ex282,residual,rev_out_xor_clmul5x,8,137,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:12;3:34;4:90
ex282,residual,rev_out_xor_clmul5x,9,121,0:1:2:3:4:5:7:9:10:11:12:13,1:2;2:9;3:50;4:60
ex282,residual,rev_out_xor_clmul5x,10,177,0:1:2:3:4:5:6:8:10:11:12:13,1:2;2:7;3:40;4:128
ex282,residual,rev_out_xor_clmul5x,11,93,0:1:2:3:4:5:9:11:12:13,1:2;2:5;3:24;4:62
ex282,residual,rev_out_xor_clmul5x,12,41,0:1:2:3:4:10:12:13,1:2;2:3;3:12;4:24
ex282,residual,rev_out_xor_clmul5x,13,13,0:1:2:3:11:13,1:2;2:1;3:4;4:6
ex282,residual,rev_out_xor_prefix5x,0,346,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:11;3:134;4:200
ex282,residual,rev_out_xor_prefix5x,1,455,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:8;3:61;4:385
ex282,residual,rev_out_xor_prefix5x,2,499,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:1;2:18;3:92;4:388
ex282,residual,rev_out_xor_prefix5x,3,706,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:3;2:20;3:104;4:579
ex282,residual,rev_out_xor_prefix5x,4,553,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:4;2:17;3:89;4:443
ex282,residual,rev_out_xor_prefix5x,5,454,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:5;2:15;3:73;4:361
ex282,residual,rev_out_xor_prefix5x,6,397,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:6;2:13;3:62;4:311;5:5
ex282,residual,rev_out_xor_prefix5x,7,312,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:8;2:11;3:58;4:218;5:11;6:6
ex282,residual,rev_out_xor_prefix5x,8,193,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:9;2:11;3:40;4:95;5:16;6:15;7:7
ex282,residual,rev_out_xor_prefix5x,9,210,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:9;2:10;3:52;4:71;5:18;6:23;7:19;8:8
ex282,residual,rev_out_xor_prefix5x,10,319,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:10;2:10;3:46;4:139;5:19;6:29;7:33;8:24;9:9
ex282,residual,rev_out_xor_prefix5x,11,298,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1:11;2:8;3:30;4:73;5:19;6:31;7:43;8:44;9:29;10:10
