case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,gray_then_reverse,brgc_index,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,gray_then_reverse,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,gray_then_reverse,1,13,4,0.307692,a=-7;b=5,2.615385,6
ex286,affine,gray_then_reverse,gray_then_reverse,2,78,5,0.064103,a=1;b=37,17.230769,37
ex286,affine,gray_then_reverse,gray_then_reverse,3,286,6,0.020979,a=3;b=130,70.146853,142
ex286,affine,gray_then_reverse,gray_then_reverse,4,715,10,0.013986,a=1;b=0,171.779021,357
ex286,affine,gray_then_reverse,gray_then_reverse,5,1287,14,0.010878,a=1;b=0,292.132090,643
ex286,affine,gray_then_reverse,gray_then_reverse,6,1716,10,0.005828,a=1;b=0,394.472611,858
ex286,affine,gray_then_reverse,gray_then_reverse,7,1716,7,0.004079,a=-1;b=1383,417.074592,857
ex286,affine,gray_then_reverse,gray_then_reverse,8,1287,8,0.006216,a=1;b=5,293.080031,643
ex286,affine,gray_then_reverse,gray_then_reverse,9,715,9,0.012587,a=1;b=36,163.062937,357
ex286,affine,gray_then_reverse,gray_then_reverse,10,286,8,0.027972,a=1;b=0,63.272727,140
ex286,affine,gray_then_reverse,gray_then_reverse,11,78,11,0.141026,a=1;b=0,14.961538,37
ex286,affine,gray_then_reverse,gray_then_reverse,12,13,4,0.307692,a=1;b=0,1.769231,6
ex286,affine,gray_then_reverse,gray_then_reverse,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,gray_value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,gray_value,1,13,5,0.384615,a=7;b=7,2.538462,6
ex286,affine,gray_then_reverse,gray_value,2,78,7,0.089744,a=1;b=67,17.897436,39
ex286,affine,gray_then_reverse,gray_value,3,286,6,0.020979,a=3;b=134,69.160839,143
ex286,affine,gray_then_reverse,gray_value,4,715,6,0.008392,a=1;b=705,173.683916,356
ex286,affine,gray_then_reverse,gray_value,5,1287,6,0.004662,a=2;b=924,314.993784,643
ex286,affine,gray_then_reverse,gray_value,6,1716,6,0.003497,a=-5;b=111,424.115385,858
ex286,affine,gray_then_reverse,gray_value,7,1716,6,0.003497,a=1;b=1,423.170746,858
ex286,affine,gray_then_reverse,gray_value,8,1287,7,0.005439,a=-5;b=432,329.498057,643
ex286,affine,gray_then_reverse,gray_value,9,715,6,0.008392,a=3;b=411,176.155245,356
ex286,affine,gray_then_reverse,gray_value,10,286,6,0.020979,a=-3;b=85,68.020979,143
ex286,affine,gray_then_reverse,gray_value,11,78,5,0.064103,a=-11;b=76,19.025641,39
ex286,affine,gray_then_reverse,gray_value,12,13,5,0.384615,a=-1;b=0,1.692308,6
ex286,affine,gray_then_reverse,gray_value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_brgc_index,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,rev_brgc_index,1,13,5,0.384615,a=-7;b=5,2.538462,6
ex286,affine,gray_then_reverse,rev_brgc_index,2,78,5,0.064103,a=5;b=51,18.717949,38
ex286,affine,gray_then_reverse,rev_brgc_index,3,286,6,0.020979,a=-7;b=90,66.255245,142
ex286,affine,gray_then_reverse,rev_brgc_index,4,715,6,0.008392,a=3;b=663,175.893706,357
ex286,affine,gray_then_reverse,rev_brgc_index,5,1287,7,0.005439,a=-2;b=399,308.525253,643
ex286,affine,gray_then_reverse,rev_brgc_index,6,1716,7,0.004079,a=-7;b=974,433.556527,858
ex286,affine,gray_then_reverse,rev_brgc_index,7,1716,6,0.003497,a=5;b=1571,415.252331,858
