case,model,input_order,output_order,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,exact_layers,best_layer_notes
ex286,affine,rev_gray_value,gray_then_reverse,89,8192,0.010864,48710,106496,0.542612,0:13,w1:4/13:a=1;b=7;w2:4/78:a=-1;b=8;w3:6/286:a=-3;b=31;w4:7/715:a=-1;b=308;w5:7/1287:a=1;b=0;w6:7/1716:a=7;b=1362;w7:7/1716:a=1;b=85;w8:8/1287:a=1;b=792
ex286,affine,gray_then_reverse,rev_gray_value,84,8192,0.010254,48494,106496,0.544640,0:13,w1:5/13:a=-7;b=5;w2:5/78:a=1;b=37;w3:6/286:a=-1;b=19;w4:6/715:a=-1;b=15;w5:7/1287:a=5;b=0;w6:7/1716:a=1;b=1073;w7:6/1716:a=7;b=496;w8:6/1287:a=2;b=47
ex286,identity,value,value,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,rev_value,rev_value,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,gray_value,gray_value,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,rev_gray_value,rev_gray_value,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,brgc_index,brgc_index,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,rev_brgc_index,rev_brgc_index,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,gray_then_reverse,gray_then_reverse,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,identity,reverse_gray_then_reverse,reverse_gray_then_reverse,82,8192,0.010010,47686,106496,0.552227,0:13,w1:0/13:identity;w2:1/78:identity;w3:5/286:identity;w4:10/715:identity;w5:14/1287:identity;w6:10/1716:identity;w7:6/1716:identity;w8:5/1287:identity
ex286,shift,rev_gray_value,gray_then_reverse,82,8192,0.010010,49008,106496,0.539814,0:13,w1:4/13:shift=7;w2:4/78:shift=39;w3:4/286:shift=115;w4:6/715:shift=364;w5:7/1287:shift=0;w6:6/1716:shift=119;w7:7/1716:shift=85;w8:8/1287:shift=792
ex286,affine,rev_value,gray_then_reverse,81,8192,0.009888,49036,106496,0.539551,0:13,w1:4/13:a=1;b=7;w2:5/78:a=-7;b=70;w3:7/286:a=-1;b=201;w4:7/715:a=-1;b=160;w5:6/1287:a=-7;b=453;w6:8/1716:a=-7;b=1;w7:7/1716:a=7;b=1506;w8:6/1287:a=-1;b=221
ex286,affine,rev_gray_value,rev_value,80,8192,0.009766,48618,106496,0.543476,0:13,w1:4/13:a=1;b=7;w2:5/78:a=-1;b=9;w3:6/286:a=-1;b=7;w4:7/715:a=-2;b=678;w5:8/1287:a=-1;b=833;w6:7/1716:a=1;b=78;w7:7/1716:a=7;b=890;w8:7/1287:a=-7;b=1033
ex286,affine,gray_then_reverse,rev_value,80,8192,0.009766,48692,106496,0.542781,0:13,w1:5/13:a=-7;b=5;w2:5/78:a=1;b=36;w3:6/286:a=1;b=210;w4:6/715:a=3;b=605;w5:7/1287:a=5;b=321;w6:6/1716:a=-5;b=527;w7:6/1716:a=1;b=1208;w8:7/1287:a=5;b=0
ex286,affine,reverse_gray_then_reverse,gray_then_reverse,79,8192,0.009644,48816,106496,0.541617,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=0;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:7/1287:a=1;b=1;w6:7/1716:a=5;b=236;w7:7/1716:a=7;b=1701;w8:7/1287:a=7;b=798
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,79,8192,0.009644,48914,106496,0.540696,0:13,w1:4/13:a=7;b=7;w2:6/78:a=1;b=68;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:6/1287:a=1;b=330;w6:6/1716:a=1;b=791;w7:7/1716:a=7;b=275;w8:6/1287:a=-2;b=899
ex286,affine,brgc_index,rev_brgc_index,78,8192,0.009521,48188,106496,0.547514,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=0;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:7/1287:a=7;b=680;w6:8/1716:a=-5;b=174;w7:7/1716:a=-7;b=1582;w8:7/1287:a=1;b=2
ex286,affine,rev_gray_value,reverse_gray_then_reverse,78,8192,0.009521,48506,106496,0.544527,0:13,w1:4/13:a=-5;b=8;w2:6/78:a=1;b=56;w3:6/286:a=5;b=270;w4:9/715:a=1;b=0;w5:7/1287:a=-7;b=1069;w6:8/1716:a=-1;b=1656;w7:9/1716:a=1;b=0;w8:7/1287:a=-7;b=464
ex286,shift,gray_then_reverse,rev_gray_value,78,8192,0.009521,48544,106496,0.544171,0:13,w1:3/13:shift=7;w2:5/78:shift=37;w3:4/286:shift=22;w4:6/715:shift=180;w5:7/1287:shift=461;w6:7/1716:shift=1073;w7:5/1716:shift=0;w8:6/1287:shift=13
ex286,affine,gray_value,value,78,8192,0.009521,48628,106496,0.543382,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-1;b=74;w3:6/286:a=-3;b=20;w4:7/715:a=-1;b=578;w5:7/1287:a=2;b=76;w6:7/1716:a=-1;b=1395;w7:7/1716:a=-1;b=604;w8:8/1287:a=-7;b=908
ex286,affine,rev_gray_value,gray_value,78,8192,0.009521,48734,106496,0.542387,0:13,w1:4/13:a=-1;b=5;w2:5/78:a=11;b=7;w3:6/286:a=5;b=270;w4:8/715:a=1;b=0;w5:7/1287:a=-2;b=1143;w6:7/1716:a=7;b=786;w7:7/1716:a=1;b=1105;w8:7/1287:a=5;b=594
ex286,affine,value,rev_value,77,8192,0.009399,48092,106496,0.548415,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=1;b=5;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:7/1287:a=2;b=478;w6:7/1716:a=1;b=1691;w7:7/1716:a=7;b=1157;w8:7/1287:a=5;b=325
ex286,affine,value,brgc_index,77,8192,0.009399,48476,106496,0.544809,0:13,w1:4/13:a=1;b=6;w2:5/78:a=1;b=29;w3:7/286:a=3;b=29;w4:7/715:a=-2;b=297;w5:7/1287:a=-5;b=749;w6:9/1716:a=-7;b=1073;w7:7/1716:a=7;b=1082;w8:7/1287:a=-7;b=514
ex286,affine,gray_value,reverse_gray_then_reverse,77,8192,0.009399,48678,106496,0.542912,0:13,w1:4/13:a=5;b=0;w2:5/78:a=-1;b=26;w3:6/286:a=-3;b=87;w4:7/715:a=2;b=64;w5:7/1287:a=-5;b=809;w6:7/1716:a=-5;b=402;w7:7/1716:a=1;b=13;w8:6/1287:a=7;b=132
ex286,affine,rev_value,rev_gray_value,77,8192,0.009399,48894,106496,0.540884,0:13,w1:4/13:a=1;b=7;w2:5/78:a=-7;b=70;w3:7/286:a=3;b=150;w4:6/715:a=-1;b=14;w5:6/1287:a=-1;b=1270;w6:6/1716:a=-1;b=1344;w7:9/1716:a=-1;b=902;w8:6/1287:a=2;b=616
ex286,affine,rev_brgc_index,brgc_index,77,8192,0.009399,48958,106496,0.540283,0:13,w1:4/13:a=-1;b=5;w2:6/78:a=-1;b=6;w3:6/286:a=3;b=183;w4:8/715:a=1;b=0;w5:7/1287:a=-1;b=930;w6:6/1716:a=7;b=488;w7:7/1716:a=1;b=221;w8:7/1287:a=-1;b=1030
ex286,affine,rev_brgc_index,value,77,8192,0.009399,48964,106496,0.540227,0:13,w1:4/13:a=-1;b=5;w2:6/78:a=-1;b=11;w3:6/286:a=-1;b=228;w4:7/715:a=7;b=107;w5:7/1287:a=7;b=241;w6:8/1716:a=-1;b=494;w7:8/1716:a=1;b=452;w8:8/1287:a=-5;b=417
ex286,affine,reverse_gray_then_reverse,rev_gray_value,76,8192,0.009277,48138,106496,0.547983,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=11;b=45;w3:5/286:a=3;b=1;w4:6/715:a=2;b=654;w5:6/1287:a=-5;b=664;w6:8/1716:a=-1;b=1355;w7:9/1716:a=1;b=0;w8:7/1287:a=-7;b=1254
ex286,affine,gray_value,rev_value,76,8192,0.009277,48444,106496,0.545110,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=1;b=4;w3:7/286:a=7;b=226;w4:9/715:a=1;b=669;w5:6/1287:a=1;b=57;w6:6/1716:a=-1;b=958;w7:8/1716:a=-5;b=593;w8:7/1287:a=1;b=1027
ex286,affine,value,rev_gray_value,76,8192,0.009277,48502,106496,0.544565,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=-11;b=24;w3:7/286:a=5;b=190;w4:7/715:a=2;b=421;w5:8/1287:a=5;b=53;w6:7/1716:a=-1;b=1210;w7:7/1716:a=-1;b=664;w8:7/1287:a=-5;b=942
ex286,affine,brgc_index,gray_then_reverse,76,8192,0.009277,48630,106496,0.543363,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=-5;b=10;w3:6/286:a=-1;b=167;w4:6/715:a=1;b=142;w5:7/1287:a=5;b=490;w6:8/1716:a=-7;b=117;w7:7/1716:a=-5;b=1646;w8:8/1287:a=-1;b=982
ex286,affine,rev_value,value,76,8192,0.009277,48634,106496,0.543326,0:13,w1:4/13:a=-1;b=5;w2:5/78:a=11;b=17;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:8/1287:a=1;b=446;w6:7/1716:a=7;b=1186;w7:7/1716:a=-1;b=594;w8:6/1287:a=7;b=947
ex286,affine,reverse_gray_then_reverse,gray_value,76,8192,0.009277,48648,106496,0.543194,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-5;b=70;w3:6/286:a=1;b=47;w4:7/715:a=2;b=646;w5:7/1287:a=7;b=768;w6:7/1716:a=7;b=435;w7:7/1716:a=-1;b=738;w8:7/1287:a=7;b=346
ex286,affine,gray_value,rev_gray_value,75,8192,0.009155,47878,106496,0.550424,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=0;w3:6/286:a=1;b=0;w4:8/715:a=1;b=0;w5:7/1287:a=1;b=1;w6:6/1716:a=-1;b=1123;w7:6/1716:a=1;b=128;w8:9/1287:a=1;b=1
ex286,affine,rev_value,brgc_index,75,8192,0.009155,48396,106496,0.545560,0:13,w1:4/13:a=-1;b=5;w2:6/78:a=-1;b=12;w3:6/286:a=1;b=65;w4:6/715:a=3;b=372;w5:9/1287:a=-1;b=12;w6:7/1716:a=7;b=1332;w7:6/1716:a=-1;b=13;w8:8/1287:a=-5;b=605
ex286,affine,value,gray_value,75,8192,0.009155,48424,106496,0.545297,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-1;b=23;w3:6/286:a=5;b=91;w4:6/715:a=-2;b=90;w5:6/1287:a=1;b=60;w6:6/1716:a=7;b=117;w7:6/1716:a=-1;b=882;w8:7/1287:a=1;b=48
ex286,affine,brgc_index,value,75,8192,0.009155,48488,106496,0.544697,0:13,w1:4/13:a=1;b=6;w2:5/78:a=5;b=8;w3:7/286:a=1;b=31;w4:6/715:a=3;b=154;w5:8/1287:a=-1;b=678;w6:7/1716:a=5;b=1218;w7:7/1716:a=1;b=1273;w8:7/1287:a=-1;b=371
ex286,affine,value,gray_then_reverse,75,8192,0.009155,48600,106496,0.543645,0:13,w1:4/13:a=-1;b=6;w2:7/78:a=1;b=12;w3:7/286:a=3;b=257;w4:6/715:a=-2;b=0;w5:7/1287:a=-1;b=435;w6:7/1716:a=-1;b=633;w7:6/1716:a=1;b=471;w8:7/1287:a=-1;b=613
ex286,affine,gray_then_reverse,value,75,8192,0.009155,48730,106496,0.542424,0:13,w1:5/13:a=7;b=7;w2:6/78:a=1;b=66;w3:6/286:a=5;b=269;w4:6/715:a=-3;b=457;w5:7/1287:a=-5;b=140;w6:6/1716:a=7;b=910;w7:9/1716:a=5;b=1057;w8:6/1287:a=-1;b=501
ex286,affine,rev_value,gray_value,75,8192,0.009155,48736,106496,0.542368,0:13,w1:4/13:a=-1;b=5;w2:6/78:a=1;b=1;w3:7/286:a=3;b=46;w4:6/715:a=7;b=624;w5:6/1287:a=5;b=693;w6:7/1716:a=1;b=1504;w7:6/1716:a=-1;b=1603;w8:8/1287:a=7;b=824
ex286,affine,value,reverse_gray_then_reverse,75,8192,0.009155,48794,106496,0.541823,0:13,w1:4/13:a=5;b=0;w2:5/78:a=-1;b=25;w3:8/286:a=-7;b=275;w4:6/715:a=3;b=43;w5:7/1287:a=1;b=676;w6:7/1716:a=1;b=401;w7:7/1716:a=1;b=544;w8:6/1287:a=-1;b=1184
ex286,affine,brgc_index,rev_value,74,8192,0.009033,48616,106496,0.543495,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=1;b=6;w3:7/286:a=1;b=21;w4:6/715:a=-1;b=665;w5:7/1287:a=1;b=111;w6:8/1716:a=1;b=1535;w7:7/1716:a=5;b=1633;w8:6/1287:a=-7;b=813
ex286,shift,gray_then_reverse,reverse_gray_then_reverse,74,8192,0.009033,48814,106496,0.541635,0:13,w1:3/13:shift=12;w2:6/78:shift=68;w3:6/286:shift=0;w4:8/715:shift=0;w5:6/1287:shift=330;w6:6/1716:shift=791;w7:5/1716:shift=132;w8:6/1287:shift=2
ex286,affine,brgc_index,reverse_gray_then_reverse,74,8192,0.009033,48928,106496,0.540565,0:13,w1:4/13:a=5;b=0;w2:5/78:a=-7;b=4;w3:6/286:a=-7;b=177;w4:7/715:a=-1;b=492;w5:8/1287:a=2;b=1092;w6:6/1716:a=-5;b=478;w7:7/1716:a=5;b=62;w8:7/1287:a=1;b=683
ex286,shift,brgc_index,rev_brgc_index,73,8192,0.008911,47828,106496,0.550894,0:13,w1:3/13:shift=1;w2:5/78:shift=0;w3:6/286:shift=0;w4:8/715:shift=0;w5:6/1287:shift=22;w6:7/1716:shift=1658;w7:6/1716:shift=462;w8:7/1287:shift=2
ex286,affine,gray_value,rev_brgc_index,73,8192,0.008911,48184,106496,0.547551,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=0;w3:5/286:a=-5;b=6;w4:8/715:a=1;b=31;w5:6/1287:a=-1;b=999;w6:7/1716:a=-7;b=810;w7:6/1716:a=1;b=6;w8:7/1287:a=-5;b=1239
ex286,affine,rev_gray_value,brgc_index,73,8192,0.008911,48362,106496,0.545880,0:13,w1:4/13:a=-1;b=5;w2:5/78:a=-11;b=40;w3:7/286:a=-1;b=261;w4:6/715:a=-7;b=490;w5:7/1287:a=-2;b=499;w6:7/1716:a=-5;b=1342;w7:6/1716:a=-7;b=208;w8:8/1287:a=-1;b=109
ex286,affine,gray_then_reverse,gray_value,73,8192,0.008911,48574,106496,0.543889,0:13,w1:5/13:a=7;b=7;w2:7/78:a=1;b=67;w3:6/286:a=3;b=134;w4:6/715:a=1;b=705;w5:6/1287:a=2;b=924;w6:6/1716:a=-5;b=111;w7:6/1716:a=1;b=1;w8:7/1287:a=-5;b=432
ex286,affine,gray_value,gray_then_reverse,73,8192,0.008911,48656,106496,0.543119,0:13,w1:4/13:a=-1;b=6;w2:7/78:a=1;b=11;w3:6/286:a=3;b=227;w4:6/715:a=1;b=213;w5:7/1287:a=7;b=1116;w6:6/1716:a=1;b=1222;w7:6/1716:a=-7;b=293;w8:6/1287:a=-7;b=10
ex286,affine,rev_gray_value,rev_brgc_index,73,8192,0.008911,48682,106496,0.542875,0:13,w1:4/13:a=1;b=7;w2:7/78:a=-5;b=18;w3:6/286:a=-7;b=273;w4:6/715:a=7;b=308;w5:7/1287:a=-7;b=472;w6:7/1716:a=1;b=1190;w7:6/1716:a=-1;b=313;w8:7/1287:a=1;b=567
ex286,affine,reverse_gray_then_reverse,brgc_index,73,8192,0.008911,48742,106496,0.542311,0:13,w1:4/13:a=1;b=6;w2:7/78:a=-5;b=3;w3:6/286:a=7;b=214;w4:6/715:a=-1;b=50;w5:7/1287:a=7;b=1246;w6:7/1716:a=7;b=953;w7:6/1716:a=5;b=1300;w8:6/1287:a=-5;b=842
ex286,affine,value,rev_brgc_index,73,8192,0.008911,48884,106496,0.540978,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=1;w3:7/286:a=1;b=16;w4:6/715:a=2;b=411;w5:7/1287:a=1;b=2;w6:7/1716:a=1;b=658;w7:6/1716:a=7;b=1285;w8:6/1287:a=-2;b=1092
ex286,shift,gray_value,rev_gray_value,72,8192,0.008789,48006,106496,0.549223,0:13,w1:3/13:shift=1;w2:5/78:shift=0;w3:6/286:shift=0;w4:8/715:shift=0;w5:7/1287:shift=1;w6:6/1716:shift=1;w7:6/1716:shift=128;w8:9/1287:shift=1
ex286,affine,brgc_index,rev_gray_value,72,8192,0.008789,48142,106496,0.547945,0:13,w1:4/13:a=-1;b=6;w2:5/78:a=1;b=0;w3:5/286:a=1;b=29;w4:6/715:a=-1;b=577;w5:6/1287:a=-7;b=1045;w6:7/1716:a=-1;b=1082;w7:8/1716:a=-7;b=427;w8:6/1287:a=1;b=1083
ex286,affine,rev_brgc_index,reverse_gray_then_reverse,72,8192,0.008789,48288,106496,0.546575,0:13,w1:4/13:a=-5;b=8;w2:5/78:a=-1;b=12;w3:6/286:a=-5;b=282;w4:6/715:a=2;b=676;w5:7/1287:a=1;b=734;w6:7/1716:a=7;b=349;w7:6/1716:a=5;b=320;w8:7/1287:a=-5;b=399
ex286,affine,rev_brgc_index,rev_value,72,8192,0.008789,48500,106496,0.544584,0:13,w1:4/13:a=1;b=7;w2:6/78:a=11;b=7;w3:5/286:a=-1;b=4;w4:7/715:a=-3;b=118;w5:8/1287:a=-7;b=244;w6:6/1716:a=1;b=1583;w7:6/1716:a=-1;b=205;w8:7/1287:a=-5;b=358
ex286,affine,reverse_gray_then_reverse,rev_value,72,8192,0.008789,48828,106496,0.541504,0:13,w1:4/13:a=-1;b=6;w2:6/78:a=1;b=67;w3:6/286:a=1;b=226;w4:7/715:a=-2;b=569;w5:7/1287:a=-2;b=867;w6:6/1716:a=1;b=1003;w7:7/1716:a=1;b=521;w8:6/1287:a=2;b=609
ex286,affine,reverse_gray_then_reverse,value,72,8192,0.008789,48910,106496,0.540734,0:13,w1:4/13:a=1;b=6;w2:5/78:a=-5;b=69;w3:6/286:a=-3;b=50;w4:7/715:a=2;b=467;w5:6/1287:a=-2;b=1211;w6:6/1716:a=-1;b=307;w7:8/1716:a=5;b=275;w8:6/1287:a=-1;b=1018
ex286,shift,rev_brgc_index,brgc_index,72,8192,0.008789,48992,106496,0.539964,0:13,w1:3/13:shift=12;w2:5/78:shift=0;w3:6/286:shift=0;w4:8/715:shift=0;w5:6/1287:shift=15;w6:6/1716:shift=1373;w7:7/1716:shift=221;w8:6/1287:shift=831
ex286,shift,reverse_gray_then_reverse,gray_then_reverse,71,8192,0.008667,48448,106496,0.545072,0:13,w1:3/13:shift=1;w2:5/78:shift=0;w3:6/286:shift=0;w4:8/715:shift=0;w5:7/1287:shift=1;w6:6/1716:shift=2;w7:7/1716:shift=1283;w8:6/1287:shift=1199
ex286,affine,rev_brgc_index,gray_value,71,8192,0.008667,48524,106496,0.544358,0:13,w1:4/13:a=-1;b=5;w2:6/78:a=-1;b=12;w3:6/286:a=1;b=71;w4:6/715:a=-2;b=260;w5:7/1287:a=-7;b=461;w6:7/1716:a=7;b=127;w7:6/1716:a=-5;b=1321;w8:7/1287:a=7;b=703
ex286,shift,rev_value,value,71,8192,0.008667,48544,106496,0.544171,0:13,w1:3/13:shift=12;w2:5/78:shift=0;w3:6/286:shift=0;w4:8/715:shift=0;w5:8/1287:shift=446;w6:6/1716:shift=896;w7:6/1716:shift=466;w8:6/1287:shift=1
ex286,affine,rev_brgc_index,rev_gray_value,71,8192,0.008667,48612,106496,0.543532,0:13,w1:4/13:a=1;b=7;w2:6/78:a=11;b=8;w3:5/286:a=1;b=160;w4:6/715:a=-1;b=651;w5:7/1287:a=-7;b=344;w6:7/1716:a=5;b=1138;w7:6/1716:a=-5;b=1693;w8:6/1287:a=-2;b=357
ex286,affine,rev_brgc_index,gray_then_reverse,71,8192,0.008667,48614,106496,0.543513,0:13,w1:4/13:a=1;b=7;w2:5/78:a=1;b=45;w3:5/286:a=-7;b=2;w4:6/715:a=7;b=605;w5:6/1287:a=-5;b=244;w6:7/1716:a=-7;b=106;w7:7/1716:a=1;b=1505;w8:7/1287:a=-7;b=1192
ex287,affine,rev_brgc_index,rev_brgc_index,121,16384,0.007385,106264,229376,0.536726,0:14,w1:3/14:a=1;b=7;w2:5/91:a=1;b=23;w3:6/364:a=-5;b=233;w4:11/1001:a=1;b=0;w5:13/2002:a=1;b=2001;w6:9/3003:a=1;b=1286;w7:8/3432:a=1;b=0;w8:11/3003:a=1;b=0
ex287,affine,brgc_index,brgc_index,120,16384,0.007324,105834,229376,0.538600,0:14,w1:3/14:a=1;b=6;w2:5/91:a=3;b=1;w3:6/364:a=1;b=0;w4:11/1001:a=1;b=0;w5:12/2002:a=1;b=715;w6:9/3003:a=1;b=3001;w7:8/3432:a=1;b=0;w8:11/3003:a=1;b=0
ex287,affine,gray_then_reverse,gray_then_reverse,120,16384,0.007324,106358,229376,0.536316,0:14,w1:4/14:a=-3;b=11;w2:6/91:a=1;b=45;w3:7/364:a=-1;b=110;w4:11/1001:a=1;b=0;w5:11/2002:a=1;b=2001;w6:8/3003:a=-2;b=2116;w7:8/3432:a=1;b=0;w8:11/3003:a=1;b=0
ex287,shift,rev_brgc_index,rev_brgc_index,119,16384,0.007263,106254,229376,0.536769,0:14,w1:3/14:shift=7;w2:5/91:shift=23;w3:6/364:shift=0;w4:11/1001:shift=0;w5:13/2002:shift=2001;w6:9/3003:shift=1286;w7:8/3432:shift=0;w8:11/3003:shift=0
