case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_prefix4_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.266,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.279,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.332,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d6,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d6.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.328,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d6
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d8,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d8.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.330,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d8
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d10,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.333,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d10
ex276,ex276_isqrt_prefix5_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_bitwise+abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_abc_g_aig.aig,1,1,1,129,10,1290,632,2.041139,0,0,0.262,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=abc_g_aig
ex276,ex276_isqrt_prefix5_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_ge_bitwise+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,129,10,1290,632,2.041139,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix5_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_ge_bitwise+arith_wreduce_aig,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/verilog/ex276_isqrt_prefix5_ge_bitwise.v,student/work/ex276_frontend_isqrt_prefix4_refine_low_20260609_1656/ex276/aigs/ex276_isqrt_prefix5_ge_bitwise_arith_wreduce_aig.aig,1,1,1,138,10,1380,632,2.183544,0,0,0.285,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix5_ge_bitwise; flow=arith_wreduce_aig
