case,output_bit,primitive_count,exact_kind,exact_expr,best_expr,best_matches,total_rows,best_match_ratio,notes
ex286,0,626,,,(c1_s2<=0)^(c4_s6<=0),5665,8192,0.691528,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex287,11,666,,,!((c1_s4<=0)^(c3_s6<=0)),12288,16384,0.750000,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,12,666,,,(c1_s4<=0)^(c3_s6<=0),12591,16384,0.768494,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,13,666,,,!((c1_s4<=0)^(c3_s6<=0)),12547,16384,0.765808,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex288,0,840,,,(c2_s4<=0)^(c8_s14<=0),23485,32768,0.716705,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,1,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,2,840,,,(c2_s4<=0)^(c8_s14<=0),23485,32768,0.716705,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,3,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,4,840,,,(c2_s4<=0)^(c8_s14<=0),23629,32768,0.721100,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,5,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,6,840,,,(c2_s4<=0)^(c8_s14<=0),23597,32768,0.720123,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,7,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,8,840,,,(c2_s4<=0)^(c8_s14<=0),23619,32768,0.720795,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,9,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,10,840,,,(c2_s4<=0)^(c8_s14<=0),23619,32768,0.720795,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,11,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,12,840,,,(c2_s4<=0)^(c8_s14<=0),23475,32768,0.716400,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,13,840,,,!((c2_s4<=0)^(c8_s14<=0)),24576,32768,0.750000,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,14,840,,,(c2_s4<=0)^(c8_s14<=0),23507,32768,0.717377,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
