case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_radix4_top1_shift_abc_g_aig,1,95,29,2755,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex266/aigs/ex266_udiv_radix4_top1_shift_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top1_shift_synth_preset,1,139,42,5838,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top1_shift_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top2_shift_abc_g_aig,1,179,36,6444,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top2_shift_wreduce_abc_g_aig,1,180,36,6480,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top2_shift_synth_preset,1,185,35,6475,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top2_shift_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top2_shift; flow=synth_preset
ex267,ex267_udiv_radix4_top3_shift_abc_g_aig,1,199,28,5572,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=abc_g_aig
ex267,ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig,1,196,25,4900,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex267,ex267_udiv_radix4_top3_shift_synth_preset,1,198,27,5346,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex267/aigs/ex267_udiv_radix4_top3_shift_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=radix4_top3_shift; flow=synth_preset
ex269,ex269_udiv_radix4_top1_shift_abc_g_aig,1,275,77,21175,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=abc_g_aig
ex269,ex269_udiv_radix4_top1_shift_wreduce_abc_g_aig,1,274,77,21098,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top1_shift_synth_preset,1,270,79,21330,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top1_shift_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top1_shift; flow=synth_preset
ex269,ex269_udiv_radix4_top2_shift_abc_g_aig,1,310,68,21080,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top2_shift_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top2_shift; flow=abc_g_aig
ex269,ex269_udiv_radix4_top2_shift_wreduce_abc_g_aig,1,325,68,22100,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top2_shift_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top2_shift; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top2_shift_synth_preset,1,316,69,21804,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top2_shift_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top2_shift; flow=synth_preset
ex269,ex269_udiv_radix4_top3_shift_abc_g_aig,1,373,58,21634,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top3_shift_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_shift; flow=abc_g_aig
ex269,ex269_udiv_radix4_top3_shift_wreduce_abc_g_aig,1,373,56,20888,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top3_shift_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_shift; flow=wreduce_abc_g_aig
ex269,ex269_udiv_radix4_top3_shift_synth_preset,1,377,59,22243,student/work/ex266_ex267_ex269_frontend_udiv_mixed_radix_20260609_1140/ex269/aigs/ex269_udiv_radix4_top3_shift_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=radix4_top3_shift; flow=synth_preset
