case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary,shard_csv,domain,simulation_pass
ex244,ex244_r71_bounded_delta_mux,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex244,ex244_r71_lexcmp_maxmin,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex246,ex246_r71_packmag_helper,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex246,ex246_r71_pprod_local,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex247,ex247_r71_region_mux_assign,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex247,ex247_r71_delta8_compare,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex249,ex249_r71_bounded_delta_mux,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex249,ex249_r71_expdiff_gap_pred,iverilog,not_run,0,,sub-fp8-worst-local-r71,debug-only simulator not needed; official evaluate.py used,,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-fp8-worst-local-r71/simulation_results.csv,float_fp8,not_run
ex285,ex285_r71_onehot_boundary_bypass_abc_g_aig,not_run,not_run,,,sub-unknown-local-r71,simulation skipped; wrapper exactness was truth-screened and official evaluate.py is authority,ex285|hamming-weight_routing_source_local_replacement|onehot_and_all-zero/all-one_boundary_bypass_wrapper|current_decision_tree_base_with_tiny_exact_onehot_output_map|yosys_internal_abc_g_aig|official_evaluate|bounded_local_wrapper,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-unknown-local-r71/simulation_results.csv,,
ex288,ex288_r71_onehot_boundary_bypass_abc_g_aig,not_run,not_run,,,sub-unknown-local-r71,simulation skipped; wrapper exactness was truth-screened and official evaluate.py is authority,ex288|hamming-weight_routing_source_local_replacement|onehot_and_all-zero/all-one_boundary_bypass_wrapper|current_key-BDD-selected_symcof_base_with_tiny_exact_onehot_output_map|yosys_internal_abc_g_aig|official_evaluate|bounded_local_wrapper,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-unknown-local-r71/simulation_results.csv,,
ex297,ex297_r71_sel0_identity_bypass_abc_g_aig,not_run,not_run,,,sub-unknown-local-r71,simulation skipped; wrapper exactness was truth-screened and official evaluate.py is authority,ex297|cyclic_2-bit_source_local_selector_replacement|sel==0_exact_cell-identity_bypass_wrapper|r66_cell-cube_source_plus_one_shared_selector-zero_predicate|yosys_internal_abc_g_aig|official_evaluate|bounded_local_wrapper,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-unknown-local-r71/simulation_results.csv,,
ex299,ex299_r71_sel0_identity_bypass_abc_g_aig,not_run,not_run,,,sub-unknown-local-r71,simulation skipped; wrapper exactness was truth-screened and official evaluate.py is authority,ex299|cyclic_2-bit_source_local_selector_replacement|sel==0_exact_cell-identity_bypass_wrapper|r66_cell-cube_source_plus_one_shared_selector-zero_predicate|yosys_internal_abc_g_aig|official_evaluate|bounded_local_wrapper,,,,,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1312/agent_shards/sub-unknown-local-r71/simulation_results.csv,,
