case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel4_abc_g_aig.aig,1,1,1,3079,79,243241,15078,16.132179,0,0,10.052,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel4; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_colcsel6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel6+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_colcsel6_synth_preset.aig,1,1,1,2115,83,175545,15078,11.642459,0,0,3.451,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_colcsel6; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_colcsel6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel6+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel6_abc_g_aig.aig,1,1,1,3379,98,331142,15078,21.961931,0,0,10.090,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel6; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_colcsel6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel6+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_colcsel6_synth_preset.aig,1,1,1,2167,79,171193,15078,11.353827,0,0,3.327,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_colcsel6; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel4_abc_g_aig.aig,1,1,1,4557,87,396459,21630,18.329126,0,0,16.602,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel4_synth_preset.aig,1,1,1,2922,78,227916,21630,10.537032,0,0,7.884,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_colcsel4_abc_g_aig.aig,1,1,1,4569,86,392934,21630,18.166158,0,0,17.350,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_colcsel4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_colcsel4_synth_preset.aig,1,1,1,2937,75,220275,21630,10.183773,0,0,7.944,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_colcsel4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_colcsel4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel4+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel4_abc_g_aig.aig,1,1,1,4610,84,387240,21630,17.902913,0,0,16.066,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_colcsel4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel4+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel4.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel4_synth_preset.aig,1,1,1,2933,73,214109,21630,9.898706,0,0,7.608,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_colcsel5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel5+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel5_abc_g_aig.aig,1,1,1,5265,99,521235,21630,24.097781,0,0,17.419,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel5; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_colcsel5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel5+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel5_synth_preset.aig,1,1,1,3278,80,262240,21630,12.123902,0,0,8.203,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel5; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_colcsel5_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel5+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel5_abc_g_aig.aig,1,1,1,5295,98,518910,21630,23.990291,0,0,16.919,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel5; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_colcsel5_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel5+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel5.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel5_synth_preset.aig,1,1,1,3260,78,254280,21630,11.755895,0,0,8.730,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel5; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_colcsel6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_colcsel6+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel6_abc_g_aig.aig,1,1,1,5387,114,614118,21630,28.391956,0,0,19.994,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel6; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_colcsel6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_colcsel6+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_colcsel6_synth_preset.aig,1,1,1,3196,91,290836,21630,13.445955,0,0,8.182,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_colcsel6; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_colcsel6_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_colcsel6+abc_g_aig,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel6_abc_g_aig.aig,1,1,1,5292,114,603288,21630,27.891262,0,0,19.333,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel6; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_colcsel6_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_colcsel6+synth_preset,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_colcsel6.v,student/work/ex273_ex274_frontend_square_colcsel_bddtop_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_colcsel6_synth_preset.aig,1,1,1,3181,89,283109,21630,13.088719,0,0,8.105,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_colcsel6; flow=synth_preset
