case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d9.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.299,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d11.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_pfx4+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx4_synth_preset_d15.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.274,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d11.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig_d15.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.226,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d9.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.252,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d11.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.239,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d15.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.235,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_csel3+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d9.aig,1,1,1,90,16,1440,657,2.191781,0,0,0.234,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_csel3+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d11.aig,1,1,1,90,16,1440,657,2.191781,0,0,0.234,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_csel3+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d13.aig,1,1,1,90,16,1440,657,2.191781,0,0,0.268,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_csel3+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig_d15.aig,1,1,1,90,16,1440,657,2.191781,0,0,0.237,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_csel3+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_csel3+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d11.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_csel3+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d15.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.323,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_rows_hcla4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d9.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_rows_hcla4+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d11.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_rows_hcla4+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d13.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.212,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_rows_hcla4+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_abc_g_aig_d15.aig,1,1,1,95,14,1330,657,2.024353,0,0,0.213,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_rows_hcla4+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d9.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.275,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_rows_hcla4+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d11.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.283,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_rows_hcla4+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/verilog/ex260_smul_baugh_wooley_rows_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex260/aigs/ex260_smul_baugh_wooley_rows_hcla4_synth_preset_d15.aig,1,1,1,94,14,1316,657,2.003044,0,0,0.279,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_rows_hcla4; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d9.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.247,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d9
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d11.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.245,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d11
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d13.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig_d15.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.247,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig_d15
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d9.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.319,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d9
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d11,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d11,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d11.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.318,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d11
ex261,ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d15,signed low5_high5:a*b,baugh_wooley_wallace_hcla4+synth_preset_d15,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_hcla4_synth_preset_d15.aig,1,1,1,164,18,2952,2041,1.446350,1,0,0.326,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d15
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_delay_target_20260609_0555/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig_d9.aig,1,1,1,161,19,3059,2041,1.498775,1,0,0.244,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig_d9
