case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig,unsigned low6_high6:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/verilog/ex267_udiv_threshold_desc_guarded.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,1,1853,76,140828,2651,53.122595,0,0,2.305,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex268,ex268_udiv_denom_split_threshold_direct_synth_preset,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_synth_preset.aig,1,1,1,703,39,27417,7446,3.682111,0,0,0.745,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex268,ex268_udiv_denom_split_threshold_direct_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,denom_split_threshold_direct+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,1,1,1,931,43,40033,7446,5.376444,0,0,0.908,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_threshold_restoring_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_abc_g_aig.aig,1,1,1,940,42,39480,7446,5.302176,0,0,0.872,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex268,ex268_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,unsigned low7_high7:a/b dbz=max,denom_split_threshold_restoring+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,1,1,1,733,44,32252,7446,4.331453,0,0,0.640,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_threshold_restoring_synth_preset,unsigned low7_high7:a/b dbz=max,denom_split_threshold_restoring+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_synth_preset.aig,1,1,1,704,42,29568,7446,3.970991,0,0,0.700,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
ex268,ex268_udiv_denom_split_threshold_restoring_abc_g_aig_d18,unsigned low7_high7:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/verilog/ex268_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,1,1,1,940,42,39480,7446,5.302176,0,0,0.867,semantic_udiv_exact,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
ex269,ex269_udiv_denom_split_threshold_direct_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_split_threshold_direct+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_abc_g_aig.aig,1,1,1,1124,61,68564,11760,5.830272,0,0,1.133,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex269,ex269_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_split_threshold_direct+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,1,1,1,935,60,56100,11760,4.770408,0,0,0.791,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_split_threshold_direct_synth_preset,unsigned low8_high8:a/b dbz=max,denom_split_threshold_direct+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_synth_preset.aig,1,1,1,902,61,55022,11760,4.678741,0,0,0.929,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex269,ex269_udiv_denom_split_threshold_direct_abc_g_aig_d18,unsigned low8_high8:a/b dbz=max,denom_split_threshold_direct+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_direct.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,1,1,1,1124,61,68564,11760,5.830272,0,0,1.140,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex269,ex269_udiv_denom_split_threshold_restoring_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_abc_g_aig.aig,1,1,1,1093,63,68859,11760,5.855357,0,0,1.039,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex269,ex269_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,unsigned low8_high8:a/b dbz=max,denom_split_threshold_restoring+wreduce_abc_g_aig,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,1,1,1,915,63,57645,11760,4.901786,0,0,0.744,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_split_threshold_restoring_synth_preset,unsigned low8_high8:a/b dbz=max,denom_split_threshold_restoring+synth_preset,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_synth_preset.aig,1,1,1,908,65,59020,11760,5.018707,0,0,0.863,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
ex269,ex269_udiv_denom_split_threshold_restoring_abc_g_aig_d18,unsigned low8_high8:a/b dbz=max,denom_split_threshold_restoring+abc_g_aig_d18,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/verilog/ex269_udiv_denom_split_threshold_restoring.v,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,1,1,1,1093,63,68859,11760,5.855357,0,0,1.040,semantic_udiv_exact,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
