case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_threshold_desc_guarded_abc_g_aig,1,1853,76,140828,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex267,ex267_udiv_denom_split_threshold_restoring_abc_g_aig_d18,1,360,34,12240,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex267/aigs/ex267_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_threshold_direct_abc_g_aig,1,931,43,40033,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex268,ex268_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,1,732,39,28548,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_threshold_direct_synth_preset,1,703,39,27417,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex268,ex268_udiv_denom_split_threshold_direct_abc_g_aig_d18,1,931,43,40033,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex268,ex268_udiv_denom_split_threshold_restoring_abc_g_aig,1,940,42,39480,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex268,ex268_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,1,733,44,32252,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex268,ex268_udiv_denom_split_threshold_restoring_synth_preset,1,704,42,29568,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
ex268,ex268_udiv_denom_split_threshold_restoring_abc_g_aig_d18,1,940,42,39480,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex268/aigs/ex268_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
ex269,ex269_udiv_denom_split_threshold_direct_abc_g_aig,1,1124,61,68564,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig
ex269,ex269_udiv_denom_split_threshold_direct_wreduce_abc_g_aig,1,935,60,56100,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_split_threshold_direct_synth_preset,1,902,61,55022,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=synth_preset
ex269,ex269_udiv_denom_split_threshold_direct_abc_g_aig_d18,1,1124,61,68564,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_direct_abc_g_aig_d18.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_direct; flow=abc_g_aig_d18
ex269,ex269_udiv_denom_split_threshold_restoring_abc_g_aig,1,1093,63,68859,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig
ex269,ex269_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig,1,915,63,57645,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=wreduce_abc_g_aig
ex269,ex269_udiv_denom_split_threshold_restoring_synth_preset,1,908,65,59020,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=synth_preset
ex269,ex269_udiv_denom_split_threshold_restoring_abc_g_aig_d18,1,1093,63,68859,student/work/ex267_ex269_frontend_udiv_threshold_fix_20260609_0835/ex269/aigs/ex269_udiv_denom_split_threshold_restoring_abc_g_aig_d18.aig,unsigned low8_high8:a/b dbz=max exact; source=denom_split_threshold_restoring; flow=abc_g_aig_d18
