case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids,candidate_count_target,candidate_count_actual,candidate_insufficient,candidate_shortfall_reason
ex290,6,ex290_rotate_high_split_default_abc_g_aig,4428,14,61992,42328,1.464562,ex290_rotate_high_split_default_abc_g_aig;ex290_rotate_high_split_default_abc_g_gates;ex290_rotate_high_split_default_synth_preset;ex290_rotate_high_split_default_abc_g_cmos2;ex290_rotate_high_split_default_abc_d20;ex290_r6_rotate_split_current_recut,6,6,0,
ex291,6,ex291_rotate_high_split_default_synth_preset,6503,15,97545,66850,1.459162,ex291_rotate_high_split_default_synth_preset;ex291_rotate_high_split_default_abc_g_aig;ex291_rotate_high_split_default_abc_g_gates;ex291_rotate_high_split_default_abc_d20;ex291_r6_rotate_split_current_recut;ex291_rotate_high_split_default_abc_g_cmos2,6,6,0,
ex292,8,ex292_r4_adjacent_mod7_mask_mix,6760,20,135200,84854,1.593325,ex292_r4_adjacent_mod7_mask_mix;ex292_r8_mod7_4_plus_adj_8;ex292_r8_mod7_4_plus_mod7_9;ex292_r7_sweep_add_mod7_4;ex292_r25_bdd_mod4_output_planes_abc_g_aig;ex292_r4_mod4_planes_d19;ex292_r9_mod7_4_drop13_synth_preset;ex292_r8_mod7_4_drop_adj_10,8,8,0,
ex293,6,ex293_rotate_low_split_default_abc_g_aig,8122,18,146196,112966,1.294159,ex293_rotate_low_split_default_abc_g_aig;ex293_rotate_low_split_default_abc_g_gates;ex293_rotate_low_split_default_abc_d20;ex293_rotate_low_split_default_abc_g_cmos2;ex293_unknown_15x15_rotate_high_split_default;ex293_rotate_low_split_default_abc_g_simple,6,6,0,
ex294,8,ex294_r9_current_inline_synth_preset,10565,21,221865,133365,1.663592,ex294_r9_current_inline_synth_preset;ex294_r81_octant_plane_descriptor_cofactor;ex294_r4_octant_d21;ex294_ugr_quadrant_descriptor_midplanes;ex294_r9_route_no_keep_synth_preset;ex294_r8_current_direct_abc_and;ex294_r9_alt_odd_planes_synth_preset;ex294_r80_mod4_shared_mirror_cofactor,8,8,0,
ex295,6,ex295_r67_cell_value_cube_defaults_abc_g_aig,7526,14,105364,68064,1.548014,ex295_r67_cell_value_cube_defaults_abc_g_aig;ex295_r21_cell_grouped_symbol_plane_abc_g_aig;ex295_r10_symbol_plane_split_abc_g_aig;ex295_r11_bitplane_symbol_split_abc_g_aig_d14;ex295_r24_cell_grouped_symbol_plane_majority_default_synth_preset;ex295_low_split_default_abc_g_aig,6,6,0,
ex296,6,ex296_high_split_default_abc_g_gates,8984,17,152728,104025,1.468186,ex296_high_split_default_abc_g_gates;ex296_high_split_default_abc_d20;ex296_high_split_default_abc_g_cmos2;ex296_high_split_default_synth_preset;ex296_deep_high_rotate_source_bitmix;ex296_high_split_default_abc_g_and_mux,6,6,0,
ex297,8,ex297_r73_pairsel_cell_bit_template,26564,16,425024,225900,1.881470,ex297_r73_pairsel_cell_bit_template;ex297_ugr_sel2_midcell_overlay;ex297_r75_pairsel_r71_selector_plane;ex297_r73_sel2_cluster_bdd;ex297_r85_pairsel_pairxor_hiadj_10_11;ex297_r74_pairxor_celllocal_mix;ex297_r7_pairmix_delta_mask_fixed_concat;ex297_r74_pairsel_sel2_cluster_po_mix,8,8,0,
ex298,6,ex298_rotate_high_split_default_synth_preset,33981,19,645639,442296,1.459744,ex298_rotate_high_split_default_synth_preset;ex298_rotate_high_split_default_abc_g_aig;ex298_rotate_high_split_default_abc_g_gates;ex298_rotate_high_split_default_abc_d20;ex298_r6_rotate_split_current_recut;ex298_rotate_high_split_default_abc_g_cmos2,6,6,0,
ex299,8,ex299_r9_casez_full_parallel_synth_preset,96509,18,1737162,1013807,1.713504,ex299_r9_casez_full_parallel_synth_preset;ex299_r2_wordsplice_quad_6_9;ex299_r78_static_celllocal_pair89;ex299_r75_sel2_pairsel_cluster_static;ex299_r2_masked_delta_quad_6_9;ex299_r79_static_celllocal_bits7_9;ex299_r2_direct_cellsrc_quad_6_9;ex299_r75_sel2_celllocal_cluster_static,8,8,0,
