case,input_width,order_name,order_bits,prefix_len,suffix_width,prefixes,residual_classes,max_class_size,top_class_sizes
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,7,6,128,96,2,2:2:2:2:2:2:2:2
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,8,5,256,192,2,2:2:2:2:2:2:2:2
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,9,4,512,256,4,4:4:4:4:4:4:4:4
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,10,3,1024,512,4,4:4:4:4:4:4:4:4
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,11,2,2048,1024,4,4:4:4:4:4:4:4:4
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,12,1,4096,2029,8,8:8:6:6:6:6:6:6
ex286,13,reverse,12:11:10:9:8:7:6:5:4:3:2:1:0,13,0,8192,2233,32,32:32:28:24:24:20:20:20
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,1,12,2,2,1,1:1
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,2,11,4,4,1,1:1:1:1
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,3,10,8,6,2,2:2:1:1:1:1
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,4,9,16,8,4,4:2:2:2:2:2:1:1
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,5,8,32,16,4,4:4:2:2:2:2:2:2
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,6,7,64,32,4,4:4:4:4:2:2:2:2
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,7,6,128,64,4,4:4:4:4:4:4:4:4
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,8,5,256,128,4,4:4:4:4:4:4:4:4
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,9,4,512,256,4,4:4:4:4:4:4:4:4
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,10,3,1024,512,4,4:4:4:4:4:4:4:4
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,11,2,2048,1024,4,4:4:4:4:4:4:4:4
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,12,1,4096,1674,12,12:12:8:8:8:8:8:8
ex286,13,center,6:5:7:4:8:3:9:2:10:1:11:0:12,13,0,8192,2233,32,32:32:28:24:24:20:20:20
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,1,12,2,2,1,1:1
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,2,11,4,3,2,2:1:1
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,3,10,8,6,2,2:2:1:1:1:1
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,4,9,16,8,4,4:2:2:2:2:2:1:1
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,5,8,32,16,4,4:4:2:2:2:2:2:2
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,6,7,64,32,4,4:4:4:4:2:2:2:2
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,7,6,128,64,4,4:4:4:4:4:4:4:4
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,8,5,256,128,4,4:4:4:4:4:4:4:4
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,9,4,512,256,4,4:4:4:4:4:4:4:4
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,10,3,1024,512,4,4:4:4:4:4:4:4:4
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,11,2,2048,1024,4,4:4:4:4:4:4:4:4
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,12,1,4096,1674,12,12:12:8:8:8:8:8:8
ex286,13,sym_orand,4:5:6:7:0:1:2:3:8:9:10:11:12,13,0,8192,2233,32,32:32:28:24:24:20:20:20
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,1,12,2,2,1,1:1
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,2,11,4,4,1,1:1:1:1
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,3,10,8,8,1,1:1:1:1:1:1:1:1
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,4,9,16,16,1,1:1:1:1:1:1:1:1
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,5,8,32,24,2,2:2:2:2:2:2:2:2
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,6,7,64,32,4,4:4:4:4:2:2:2:2
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,7,6,128,64,4,4:4:4:4:4:4:4:4
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,8,5,256,128,4,4:4:4:4:4:4:4:4
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,9,4,512,256,4,4:4:4:4:4:4:4:4
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,10,3,1024,512,4,4:4:4:4:4:4:4:4
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,11,2,2048,1024,4,4:4:4:4:4:4:4:4
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,12,1,4096,1674,12,12:12:8:8:8:8:8:8
ex286,13,sym_interleave,0:1:4:6:5:7:2:3:8:9:10:11:12,13,0,8192,2233,32,32:32:28:24:24:20:20:20
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,2,12,4,4,1,1:1:1:1
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,3,11,8,8,1,1:1:1:1:1:1:1:1
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,4,10,16,16,1,1:1:1:1:1:1:1:1
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,5,9,32,32,1,1:1:1:1:1:1:1:1
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,6,8,64,48,2,2:2:2:2:2:2:2:2
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,7,7,128,96,2,2:2:2:2:2:2:2:2
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,8,6,256,128,4,4:4:4:4:4:4:4:4
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,9,5,512,256,4,4:4:4:4:4:4:4:4
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,10,4,1024,384,8,8:8:8:8:8:8:8:8
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,11,3,2048,768,8,8:8:8:8:8:8:8:8
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,12,2,4096,1149,16,16:16:16:16:16:16:16:16
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,13,1,8192,2257,16,16:16:16:16:16:16:16:16
ex287,14,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13,14,0,16384,2609,64,64:64:64:64:64:64:48:48
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,2,12,4,4,1,1:1:1:1
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,3,11,8,8,1,1:1:1:1:1:1:1:1
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,4,10,16,16,1,1:1:1:1:1:1:1:1
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,5,9,32,32,1,1:1:1:1:1:1:1:1
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,6,8,64,48,2,2:2:2:2:2:2:2:2
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,7,7,128,96,2,2:2:2:2:2:2:2:2
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,8,6,256,144,4,4:4:4:4:4:4:4:4
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,9,5,512,288,4,4:4:4:4:4:4:4:4
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,10,4,1024,384,8,8:8:8:8:8:8:8:8
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,11,3,2048,768,8,8:8:8:8:8:8:8:8
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,12,2,4096,1344,16,16:16:16:16:16:16:16:16
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,13,1,8192,2628,16,16:16:16:16:16:16:16:16
ex287,14,reverse,13:12:11:10:9:8:7:6:5:4:3:2:1:0,14,0,16384,2609,64,64:64:64:64:64:64:48:48
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,2,12,4,3,2,2:1:1
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,3,11,8,6,2,2:2:1:1:1:1
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,4,10,16,12,2,2:2:2:2:1:1:1:1
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,5,9,32,16,4,4:4:2:2:2:2:2:2
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,6,8,64,24,8,8:4:4:4:4:4:4:4
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,7,7,128,48,8,8:8:4:4:4:4:4:4
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,8,6,256,96,8,8:8:8:8:4:4:4:4
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,9,5,512,192,8,8:8:8:8:8:8:8:8
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,10,4,1024,384,8,8:8:8:8:8:8:8:8
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,11,3,2048,768,8,8:8:8:8:8:8:8:8
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,12,2,4096,1534,8,8:8:8:8:8:8:8:8
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,13,1,8192,2257,16,16:16:16:16:16:16:16:16
ex287,14,center,6:7:5:8:4:9:3:10:2:11:1:12:0:13,14,0,16384,2609,64,64:64:64:64:64:64:48:48
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,2,12,4,3,2,2:1:1
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,3,11,8,6,2,2:2:1:1:1:1
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,4,10,16,8,4,4:2:2:2:2:2:1:1
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,5,9,32,16,4,4:4:2:2:2:2:2:2
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,6,8,64,24,8,8:4:4:4:4:4:4:4
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,7,7,128,48,8,8:8:4:4:4:4:4:4
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,8,6,256,96,8,8:8:8:8:4:4:4:4
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,9,5,512,192,8,8:8:8:8:8:8:8:8
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,10,4,1024,384,8,8:8:8:8:8:8:8:8
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,11,3,2048,768,8,8:8:8:8:8:8:8:8
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,12,2,4096,1149,16,16:16:16:16:16:16:16:16
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,13,1,8192,2257,16,16:16:16:16:16:16:16:16
ex287,14,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13,14,0,16384,2609,64,64:64:64:64:64:64:48:48
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,2,12,4,4,1,1:1:1:1
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,3,11,8,8,1,1:1:1:1:1:1:1:1
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,4,10,16,16,1,1:1:1:1:1:1:1:1
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,5,9,32,32,1,1:1:1:1:1:1:1:1
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,6,8,64,48,2,2:2:2:2:2:2:2:2
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,7,7,128,64,4,4:4:4:4:4:4:4:4
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,8,6,256,96,8,8:8:8:8:4:4:4:4
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,9,5,512,192,8,8:8:8:8:8:8:8:8
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,10,4,1024,384,8,8:8:8:8:8:8:8:8
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,11,3,2048,768,8,8:8:8:8:8:8:8:8
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,12,2,4096,1149,16,16:16:16:16:16:16:16:16
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,13,1,8192,2257,16,16:16:16:16:16:16:16:16
ex287,14,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13,14,0,16384,2609,64,64:64:64:64:64:64:48:48
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,3,12,8,8,1,1:1:1:1:1:1:1:1
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,4,11,16,16,1,1:1:1:1:1:1:1:1
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,5,10,32,32,1,1:1:1:1:1:1:1:1
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,6,9,64,48,2,2:2:2:2:2:2:2:2
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,7,8,128,96,2,2:2:2:2:2:2:2:2
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,8,7,256,128,4,4:4:4:4:4:4:4:4
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,9,6,512,256,4,4:4:4:4:4:4:4:4
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,10,5,1024,384,8,8:8:8:8:8:8:8:8
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,11,4,2048,768,8,8:8:8:8:8:8:8:8
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,12,3,4096,1536,8,8:8:8:8:8:8:8:8
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,13,2,8192,3072,8,8:8:8:8:8:8:8:8
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,14,1,16384,5697,16,16:16:16:14:14:12:12:12
ex288,15,natural,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,15,0,32768,6734,64,64:64:52:44:44:44:44:44
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,3,12,8,8,1,1:1:1:1:1:1:1:1
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,4,11,16,16,1,1:1:1:1:1:1:1:1
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,5,10,32,32,1,1:1:1:1:1:1:1:1
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,6,9,64,64,1,1:1:1:1:1:1:1:1
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,7,8,128,96,2,2:2:2:2:2:2:2:2
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,8,7,256,192,2,2:2:2:2:2:2:2:2
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,9,6,512,288,4,4:4:4:4:4:4:4:4
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,10,5,1024,576,4,4:4:4:4:4:4:4:4
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,11,4,2048,768,8,8:8:8:8:8:8:8:8
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,12,3,4096,1536,8,8:8:8:8:8:8:8:8
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,13,2,8192,3072,8,8:8:8:8:8:8:8:8
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,14,1,16384,6115,12,12:8:8:8:8:8:8:8
ex288,15,reverse,14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,15,0,32768,6734,64,64:64:52:44:44:44:44:44
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,3,12,8,6,2,2:2:1:1:1:1
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,4,11,16,12,2,2:2:2:2:1:1:1:1
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,5,10,32,18,4,4:4:2:2:2:2:2:2
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,6,9,64,24,8,8:4:4:4:4:4:4:4
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,7,8,128,48,8,8:8:4:4:4:4:4:4
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,8,7,256,96,8,8:8:8:8:4:4:4:4
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,9,6,512,192,8,8:8:8:8:8:8:8:8
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,10,5,1024,384,8,8:8:8:8:8:8:8:8
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,11,4,2048,768,8,8:8:8:8:8:8:8:8
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,12,3,4096,1536,8,8:8:8:8:8:8:8:8
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,13,2,8192,3072,8,8:8:8:8:8:8:8:8
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,14,1,16384,5697,16,16:16:16:14:14:12:12:12
ex288,15,center,7:6:8:5:9:4:10:3:11:2:12:1:13:0:14,15,0,32768,6734,64,64:64:52:44:44:44:44:44
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,3,12,8,6,2,2:2:1:1:1:1
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,4,11,16,8,4,4:2:2:2:2:2:1:1
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,5,10,32,16,4,4:4:2:2:2:2:2:2
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,6,9,64,24,8,8:4:4:4:4:4:4:4
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,7,8,128,48,8,8:8:4:4:4:4:4:4
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,8,7,256,96,8,8:8:8:8:4:4:4:4
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,9,6,512,192,8,8:8:8:8:8:8:8:8
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,10,5,1024,384,8,8:8:8:8:8:8:8:8
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,11,4,2048,768,8,8:8:8:8:8:8:8:8
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,12,3,4096,1536,8,8:8:8:8:8:8:8:8
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,13,2,8192,3072,8,8:8:8:8:8:8:8:8
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,14,1,16384,5697,16,16:16:16:14:14:12:12:12
ex288,15,sym_orand,4:5:6:7:8:9:0:1:2:3:10:11:12:13:14,15,0,32768,6734,64,64:64:52:44:44:44:44:44
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,3,12,8,8,1,1:1:1:1:1:1:1:1
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,4,11,16,16,1,1:1:1:1:1:1:1:1
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,5,10,32,32,1,1:1:1:1:1:1:1:1
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,6,9,64,48,2,2:2:2:2:2:2:2:2
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,7,8,128,64,4,4:4:4:4:4:4:4:4
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,8,7,256,96,8,8:8:8:8:4:4:4:4
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,9,6,512,192,8,8:8:8:8:8:8:8:8
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,10,5,1024,384,8,8:8:8:8:8:8:8:8
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,11,4,2048,768,8,8:8:8:8:8:8:8:8
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,12,3,4096,1536,8,8:8:8:8:8:8:8:8
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,13,2,8192,3072,8,8:8:8:8:8:8:8:8
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,14,1,16384,5697,16,16:16:16:14:14:12:12:12
ex288,15,sym_interleave,0:1:4:6:8:5:7:9:2:3:10:11:12:13:14,15,0,32768,6734,64,64:64:52:44:44:44:44:44
