case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_msb_split_wallace_csel6_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_csel6_abc_g_aig.aig,1,1,1,719,52,37388,15078,2.479639,0,0,0.814,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_csel6; flow=abc_g_aig
ex273,ex273_square_msb_split_wallace_hcla4_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_hcla4+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/verilog/ex273_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex273/aigs/ex273_square_msb_split_wallace_hcla4_synth_preset_d20.aig,1,1,1,709,49,34741,15078,2.304085,0,0,1.071,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=msb_split_wallace_hcla4; flow=synth_preset_d20
ex274,ex274_square_msb_split_wallace_csel6_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel6_abc_g_aig.aig,1,1,1,979,60,58740,21630,2.715673,0,0,3.666,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel6; flow=abc_g_aig
ex274,ex274_square_msb_split_wallace_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel6_wreduce_abc_g_aig.aig,1,1,1,982,60,58920,21630,2.723994,0,0,3.760,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_msb_split_wallace_csel6_synth_preset,unsigned_square_x_times_x,msb_split_wallace_csel6+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel6_synth_preset.aig,1,1,1,980,59,57820,21630,2.673139,0,0,4.203,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel6; flow=synth_preset
ex274,ex274_square_msb_split_wallace_csel6_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel6.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel6_synth_preset_d20.aig,1,1,1,980,59,57820,21630,2.673139,0,0,3.990,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel6; flow=synth_preset_d20
ex274,ex274_square_msb_split_wallace_csel8_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel8_abc_g_aig.aig,1,1,1,962,59,56758,21630,2.624041,0,0,3.566,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel8; flow=abc_g_aig
ex274,ex274_square_msb_split_wallace_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel8_wreduce_abc_g_aig.aig,1,1,1,967,61,58987,21630,2.727092,0,0,3.635,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel8; flow=wreduce_abc_g_aig
ex274,ex274_square_msb_split_wallace_csel8_synth_preset,unsigned_square_x_times_x,msb_split_wallace_csel8+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel8_synth_preset.aig,1,1,1,967,60,58020,21630,2.682386,0,0,3.781,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel8; flow=synth_preset
ex274,ex274_square_msb_split_wallace_csel8_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_csel8.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_csel8_synth_preset_d20.aig,1,1,1,967,60,58020,21630,2.682386,0,0,3.744,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_csel8; flow=synth_preset_d20
ex274,ex274_square_msb_split_wallace_hcla4_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_hcla4+abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_hcla4_abc_g_aig.aig,1,1,1,976,58,56608,21630,2.617106,0,0,3.575,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_hcla4; flow=abc_g_aig
ex274,ex274_square_msb_split_wallace_hcla4_wreduce_abc_g_aig,unsigned_square_x_times_x,msb_split_wallace_hcla4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,968,58,56144,21630,2.595654,0,0,3.725,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_hcla4; flow=wreduce_abc_g_aig
ex274,ex274_square_msb_split_wallace_hcla4_synth_preset,unsigned_square_x_times_x,msb_split_wallace_hcla4+synth_preset,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_hcla4_synth_preset.aig,1,1,1,967,58,56086,21630,2.592973,0,0,3.816,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_hcla4; flow=synth_preset
ex274,ex274_square_msb_split_wallace_hcla4_synth_preset_d20,unsigned_square_x_times_x,msb_split_wallace_hcla4+synth_preset_d20,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/verilog/ex274_square_msb_split_wallace_hcla4.v,student/work/ex273_ex274_frontend_square_msb_split_20260609_1345/ex274/aigs/ex274_square_msb_split_wallace_hcla4_synth_preset_d20.aig,1,1,1,967,58,56086,21630,2.592973,0,0,3.841,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=msb_split_wallace_hcla4; flow=synth_preset_d20
