case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex255,ex255_umul_direct_context_default,1,91,19,1729,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_direct_context_default.aig,exact unsigned low4 * high4 over 256 inputs; source=direct_context; flow=default
ex255,ex255_umul_wide_ext_direct_synth_preset,1,89,19,1691,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_wide_ext_direct_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=wide_ext_direct; flow=synth_preset
ex255,ex255_umul_balanced_rows_default,1,86,17,1462,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_default.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=default
ex255,ex255_umul_balanced_rows_wreduce_default,1,86,17,1462,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=wreduce_default
ex255,ex255_umul_balanced_rows_abc_g_aig,1,86,17,1462,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=abc_g_aig
ex255,ex255_umul_balanced_rows_wreduce_abc_g_aig,1,86,17,1462,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=wreduce_abc_g_aig
ex255,ex255_umul_balanced_rows_arith_wreduce_aig,1,85,15,1275,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=arith_wreduce_aig
ex255,ex255_umul_balanced_rows_synth_preset,1,85,15,1275,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_balanced_rows_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=balanced_rows; flow=synth_preset
ex255,ex255_umul_csa_vector_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=default
ex255,ex255_umul_csa_vector_wreduce_default,1,112,14,1568,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=wreduce_default
ex255,ex255_umul_csa_vector_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=abc_g_aig
ex255,ex255_umul_csa_vector_wreduce_abc_g_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=wreduce_abc_g_aig
ex255,ex255_umul_csa_vector_arith_wreduce_aig,1,87,14,1218,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=arith_wreduce_aig
ex255,ex255_umul_csa_vector_synth_preset,1,86,16,1376,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_csa_vector_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=csa_vector; flow=synth_preset
ex255,ex255_umul_column_carry_default,1,86,35,3010,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_default.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=default
ex255,ex255_umul_column_carry_wreduce_default,1,88,32,2816,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=wreduce_default
ex255,ex255_umul_column_carry_abc_g_aig,1,86,35,3010,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=abc_g_aig
ex255,ex255_umul_column_carry_wreduce_abc_g_aig,1,88,32,2816,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=wreduce_abc_g_aig
ex255,ex255_umul_column_carry_arith_wreduce_aig,1,84,35,2940,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=arith_wreduce_aig
ex255,ex255_umul_column_carry_synth_preset,1,84,35,2940,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_column_carry_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=column_carry; flow=synth_preset
ex255,ex255_umul_case_b_const_default,1,259,11,2849,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_default.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=default
ex255,ex255_umul_case_b_const_wreduce_default,1,264,13,3432,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=wreduce_default
ex255,ex255_umul_case_b_const_abc_g_aig,1,251,10,2510,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=abc_g_aig
ex255,ex255_umul_case_b_const_wreduce_abc_g_aig,1,257,11,2827,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=wreduce_abc_g_aig
ex255,ex255_umul_case_b_const_arith_wreduce_aig,1,255,10,2550,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=arith_wreduce_aig
ex255,ex255_umul_case_b_const_synth_preset,1,220,18,3960,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=synth_preset
ex255,ex255_umul_split_half_default,1,82,17,1394,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_default.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=default
ex255,ex255_umul_split_half_wreduce_default,1,82,17,1394,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=wreduce_default
ex255,ex255_umul_split_half_abc_g_aig,1,82,17,1394,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=abc_g_aig
ex255,ex255_umul_split_half_wreduce_abc_g_aig,1,82,17,1394,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=wreduce_abc_g_aig
ex255,ex255_umul_split_half_arith_wreduce_aig,1,87,17,1479,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=arith_wreduce_aig
ex255,ex255_umul_split_half_synth_preset,1,87,16,1392,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=synth_preset
ex255,ex255_umul_karatsuba_even_default,1,154,28,4312,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_default.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=default
ex255,ex255_umul_karatsuba_even_wreduce_default,1,154,28,4312,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=wreduce_default
ex255,ex255_umul_karatsuba_even_abc_g_aig,1,142,28,3976,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=abc_g_aig
ex255,ex255_umul_karatsuba_even_wreduce_abc_g_aig,1,142,28,3976,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=wreduce_abc_g_aig
ex255,ex255_umul_karatsuba_even_arith_wreduce_aig,1,141,25,3525,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=arith_wreduce_aig
ex255,ex255_umul_karatsuba_even_synth_preset,1,141,25,3525,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=synth_preset
ex255,ex255_umul_sorted_operands_default,1,130,27,3510,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_default.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=default
ex255,ex255_umul_sorted_operands_wreduce_default,1,130,27,3510,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_wreduce_default.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=wreduce_default
ex255,ex255_umul_sorted_operands_abc_g_aig,1,128,27,3456,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=abc_g_aig
ex255,ex255_umul_sorted_operands_wreduce_abc_g_aig,1,128,27,3456,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_wreduce_abc_g_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=wreduce_abc_g_aig
ex255,ex255_umul_sorted_operands_arith_wreduce_aig,1,128,27,3456,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_arith_wreduce_aig.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=arith_wreduce_aig
ex255,ex255_umul_sorted_operands_synth_preset,1,128,27,3456,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_sorted_operands_synth_preset.aig,exact unsigned low4 * high4 over 256 inputs; source=sorted_operands; flow=synth_preset
ex256,ex256_umul_direct_context_default,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=default
ex256,ex256_umul_direct_context_wreduce_default,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=wreduce_default
ex256,ex256_umul_direct_context_abc_g_aig,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig
ex256,ex256_umul_direct_context_wreduce_abc_g_aig,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=wreduce_abc_g_aig
ex256,ex256_umul_direct_context_arith_wreduce_aig,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=arith_wreduce_aig
ex256,ex256_umul_direct_context_synth_preset,1,155,25,3875,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_direct_context_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=synth_preset
ex256,ex256_umul_wide_ext_direct_default,1,171,24,4104,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=default
ex256,ex256_umul_wide_ext_direct_wreduce_default,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=wreduce_default
ex256,ex256_umul_wide_ext_direct_abc_g_aig,1,168,24,4032,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=abc_g_aig
ex256,ex256_umul_wide_ext_direct_wreduce_abc_g_aig,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=wreduce_abc_g_aig
ex256,ex256_umul_wide_ext_direct_arith_wreduce_aig,1,158,25,3950,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=arith_wreduce_aig
ex256,ex256_umul_wide_ext_direct_synth_preset,1,155,25,3875,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_wide_ext_direct_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=wide_ext_direct; flow=synth_preset
ex256,ex256_umul_balanced_rows_default,1,162,25,4050,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=default
ex256,ex256_umul_balanced_rows_wreduce_default,1,156,25,3900,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=wreduce_default
ex256,ex256_umul_balanced_rows_abc_g_aig,1,151,25,3775,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig
ex256,ex256_umul_balanced_rows_wreduce_abc_g_aig,1,149,25,3725,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=wreduce_abc_g_aig
ex256,ex256_umul_balanced_rows_arith_wreduce_aig,1,152,23,3496,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=arith_wreduce_aig
ex256,ex256_umul_balanced_rows_synth_preset,1,152,23,3496,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_balanced_rows_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset
ex256,ex256_umul_csa_vector_default,1,194,21,4074,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=default
ex256,ex256_umul_csa_vector_wreduce_default,1,192,22,4224,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=wreduce_default
ex256,ex256_umul_csa_vector_abc_g_aig,1,155,21,3255,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=abc_g_aig
ex256,ex256_umul_csa_vector_wreduce_abc_g_aig,1,151,22,3322,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=wreduce_abc_g_aig
ex256,ex256_umul_csa_vector_arith_wreduce_aig,1,155,22,3410,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=arith_wreduce_aig
ex256,ex256_umul_csa_vector_synth_preset,1,150,21,3150,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_csa_vector_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=csa_vector; flow=synth_preset
ex256,ex256_umul_column_carry_default,1,162,57,9234,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=default
ex256,ex256_umul_column_carry_wreduce_default,1,159,55,8745,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=wreduce_default
ex256,ex256_umul_column_carry_abc_g_aig,1,153,57,8721,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=abc_g_aig
ex256,ex256_umul_column_carry_wreduce_abc_g_aig,1,154,55,8470,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=wreduce_abc_g_aig
ex256,ex256_umul_column_carry_arith_wreduce_aig,1,146,57,8322,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=arith_wreduce_aig
ex256,ex256_umul_column_carry_synth_preset,1,146,57,8322,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_column_carry_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=column_carry; flow=synth_preset
ex256,ex256_umul_case_b_const_default,1,793,29,22997,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=default
ex256,ex256_umul_case_b_const_wreduce_default,1,795,29,23055,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=wreduce_default
ex256,ex256_umul_case_b_const_abc_g_aig,1,786,29,22794,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=abc_g_aig
ex256,ex256_umul_case_b_const_wreduce_abc_g_aig,1,790,29,22910,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=wreduce_abc_g_aig
ex256,ex256_umul_case_b_const_arith_wreduce_aig,1,791,29,22939,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=arith_wreduce_aig
ex256,ex256_umul_case_b_const_synth_preset,1,594,30,17820,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_case_b_const_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=case_b_const; flow=synth_preset
ex256,ex256_umul_split_half_default,1,152,21,3192,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=default
ex256,ex256_umul_split_half_wreduce_default,1,152,21,3192,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=wreduce_default
ex256,ex256_umul_split_half_abc_g_aig,1,152,21,3192,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=abc_g_aig
ex256,ex256_umul_split_half_wreduce_abc_g_aig,1,152,21,3192,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=wreduce_abc_g_aig
ex256,ex256_umul_split_half_arith_wreduce_aig,1,157,21,3297,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=arith_wreduce_aig
ex256,ex256_umul_split_half_synth_preset,1,157,21,3297,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_split_half_synth_preset.aig,exact unsigned low5 * high5 over 1024 inputs; source=split_half; flow=synth_preset
ex256,ex256_umul_sorted_operands_default,1,209,36,7524,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_sorted_operands_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=default
ex256,ex256_umul_sorted_operands_wreduce_default,1,209,36,7524,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_sorted_operands_wreduce_default.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=wreduce_default
ex256,ex256_umul_sorted_operands_abc_g_aig,1,209,36,7524,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_sorted_operands_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=abc_g_aig
ex256,ex256_umul_sorted_operands_wreduce_abc_g_aig,1,209,36,7524,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_sorted_operands_wreduce_abc_g_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=wreduce_abc_g_aig
ex256,ex256_umul_sorted_operands_arith_wreduce_aig,1,209,36,7524,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex256/aigs/ex256_umul_sorted_operands_arith_wreduce_aig.aig,exact unsigned low5 * high5 over 1024 inputs; source=sorted_operands; flow=arith_wreduce_aig
