case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_case_b_const_synth_preset,unsigned low4_high4:a*b,case_b_const+synth_preset,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_case_b_const.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_case_b_const_synth_preset.aig,1,1,1,220,18,3960,836,4.736842,0,0,0.325,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=case_b_const; flow=synth_preset
ex255,ex255_umul_split_half_default,unsigned low4_high4:a*b,split_half+default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_default.aig,1,1,1,82,17,1394,836,1.667464,0,0,0.204,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=default
ex255,ex255_umul_split_half_wreduce_default,unsigned low4_high4:a*b,split_half+wreduce_default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_wreduce_default.aig,1,1,1,82,17,1394,836,1.667464,0,0,0.215,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=wreduce_default
ex255,ex255_umul_split_half_abc_g_aig,unsigned low4_high4:a*b,split_half+abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_abc_g_aig.aig,1,1,1,82,17,1394,836,1.667464,0,0,0.212,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=abc_g_aig
ex255,ex255_umul_split_half_wreduce_abc_g_aig,unsigned low4_high4:a*b,split_half+wreduce_abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_wreduce_abc_g_aig.aig,1,1,1,82,17,1394,836,1.667464,0,0,0.214,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=wreduce_abc_g_aig
ex255,ex255_umul_split_half_arith_wreduce_aig,unsigned low4_high4:a*b,split_half+arith_wreduce_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_arith_wreduce_aig.aig,1,1,1,87,17,1479,836,1.769139,0,0,0.251,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=arith_wreduce_aig
ex255,ex255_umul_split_half_synth_preset,unsigned low4_high4:a*b,split_half+synth_preset,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_split_half.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_split_half_synth_preset.aig,1,1,1,87,16,1392,836,1.665072,0,0,0.246,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=split_half; flow=synth_preset
ex255,ex255_umul_karatsuba_even_default,unsigned low4_high4:a*b,karatsuba_even+default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_default.aig,1,1,1,154,28,4312,836,5.157895,0,0,0.260,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=default
ex255,ex255_umul_karatsuba_even_wreduce_default,unsigned low4_high4:a*b,karatsuba_even+wreduce_default,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_wreduce_default.aig,1,1,1,154,28,4312,836,5.157895,0,0,0.248,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=wreduce_default
ex255,ex255_umul_karatsuba_even_abc_g_aig,unsigned low4_high4:a*b,karatsuba_even+abc_g_aig,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/verilog/ex255_umul_karatsuba_even.v,student/work/ex255_ex259_frontend_umul_deep_20260609_0013/ex255/aigs/ex255_umul_karatsuba_even_abc_g_aig.aig,1,1,1,142,28,3976,836,4.755981,0,0,0.272,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=karatsuba_even; flow=abc_g_aig
