case,domain,agent_id,candidate_id,method_signature,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_nested_default_and,ex247|E5M2FN packed low-over-high division|validless nested boundary-region mux|shared sign exponent significand decode and denominator-nested validless boundary attrs|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|region_grouped_magnitude_validless|default_and,OK,1,367,23,8441,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_nested_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_nested_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_nested_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex247,float_fp8,local-targeted,ex247_r24_bound_novalid_direct_synth_preset_aig,ex247|E5M2FN packed low-over-high division|validless direct assignment region mux|shared sign exponent significand decode boundary attrs and direct priority expression|multi_yosys_official_evaluate|exact_e5m2fn_div_low_over_high|direct_region_magnitude|synth_preset_aig,OK,1,368,24,8832,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/verilog/ex247_r24_bound_novalid_direct_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/aigs/ex247_r24_bound_novalid_direct_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex247/logs/ex247_r24_bound_novalid_direct_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_seed12_default_and,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|default_and,OK,1,357,24,8568,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_seed12_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_seed12_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_seed12_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_seed12_default_aig,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|default_aig,OK,1,355,24,8520,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_seed12_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_seed12_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_seed12_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_seed12_synth_preset_and,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|synth_preset_and,OK,1,357,24,8568,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_seed12_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_seed12_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_seed12_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_seed12_synth_preset_aig,ex246|E5M2FN packed multiply|seed12 unreachable product effective-map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|effective_product_class_magnitude|synth_preset_aig,OK,1,355,24,8520,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_seed12_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_seed12_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_seed12_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_parallel_default_and,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|default_and,OK,1,357,24,8568,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_parallel_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_parallel_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_parallel_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_parallel_default_aig,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|default_aig,OK,1,355,24,8520,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_parallel_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_parallel_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_parallel_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_parallel_synth_preset_and,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|synth_preset_and,OK,1,357,24,8568,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_parallel_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_parallel_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_parallel_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,ex246_r24_product_effmap_parallel_synth_preset_aig,ex246|E5M2FN packed multiply|parallel-case effective product map before reachable product-class decode|shared sign exponent significand product effective-map and product-class magnitude|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_effective_product_class_magnitude|synth_preset_aig,OK,1,355,24,8520,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_effmap_parallel_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_effmap_parallel_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_effmap_parallel_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
ex246,float_fp8,local-targeted,ex246_r24_product_parallel_seed12_default_and,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|default_and,OK,1,355,24,8520,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_parallel_seed12_default_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_parallel_seed12_default_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_parallel_seed12_default_and.evaluate.py.log,official evaluate.py status OK; synth=default_and
ex246,float_fp8,local-targeted,ex246_r24_product_parallel_seed12_default_aig,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|default_aig,OK,1,354,24,8496,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_parallel_seed12_default_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_parallel_seed12_default_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_parallel_seed12_default_aig.evaluate.py.log,official evaluate.py status OK; synth=default_aig
ex246,float_fp8,local-targeted,ex246_r24_product_parallel_seed12_synth_preset_and,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|synth_preset_and,OK,1,343,23,7889,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_parallel_seed12_synth_preset_and.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_parallel_seed12_synth_preset_and.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_parallel_seed12_synth_preset_and.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_and
ex246,float_fp8,local-targeted,ex246_r24_product_parallel_seed12_synth_preset_aig,ex246|E5M2FN packed multiply|parallel-case seed12 product-class magnitude table|shared sign exponent significand product and parallel product-class magnitude decode|multi_yosys_official_evaluate|exact_e5m2fn_mul_high_times_low|parallel_product_class_magnitude|synth_preset_aig,OK,1,341,22,7502,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/verilog/ex246_r24_product_parallel_seed12_synth_preset_aig.v,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/aigs/ex246_r24_product_parallel_seed12_synth_preset_aig.aig,student/work/ex246_ex247_frontend_targeted_probe_20260613_0351/local-targeted/ex246/logs/ex246_r24_product_parallel_seed12_synth_preset_aig.evaluate.py.log,official evaluate.py status OK; synth=synth_preset_aig
