case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_bdd_lowmix_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_abc_g_aig.aig,1,1,1,48,9,432,204,2.117647,0,0,0.217,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix; flow=abc_g_aig
ex275,ex275_isqrt_bdd_lowmix2_synth_preset_d6,unsigned_floor_isqrt,bdd_lowmix2+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_synth_preset_d6.aig,1,1,1,47,9,423,204,2.073529,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_lowmix2_synth_preset_d8,unsigned_floor_isqrt,bdd_lowmix2+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_synth_preset_d8.aig,1,1,1,47,9,423,204,2.073529,0,0,0.283,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_lowmix2_synth_preset_d10,unsigned_floor_isqrt,bdd_lowmix2+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix2.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix2_synth_preset_d10.aig,1,1,1,47,9,423,204,2.073529,0,0,0.248,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix2; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_lowmix_revtail_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix_revtail+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_abc_g_aig.aig,1,1,1,49,11,539,204,2.642157,0,0,0.213,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=abc_g_aig
ex275,ex275_isqrt_bdd_lowmix_revtail_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix_revtail+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_wreduce_abc_g_aig.aig,1,1,1,49,11,539,204,2.642157,0,0,0.203,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_lowmix_revtail_arith_wreduce_aig,unsigned_floor_isqrt,bdd_lowmix_revtail+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_arith_wreduce_aig.aig,1,1,1,49,11,539,204,2.642157,0,0,0.193,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_lowmix_revtail_synth_preset,unsigned_floor_isqrt,bdd_lowmix_revtail+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_synth_preset.aig,1,1,1,49,11,539,204,2.642157,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=synth_preset
ex275,ex275_isqrt_bdd_lowmix_revtail_synth_preset_d6,unsigned_floor_isqrt,bdd_lowmix_revtail+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_synth_preset_d6.aig,1,1,1,49,11,539,204,2.642157,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_lowmix_revtail_synth_preset_d8,unsigned_floor_isqrt,bdd_lowmix_revtail+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_synth_preset_d8.aig,1,1,1,49,11,539,204,2.642157,0,0,0.252,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_lowmix_revtail_synth_preset_d10,unsigned_floor_isqrt,bdd_lowmix_revtail+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_lowmix_revtail.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_lowmix_revtail_synth_preset_d10.aig,1,1,1,49,11,539,204,2.642157,0,0,0.251,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_lowmix_revtail; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_outside_abc_g_aig,unsigned_floor_isqrt,bdd_outside+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.195,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=abc_g_aig
ex275,ex275_isqrt_bdd_outside_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_outside+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_wreduce_abc_g_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_outside_arith_wreduce_aig,unsigned_floor_isqrt,bdd_outside+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_arith_wreduce_aig.aig,1,1,1,53,8,424,204,2.078431,0,0,0.199,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_outside_synth_preset,unsigned_floor_isqrt,bdd_outside+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset.aig,1,1,1,42,8,336,204,1.647059,0,0,0.255,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset
ex275,ex275_isqrt_bdd_outside_synth_preset_d6,unsigned_floor_isqrt,bdd_outside+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d6.aig,1,1,1,42,8,336,204,1.647059,0,0,0.258,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_outside_synth_preset_d8,unsigned_floor_isqrt,bdd_outside+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d8.aig,1,1,1,42,8,336,204,1.647059,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_outside_synth_preset_d10,unsigned_floor_isqrt,bdd_outside+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_outside.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_outside_synth_preset_d10.aig,1,1,1,42,8,336,204,1.647059,0,0,0.257,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_outside; flow=synth_preset_d10
ex275,ex275_isqrt_bdd_reverse_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.190,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=abc_g_aig
ex275,ex275_isqrt_bdd_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.206,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_reverse_arith_wreduce_aig,unsigned_floor_isqrt,bdd_reverse+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_arith_wreduce_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.194,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_reverse_synth_preset,unsigned_floor_isqrt,bdd_reverse+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.250,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset
ex275,ex275_isqrt_bdd_reverse_synth_preset_d6,unsigned_floor_isqrt,bdd_reverse+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset_d6.aig,1,1,1,45,9,405,204,1.985294,0,0,0.290,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset_d6
ex275,ex275_isqrt_bdd_reverse_synth_preset_d8,unsigned_floor_isqrt,bdd_reverse+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset_d8.aig,1,1,1,45,9,405,204,1.985294,0,0,0.260,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset_d8
ex275,ex275_isqrt_bdd_reverse_synth_preset_d10,unsigned_floor_isqrt,bdd_reverse+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset_d10.aig,1,1,1,45,9,405,204,1.985294,0,0,0.253,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset_d10
ex275,ex275_isqrt_prefix4_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.226,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_bitwise+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_wreduce_abc_g_aig.aig,1,1,1,48,7,336,204,1.647059,0,0,0.229,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix4_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_bitwise+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_arith_wreduce_aig.aig,1,1,1,47,9,423,204,2.073529,0,0,0.231,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix4_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_bitwise+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset.aig,1,1,1,48,7,336,204,1.647059,0,0,0.287,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d6.aig,1,1,1,48,7,336,204,1.647059,0,0,0.309,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d6
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d8,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d8.aig,1,1,1,48,7,336,204,1.647059,0,0,0.280,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d8
ex275,ex275_isqrt_prefix4_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_bitwise+synth_preset_d10,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/verilog/ex275_isqrt_prefix4_bitwise.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex275/aigs/ex275_isqrt_prefix4_bitwise_synth_preset_d10.aig,1,1,1,48,7,336,204,1.647059,0,0,0.283,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix4_bitwise; flow=synth_preset_d10
ex276,ex276_isqrt_bdd_lowmix_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix+abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/verilog/ex276_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/aigs/ex276_isqrt_bdd_lowmix_abc_g_aig.aig,1,1,1,142,13,1846,632,2.920886,0,0,1.155,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_lowmix; flow=abc_g_aig
ex276,ex276_isqrt_bdd_lowmix_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_lowmix+wreduce_abc_g_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/verilog/ex276_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/aigs/ex276_isqrt_bdd_lowmix_wreduce_abc_g_aig.aig,1,1,1,142,13,1846,632,2.920886,0,0,2.662,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_lowmix; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_bdd_lowmix_arith_wreduce_aig,unsigned_floor_isqrt,bdd_lowmix+arith_wreduce_aig,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/verilog/ex276_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/aigs/ex276_isqrt_bdd_lowmix_arith_wreduce_aig.aig,1,1,1,142,13,1846,632,2.920886,0,0,0.225,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_lowmix; flow=arith_wreduce_aig
ex276,ex276_isqrt_bdd_lowmix_synth_preset,unsigned_floor_isqrt,bdd_lowmix+synth_preset,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/verilog/ex276_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/aigs/ex276_isqrt_bdd_lowmix_synth_preset.aig,1,1,1,142,14,1988,632,3.145570,0,0,0.293,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_lowmix; flow=synth_preset
ex276,ex276_isqrt_bdd_lowmix_synth_preset_d6,unsigned_floor_isqrt,bdd_lowmix+synth_preset_d6,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/verilog/ex276_isqrt_bdd_lowmix.v,student/work/ex275_ex276_frontend_isqrt_bdd_order_20260609_1618/ex276/aigs/ex276_isqrt_bdd_lowmix_synth_preset_d6.aig,1,1,1,142,14,1988,632,3.145570,0,0,0.311,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_lowmix; flow=synth_preset_d6
