case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig.aig,1,1,1,765,35,26775,15078,1.775766,0,0,0.851,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_cmp1_trunc_synth_preset_d20.aig,1,1,1,798,34,27132,15078,1.799443,0,0,1.077,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp1_trunc_abc_g_aig.aig,1,1,1,912,33,30096,15078,1.996021,0,0,0.984,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,911,32,29152,15078,1.933413,0,0,1.046,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp1_trunc_synth_preset.aig,1,1,1,895,33,29535,15078,1.958814,0,0,1.197,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp1_trunc_synth_preset_d20.aig,1,1,1,895,33,29535,15078,1.958814,0,0,1.243,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_cmp2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp2_trunc_abc_g_aig.aig,1,1,1,1045,31,32395,15078,2.148494,0,0,1.258,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_cmp2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp2_trunc_wreduce_abc_g_aig.aig,1,1,1,1043,31,32333,15078,2.144383,0,0,1.308,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_cmp2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp2_trunc_synth_preset.aig,1,1,1,1051,31,32581,15078,2.160830,0,0,1.577,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_cmp2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_cmp2_trunc_synth_preset_d20.aig,1,1,1,1051,31,32581,15078,2.160830,0,0,1.526,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp1_trunc_abc_g_aig.aig,1,1,1,1020,42,42840,21630,1.980583,0,0,3.560,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,1021,42,42882,21630,1.982524,0,0,3.564,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp1_trunc_synth_preset.aig,1,1,1,1015,41,41615,21630,1.923948,0,0,3.833,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp1_trunc_synth_preset_d20.aig,1,1,1,1015,41,41615,21630,1.923948,0,0,3.840,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp1_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_cmp2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp2_trunc_abc_g_aig.aig,1,1,1,1074,40,42960,21630,1.986130,0,0,3.658,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_cmp2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp2_trunc_wreduce_abc_g_aig.aig,1,1,1,1064,40,42560,21630,1.967638,0,0,3.667,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_cmp2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp2_trunc_synth_preset.aig,1,1,1,1066,41,43706,21630,2.020620,0,0,3.877,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_cmp2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_cmp2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_cmp2_trunc_synth_preset_d20.aig,1,1,1,1066,41,43706,21630,2.020620,0,0,3.819,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_cmp2_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_cmp1_trunc_abc_g_aig.aig,1,1,1,1068,40,42720,21630,1.975035,0,0,3.634,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,1068,40,42720,21630,1.975035,0,0,3.686,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_cmp1_trunc_synth_preset.aig,1,1,1,1065,41,43665,21630,2.018724,0,0,3.932,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_cmp1_trunc_synth_preset_d20.aig,1,1,1,1065,41,43665,21630,2.018724,0,0,3.901,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_cmp1_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop4_cmp1_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp1_trunc_abc_g_aig.aig,1,1,1,1196,40,47840,21630,2.211743,0,0,4.506,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_cmp1_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp1_trunc_wreduce_abc_g_aig.aig,1,1,1,1187,40,47480,21630,2.195099,0,0,5.998,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_cmp1_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp1_trunc_synth_preset.aig,1,1,1,1186,39,46254,21630,2.138419,0,0,4.194,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_cmp1_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_cmp1_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp1_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp1_trunc_synth_preset_d20.aig,1,1,1,1186,39,46254,21630,2.138419,0,0,4.061,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp1_trunc; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop4_cmp2_trunc_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp2_trunc_abc_g_aig.aig,1,1,1,1356,40,54240,21630,2.507628,0,0,4.025,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_cmp2_trunc_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp2_trunc_wreduce_abc_g_aig.aig,1,1,1,1360,40,54400,21630,2.515025,0,0,4.126,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_cmp2_trunc_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+synth_preset,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp2_trunc_synth_preset.aig,1,1,1,1395,39,54405,21630,2.515257,0,0,4.489,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_cmp2_trunc_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_cmp2_trunc+synth_preset_d20,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_cmp2_trunc.v,student/work/ex273_ex274_frontend_square_bdd_cmpmix_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_cmp2_trunc_synth_preset_d20.aig,1,1,1,1395,39,54405,21630,2.515257,0,0,5.076,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_cmp2_trunc; flow=synth_preset_d20
