case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_mtbdd_b_msb_abc_g_aig,1,178,13,2314,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex266/aigs/ex266_udiv_mtbdd_b_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_b_lsb_a_msb_abc_g_aig,1,522,16,8352,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=abc_g_aig
ex267,ex267_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig,1,514,15,7710,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_mtbdd_b_lsb_a_msb_synth_preset,1,503,16,8048,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex267/aigs/ex267_udiv_mtbdd_b_lsb_a_msb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=synth_preset
ex269,ex269_udiv_mtbdd_b_msb_abc_g_aig,1,2429,20,48580,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_msb_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_msb; flow=abc_g_aig
ex269,ex269_udiv_mtbdd_b_msb_wreduce_abc_g_aig,1,2414,22,53108,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_msb_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_msb; flow=wreduce_abc_g_aig
ex269,ex269_udiv_mtbdd_b_msb_synth_preset,1,2152,21,45192,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_msb_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_msb; flow=synth_preset
ex269,ex269_udiv_mtbdd_interleave_msb_abc_g_aig,1,1729,21,36309,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_msb_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=abc_g_aig
ex269,ex269_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig,1,1739,23,39997,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_msb_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=wreduce_abc_g_aig
ex269,ex269_udiv_mtbdd_interleave_msb_synth_preset,1,1645,21,34545,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_msb_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_msb; flow=synth_preset
ex269,ex269_udiv_mtbdd_interleave_a_first_msb_abc_g_aig,1,2018,22,44396,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_a_first_msb_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=abc_g_aig
ex269,ex269_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig,1,2018,22,44396,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_a_first_msb_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=wreduce_abc_g_aig
ex269,ex269_udiv_mtbdd_interleave_a_first_msb_synth_preset,1,1979,21,41559,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_interleave_a_first_msb_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_interleave_a_first_msb; flow=synth_preset
ex269,ex269_udiv_mtbdd_b_lsb_a_msb_abc_g_aig,1,2449,22,53878,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_lsb_a_msb_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=abc_g_aig
ex269,ex269_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig,1,2475,22,54450,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_lsb_a_msb_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=wreduce_abc_g_aig
ex269,ex269_udiv_mtbdd_b_lsb_a_msb_synth_preset,1,2381,21,50001,student/work/ex266_ex267_ex269_frontend_udiv_mtbdd_20260609_1100/ex269/aigs/ex269_udiv_mtbdd_b_lsb_a_msb_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=mtbdd_b_lsb_a_msb; flow=synth_preset
