case,output_bit,primitive_count,exact_kind,exact_expr,best_expr,best_matches,total_rows,best_match_ratio,notes
ex286,0,626,,,(sum_c3_6>=2)&(c5_s8+raw10>=1),5257,8192,0.641724,bucket slots 1:2:3:5:6:8:9:11; selectors raw3:raw10:xor6_7
ex287,12,666,,,(sum_c1_4>=2)&(c2_s5+raw13>=1),10077,16384,0.615051,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex287,13,666,,,!((sum_c2_7<=4)|(sum_c1_4==2)),9995,16384,0.610046,bucket slots 3:4:5:6:9:11:13; selectors xor6_7:xor8_9:raw13:raw12
ex288,0,840,,,(sum_c0_8>=8)|(sum_c3_9>=7),19821,32768,0.604889,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,1,840,,,(sum_c0_9>=9)|(sum_c3_7>=6),19884,32768,0.606812,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,2,840,,,(sum_c0_7>=8)|(sum_c4_9>=5),19677,32768,0.600494,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,3,840,,,(sum_c1_3>=2)&(c8_s14+raw10>=1),21248,32768,0.648438,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,4,840,,,(sum_c0_8>=8)|(sum_c3_9>=7),20365,32768,0.621490,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,5,840,,,(sum_c0_8>=7)&(sum_c3_9>=5),20244,32768,0.617798,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,6,840,,,(sum_c0_8>=8)|(sum_c3_9>=6),20391,32768,0.622284,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,7,840,,,(sum_c5_9>=4)&(sum_c3_9>=5),20944,32768,0.639160,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,8,840,,,(sum_c1_9>=7)&(sum_c0_8>=7),20261,32768,0.618317,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,9,840,,,(sum_c0_9>=8)|(sum_c3_7>=6),20202,32768,0.616516,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,10,840,,,(sum_c0_8>=8)|(sum_c3_9>=6),20535,32768,0.626678,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,11,840,,,(sum_c1_3>=2)&(c8_s14+raw10>=1),21248,32768,0.648438,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,12,840,,,!((sum_c1_9<=5)|(c7_s13+raw13==1)),19567,32768,0.597137,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,13,840,,,(sum_c0_9>=8)&(sum_c0_4>=3),19855,32768,0.605927,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
ex288,14,840,,,(sum_c0_8>=7)|(sum_c3_9>=6),19953,32768,0.608917,bucket slots 1:3:4:5:8:9:11:13:14; selectors raw13:raw10:xor6_7
