case,candidate_id,equivalent,area,delay,adp,notes
ex286,ex286_unknown_symcof_sym_first_f00_k6,1,6936,18,124848,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f10_k4,1,13343,22,293546,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f10_k5,1,13487,22,296714,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f10_k6,1,14528,21,305088,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f00_k4,1,13001,23,299023,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f00_k5,1,13113,21,275373,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_reverse_f00_k6,1,14190,22,312180,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f10_k4,1,19144,22,421168,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f10_k5,1,19514,22,429308,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f10_k6,1,19266,21,404586,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f00_k4,1,18957,22,417054,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f00_k5,1,19352,22,425744,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_natural_f00_k6,1,19276,21,404796,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f10_k4,1,19362,22,425964,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f10_k5,1,19317,23,444291,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f10_k6,1,19243,21,404103,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f00_k4,1,19362,22,425964,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f00_k5,1,19308,24,463392,unknown symmetry cofactor class-onehot Verilog seed
ex288,ex288_unknown_symcof_sym_first_f00_k6,1,19264,21,404544,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f10_k4,1,18196,25,454900,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f10_k5,1,18678,23,429594,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f10_k6,1,18207,22,400554,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f00_k4,1,17782,24,426768,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f00_k5,1,18228,23,419244,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_reverse_f00_k6,1,17936,22,394592,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f10_k4,1,24460,24,587040,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f10_k5,1,25496,25,637400,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f10_k6,1,25329,23,582567,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f00_k4,1,24446,24,586704,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f00_k5,1,24822,24,595728,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_natural_f00_k6,1,25528,22,561616,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f10_k4,1,25366,24,608784,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f10_k5,1,26174,25,654350,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f10_k6,1,25378,23,583694,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f00_k4,1,25366,24,608784,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f00_k5,1,26136,25,653400,unknown symmetry cofactor class-onehot Verilog seed
ex289,ex289_unknown_symcof_sym_first_f00_k6,1,25437,23,585051,unknown symmetry cofactor class-onehot Verilog seed
