case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex260,ex260_smul_direct_signed_abc_g_aig,1,116,20,2320,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,91,14,1274,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,93,14,1302,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,93,14,1302,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,93,14,1302,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_direct_signed_abc_g_aig,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=abc_g_aig
ex263,ex263_smul_direct_signed_wreduce_abc_g_aig,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex263,ex263_smul_direct_signed_synth_preset_d11,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=synth_preset_d11
ex263,ex263_smul_direct_signed_synth_preset_d13,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=synth_preset_d13
ex263,ex263_smul_wide_signed_abc_g_aig,1,611,35,21385,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=abc_g_aig
ex263,ex263_smul_wide_signed_wreduce_abc_g_aig,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex263,ex263_smul_wide_signed_synth_preset_d11,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=synth_preset_d11
ex263,ex263_smul_wide_signed_synth_preset_d13,1,442,33,14586,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,1,354,28,9912,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,1,356,28,9968,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,1,356,28,9968,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,1,362,25,9050,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,1,362,25,9050,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,1,362,24,8688,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,1,362,24,8688,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
