case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_direct_signed_abc_g_aig,signed low4_high4:a*b,direct_signed+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_direct_signed_abc_g_aig.aig,1,1,1,116,20,2320,657,3.531202,0,0,0.208,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=direct_signed; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.209,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.251,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.287,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_direct_signed_abc_g_aig,signed low7_high7:a*b,direct_signed+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_abc_g_aig.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.478,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=abc_g_aig
ex263,ex263_smul_direct_signed_wreduce_abc_g_aig,signed low7_high7:a*b,direct_signed+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_wreduce_abc_g_aig.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.454,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=wreduce_abc_g_aig
ex263,ex263_smul_direct_signed_synth_preset_d11,signed low7_high7:a*b,direct_signed+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_synth_preset_d11.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.564,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=synth_preset_d11
ex263,ex263_smul_direct_signed_synth_preset_d13,signed low7_high7:a*b,direct_signed+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_direct_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_direct_signed_synth_preset_d13.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.568,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=direct_signed; flow=synth_preset_d13
ex263,ex263_smul_wide_signed_abc_g_aig,signed low7_high7:a*b,wide_signed+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_abc_g_aig.aig,1,1,1,611,35,21385,6840,3.126462,0,0,0.598,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=abc_g_aig
ex263,ex263_smul_wide_signed_wreduce_abc_g_aig,signed low7_high7:a*b,wide_signed+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_wreduce_abc_g_aig.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.464,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=wreduce_abc_g_aig
ex263,ex263_smul_wide_signed_synth_preset_d11,signed low7_high7:a*b,wide_signed+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_synth_preset_d11.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.589,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=synth_preset_d11
ex263,ex263_smul_wide_signed_synth_preset_d13,signed low7_high7:a*b,wide_signed+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_wide_signed.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_wide_signed_synth_preset_d13.aig,1,1,1,442,33,14586,6840,2.132456,0,0,0.578,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=wide_signed; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.519,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.531,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.697,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.656,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.559,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.549,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,362,24,8688,6840,1.270175,1,0,0.681,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_direct_retry_20260609_0707/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,362,24,8688,6840,1.270175,1,0,0.662,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
